Timestamp,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SCS_FLAG,ERRS,SLOTS
2023-12-07 02:49:58.779293,2,6,5,0,-1,{120:1;130:1;131:1;135:1;139:1;140:2;143:1;145:1;148:1;149:1;150:1;152:1;153:1;154:1;161:1;163:1;164:1;174:1;175:1;422:1;423:1;453:1;454:1;470:1;1397:1;1398:1;1835:1;1836:1;1969:1;1970:1;1971:1;2032:1;},RTTTTT
2023-12-07 02:49:59.778197,3,1,0,0,-1,{},HRTTTT
2023-12-07 02:50:00.779232,4,1,0,0,-1,{},RTTTTT
2023-12-07 02:50:01.779016,5,1,0,0,-1,{},RTTTTT
2023-12-07 02:50:02.780019,6,1,0,0,-1,{},RTTTTT
2023-12-07 02:50:03.780224,7,1,0,0,-1,{},RTTTTT
2023-12-07 02:50:04.779373,8,1,0,0,-1,{},RTTTTT
2023-12-07 02:50:05.780138,9,2,1,1,-1,{1745:1;1747:1;1752:1;1756:1;1757:1;1758:1;1759:1;1760:1;1763:1;1764:1;1768:1;1769:1;1771:1;1772:1;1775:1;1776:1;1777:1;1778:1;1779:1;1782:1;1786:1;1789:1;1790:1;1791:1;},CRTTTT
2023-12-07 02:50:06.781036,10,1,0,1,-1,{},RTTTTT
2023-12-07 02:50:07.779166,11,1,0,0,-1,{},RTTTTT
2023-12-07 02:50:08.780327,12,1,0,0,-1,{},RTTTTT
2023-12-07 02:50:09.779236,13,2,1,1,-1,{1888:1;1896:1;1901:1;1902:1;1903:1;1904:1;1905:1;1906:1;1907:1;1909:1;1911:1;1913:1;1914:1;1920:1;1921:1;1922:1;1923:1;1926:1;1927:1;1929:1;1931:1;1932:1;1933:1;1934:1;1935:1;},CRTTTT
2023-12-07 02:50:10.779458,14,1,0,0,-1,{},RTTTTT
2023-12-07 02:50:11.779389,15,1,0,0,-1,{},RTTTTT
2023-12-07 02:50:12.779487,16,1,0,0,-1,{},RTTTTT
2023-12-07 02:50:13.780047,17,2,1,1,-1,{1108:1;1109:1;1110:1;1111:1;1112:1;1114:1;1116:1;1120:1;1125:1;1128:1;1129:1;1131:1;1132:1;1133:1;1135:1;1136:1;1137:1;1139:1;1141:1;1143:1;1150:1;1151:1;},CRTTTT
2023-12-07 02:50:14.780205,18,1,0,1,-1,{},RTTTTT
2023-12-07 02:50:15.779388,19,1,0,1,-1,{},RTTTTT
2023-12-07 02:50:16.779470,20,1,0,0,-1,{},RTTTTT
2023-12-07 02:50:17.779412,21,1,0,0,-1,{},RTTTTT
2023-12-07 02:50:18.780274,22,1,0,0,-1,{},RTTTTT
2023-12-07 02:50:19.779476,23,1,0,0,-1,{},RTTTTT
2023-12-07 02:50:20.780046,24,1,0,0,-1,{},RTTTTT
2023-12-07 02:50:21.780216,25,1,0,0,-1,{},RTTTTT
2023-12-07 02:50:22.779323,26,3,2,2,-1,{8:1;16:1;17:1;20:1;21:1;22:1;904:1;906:1;907:1;909:1;914:1;915:1;916:1;917:1;919:1;920:1;921:1;922:1;929:1;930:1;932:1;934:1;936:1;937:1;941:1;942:1;949:1;},CCRTTT
