TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,ERRS,SLOTS
2023-12-09 07:25:58.163033,1,1,0,{},.RTTTT
2023-12-09 07:25:59.163061,2,2,1,{912:1;913:1;928:1;929:1;931:1;952:1;954:1;955:1;},CRTTTT
2023-12-09 07:26:00.163458,3,3,2,{283:1;284:1;285:1;286:1;287:1;288:1;291:1;292:1;293:1;297:1;299:1;300:1;301:1;302:1;303:1;304:1;312:1;313:1;318:1;322:1;325:1;327:1;328:1;329:1;332:1;333:1;334:1;336:1;337:1;339:1;344:1;347:1;354:1;365:1;366:1;367:1;985:1;986:1;987:1;},CCRTTT
2023-12-09 07:26:01.162948,4,1,0,{},RTTTTT
2023-12-09 07:26:02.163571,5,1,0,{},RTTTTT
2023-12-09 07:26:03.163361,6,1,0,{},RTTTTT
2023-12-09 07:26:04.163578,7,1,0,{},RTTTTT
2023-12-09 07:26:05.162921,8,1,0,{},RTTTTT
2023-12-09 07:26:06.163528,9,1,0,{},RTTTTT
2023-12-09 07:26:07.164946,10,1,0,{},RTTTTT
2023-12-09 07:26:08.164548,11,1,0,{},RTTTTT
2023-12-09 07:26:09.164426,12,1,0,{},RTTTTT
2023-12-09 07:26:10.163702,13,1,0,{},RTTTTT
2023-12-09 07:26:11.163188,14,3,2,{21:1;33:1;35:1;36:1;37:1;38:1;39:1;53:1;54:1;80:1;82:1;313:1;315:1;356:1;357:1;358:1;359:1;360:1;361:1;363:1;},CCRTTT
2023-12-09 07:26:12.163317,15,1,0,{},RTTTTT
2023-12-09 07:26:13.165592,16,1,0,{},RTTTTT
2023-12-09 07:26:14.163702,17,1,0,{},RTTTTT
2023-12-09 07:26:15.164369,18,1,0,{},RTTTTT
2023-12-09 07:26:16.164112,19,1,0,{},RTTTTT
2023-12-09 07:26:17.163422,20,1,0,{},RTTTTT
2023-12-09 07:26:18.163290,21,1,0,{},RTTTTT
2023-12-09 07:26:19.164299,22,1,0,{},RTTTTT
2023-12-09 07:26:20.163607,23,1,0,{},RTTTTT
2023-12-09 07:26:21.163370,24,1,0,{},RTTTTT
2023-12-09 07:26:22.163002,25,1,0,{},RTTTTT
2023-12-09 07:26:23.162767,26,1,0,{},RTTTTT
2023-12-09 07:26:24.162277,27,1,0,{},RTTTTT
