TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,ERRS,SLOTS
2023-12-09 05:24:17.558157,1,1,0,{},.RTTTT
2023-12-09 05:24:18.558002,2,1,0,{},RTTTTT
2023-12-09 05:24:19.558341,3,1,0,{},RTTTTT
2023-12-09 05:24:20.557866,4,1,0,{},RTTTTT
2023-12-09 05:24:21.558366,5,1,0,{},RTTTTT
2023-12-09 05:24:22.558163,6,1,0,{},RTTTTT
2023-12-09 05:24:23.558461,7,1,0,{},RTTTTT
2023-12-09 05:24:24.557881,8,1,0,{},RTTTTT
2023-12-09 05:24:25.558305,9,1,0,{},RTTTTT
2023-12-09 05:24:26.558182,10,1,0,{},RTTTTT
2023-12-09 05:24:27.559133,11,1,0,{},RTTTTT
2023-12-09 05:24:28.557688,12,2,1,{727:1;728:1;734:1;736:1;739:1;740:1;741:1;742:1;744:1;745:1;747:1;748:1;749:1;751:1;752:1;753:1;755:1;757:1;758:1;761:1;768:1;771:1;773:1;776:1;778:1;780:1;781:1;782:1;784:1;785:1;787:1;791:1;792:1;796:1;801:1;802:1;803:1;805:1;806:1;809:1;812:1;813:1;815:1;833:1;834:1;836:1;840:1;841:1;842:1;845:1;846:1;848:1;849:1;850:1;852:1;857:1;858:1;860:1;863:1;864:1;865:1;866:1;868:1;871:1;877:1;879:1;881:1;882:1;884:1;885:1;886:1;888:1;889:1;890:1;893:1;894:1;896:1;901:1;905:1;908:1;909:1;912:1;917:1;918:1;921:1;922:1;925:1;926:1;929:1;932:1;935:1;936:1;939:1;940:1;942:1;944:1;945:1;946:1;948:1;953:1;954:1;956:1;957:1;958:1;960:1;963:1;964:1;969:1;970:1;972:1;973:1;974:1;977:1;981:1;982:1;984:1;985:1;986:1;989:1;990:1;992:1;996:1;},CRTTTT
2023-12-09 05:24:29.557715,13,1,0,{},RTTTTT
2023-12-09 05:24:30.558628,14,1,0,{},RTTTTT
2023-12-09 05:24:31.557801,15,1,0,{},RTTTTT
2023-12-09 05:24:32.557566,16,1,0,{},RTTTTT
2023-12-09 05:24:33.558804,17,1,0,{},RTTTTT
2023-12-09 05:24:34.558942,18,1,0,{},RTTTTT
2023-12-09 05:24:35.559434,19,1,0,{},RTTTTT
2023-12-09 05:24:36.558564,20,1,0,{},RTTTTT
2023-12-09 05:24:37.558730,21,1,0,{},RTTTTT
2023-12-09 05:24:38.559171,22,1,0,{},RTTTTT
