Timestamp,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SCS_FLAG,ERRS,SLOTS
2023-12-07 04:20:22.179962,2,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:23.180831,3,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:24.180962,4,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:25.180434,5,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:26.180445,6,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:27.180820,7,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:28.180972,8,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:29.180866,9,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:30.180724,10,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:31.181208,11,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:32.182098,12,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:33.181387,13,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:34.180351,14,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:35.180657,15,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:36.180335,16,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:37.180953,17,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:38.181949,18,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:39.180516,19,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:40.181640,20,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:41.182012,21,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:42.180618,22,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:43.181278,23,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:44.181142,24,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:45.181467,25,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:46.180395,26,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:47.181774,27,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:48.180828,28,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:49.181252,29,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:50.180334,30,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:51.181474,31,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:52.180848,32,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:53.182727,33,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:54.180665,34,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:55.181386,35,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:56.180345,36,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:57.181053,37,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:58.180973,38,1,0,0,-1,{},RTTTTT
2023-12-07 04:20:59.181012,39,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:00.181138,40,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:01.181743,41,2,1,1,-1,{876:1;877:1;879:1;882:1;885:1;886:1;887:1;888:1;890:1;900:1;901:1;904:1;905:1;912:1;913:1;914:1;915:1;917:1;920:1;924:1;925:1;926:1;927:1;928:1;929:1;931:1;932:1;934:1;936:1;939:1;942:1;945:1;946:1;947:1;953:1;954:1;955:1;},CRTTTT
2023-12-07 04:21:02.180810,42,1,0,1,-1,{},RTTTTT
2023-12-07 04:21:03.181403,43,1,0,1,-1,{},RTTTTT
2023-12-07 04:21:04.181234,44,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:05.181226,45,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:06.181366,46,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:07.180375,47,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:08.181231,48,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:09.179789,49,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:10.180183,50,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:11.181009,51,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:12.181527,52,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:13.181929,53,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:14.180910,54,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:15.181562,55,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:16.181333,56,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:17.181971,57,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:18.182044,58,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:19.181215,59,1,0,0,-1,{},HRTTTT
2023-12-07 04:21:20.181511,60,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:21.180724,61,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:22.181479,62,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:23.183291,63,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:24.181667,64,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:25.184223,65,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:26.181433,66,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:27.181647,67,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:28.181261,68,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:29.181072,69,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:30.181351,70,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:31.181238,71,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:32.181841,72,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:33.182371,73,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:34.181382,74,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:35.181905,75,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:36.181931,76,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:37.181447,77,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:38.183030,78,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:39.181451,79,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:40.182035,80,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:41.182258,81,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:42.181055,82,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:43.181206,83,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:44.182817,84,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:45.181350,85,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:46.181384,86,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:47.181909,87,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:48.181719,88,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:49.181870,89,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:50.181293,90,1,0,0,-1,{},RTTTTT
2023-12-07 04:21:51.182226,91,1,0,0,-1,{},RTTTTT
