Timestamp,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SCS_FLAG,ERRS,SLOTS
2023-12-10 11:52:41.132823,2,5,4,4,-1,{284:1;285:1;1001:1;1002:1;1003:1;1004:1;1006:1;1008:1;1011:1;1012:1;1014:1;1021:1;1022:1;1064:1;1068:1;1069:1;1070:1;1072:2;1073:1;1074:1;1077:2;1080:2;1082:1;1085:1;1086:1;1088:1;1089:2;1092:2;1094:2;1095:1;1096:1;1097:2;1098:1;1099:2;1100:1;1102:2;1103:1;1108:2;1109:2;1111:2;1241:1;1243:1;1244:1;1248:1;1249:1;1252:1;1253:1;1255:1;1257:1;1258:1;1260:1;1263:1;1264:1;1265:1;1267:1;1270:1;1271:1;1279:1;1393:1;1478:1;1479:1;1493:1;1494:1;1495:1;1510:1;},CCCCRT
2023-12-10 11:52:42.134253,3,6,5,9,1,{17:1;18:1;30:1;34:1;47:1;50:1;51:1;160:1;161:1;162:1;163:1;169:1;173:1;175:1;180:1;181:1;182:1;183:1;185:1;186:1;188:1;189:1;191:1;192:1;193:1;194:1;196:1;198:1;199:1;201:1;203:1;205:1;206:1;207:1;384:1;385:1;393:1;395:1;397:1;400:1;404:1;405:1;409:1;410:1;411:1;412:1;413:1;414:1;415:1;705:1;706:1;712:1;714:1;717:1;718:1;725:1;726:1;727:1;993:1;994:1;1010:1;1134:1;1136:1;1138:1;1139:1;1151:1;1232:1;1234:1;1249:1;1792:1;1795:1;1797:1;1798:1;1800:1;1805:1;1807:1;2016:1;2027:1;2028:1;2030:1;2032:1;2034:1;},CCHCCC
2023-12-10 11:52:43.133004,4,4,3,9,-1,{144:1;152:1;155:1;156:1;157:1;158:1;159:1;165:1;166:1;521:1;523:1;1532:1;1534:1;1535:1;1548:1;1549:1;1550:1;1551:1;1739:1;1740:1;1752:1;1754:1;},CCCRTT
2023-12-10 11:52:44.133578,5,4,3,9,-1,{35:1;49:1;50:1;51:1;52:1;162:1;163:1;164:1;170:1;171:1;172:1;173:1;175:1;183:1;569:1;570:1;572:1;576:1;578:1;581:1;582:1;589:1;590:1;2017:1;2018:1;2026:1;2027:1;2028:1;2030:1;2036:1;2037:1;2039:1;},CCCRTT
2023-12-10 11:52:45.133709,6,5,4,4,-1,{241:1;242:1;243:1;544:1;553:1;554:1;558:1;559:1;560:1;561:1;563:1;566:1;568:1;569:1;572:1;573:1;576:1;577:1;580:1;581:1;589:1;590:1;591:1;768:1;770:1;771:1;773:1;774:1;775:1;778:1;779:1;780:1;781:1;782:1;784:1;785:1;788:1;789:1;791:1;792:1;793:1;794:1;795:1;802:1;805:1;921:1;1552:1;1562:1;1563:1;1564:1;1566:1;1568:1;1569:1;1571:1;1573:1;1574:1;1575:1;1576:1;1577:1;1579:1;1582:1;1583:1;1584:1;1588:1;1589:1;1691:1;1692:1;1693:1;1929:1;1931:1;},CCCCRT
2023-12-10 11:52:46.132797,7,4,3,7,-1,{912:1;914:1;920:1;923:1;924:1;925:1;935:1;946:1;947:1;948:1;965:1;966:1;967:1;997:1;1216:1;1224:1;1227:1;1230:1;1231:1;1232:1;1235:1;1236:1;1238:1;1245:1;1246:1;1247:1;1736:1;1738:1;1742:1;1744:1;1746:1;1747:1;1748:1;1749:1;1752:1;1753:1;1755:1;1757:1;1758:1;1761:1;1763:1;1765:1;1767:1;1770:1;1780:1;1782:1;1783:1;2004:1;},CHCCRT
2023-12-10 11:52:47.133545,8,4,3,3,-1,{244:1;245:1;256:1;269:1;270:1;744:1;745:1;754:1;755:1;758:1;759:2;864:1;865:1;866:1;874:1;876:1;879:1;880:1;882:1;883:1;886:1;887:1;891:1;892:1;895:1;898:1;900:1;930:1;933:1;934:1;937:1;938:1;940:1;946:1;948:1;949:1;950:1;959:1;1281:1;1282:1;1288:1;1290:1;1293:1;1294:1;1302:1;1303:1;1632:1;1633:1;1634:1;1637:1;1638:1;1644:1;1645:1;1646:1;1647:1;},CCCRTT
2023-12-10 11:52:48.133394,9,2,1,4,-1,{1416:1;1431:1;1436:1;1437:1;1441:1;1444:1;1446:1;1450:1;1453:1;1454:1;1455:1;1461:1;1463:1;1497:1;1509:1;1510:1;1511:1;1705:1;1706:1;},CRTTTT
2023-12-10 11:52:49.136833,10,2,1,5,-1,{467:1;481:1;482:1;483:1;484:1;493:1;494:1;580:1;1033:1;1034:1;1036:1;1039:1;1041:1;1043:1;1046:1;1049:1;1050:1;1053:1;1054:1;1055:1;1057:1;1058:1;1067:1;1069:1;1070:1;1071:1;},CRTTTT
2023-12-10 11:52:50.133303,11,2,1,1,-1,{770:1;771:1;776:1;777:1;779:1;781:1;782:1;783:1;788:1;791:1;792:1;805:1;945:1;953:1;954:1;955:1;956:1;957:1;959:1;962:1;963:1;965:1;968:1;974:1;976:1;978:1;979:1;980:1;986:1;987:1;988:1;989:1;991:1;},CRTTTT
2023-12-10 11:52:51.133062,12,1,0,1,-1,{},RTTTTT
2023-12-10 11:52:52.133862,13,2,1,2,-1,{49:1;50:1;52:1;54:1;60:1;61:1;62:1;63:1;424:1;427:1;429:1;431:1;432:1;434:1;436:1;439:1;440:1;442:1;445:1;446:1;453:1;454:1;945:1;946:1;952:1;953:1;956:1;958:1;967:1;},CRTTTT
2023-12-10 11:52:53.133396,14,4,3,3,-1,{129:1;136:1;137:1;141:1;143:1;146:1;147:1;150:1;151:1;159:1;832:1;833:1;834:1;837:1;838:1;841:1;842:1;843:1;844:1;845:1;849:1;851:1;853:1;855:1;856:1;858:1;859:1;862:1;863:1;871:1;1186:1;1187:1;1196:1;1199:1;1208:1;1221:1;1222:1;1360:1;1361:1;1363:1;1371:1;1372:1;1377:1;1378:1;1379:1;1380:1;1384:1;1387:1;1388:1;1389:1;1390:1;1408:1;1410:1;1411:1;1413:1;1414:1;1415:1;1416:1;1417:1;1419:1;1420:1;1422:1;1424:1;1426:1;1427:1;1429:1;1431:1;1437:1;1439:1;1446:1;1447:1;1454:1;1840:1;1842:1;1845:1;1846:1;1847:1;1848:1;1851:1;1852:1;1854:1;1862:1;1863:1;1878:1;1879:1;},CCCRTT
2023-12-10 11:52:54.132953,15,1,0,3,-1,{},RTTTTT
2023-12-10 11:52:55.135426,16,6,6,9,0,{153:1;166:1;639:1;696:1;698:1;705:1;706:1;708:1;710:1;718:1;726:1;758:1;759:1;772:1;773:1;774:1;864:1;865:1;868:1;869:1;871:1;872:1;875:1;876:1;879:1;883:1;886:1;920:1;928:1;929:1;930:1;933:1;934:1;941:1;942:1;943:1;1109:1;1110:1;1111:1;1112:1;1127:1;1275:1;1276:1;1632:1;1640:1;1641:1;1642:1;1643:1;1645:1;1647:1;1649:1;1654:1;1656:1;1658:1;1661:1;1662:1;1664:1;1665:1;1667:1;1668:1;1670:1;1671:1;1676:1;1677:1;1790:1;1802:1;1803:1;1804:1;1821:1;1992:1;1993:1;1994:1;1995:1;1996:1;1998:1;2000:1;2001:2;2002:1;2003:1;2004:2;2005:2;2008:1;2010:1;2012:1;2013:1;2015:1;2016:1;2019:1;2020:1;2021:2;2022:2;2027:1;2029:1;2030:1;},CCCCCC
