Timestamp,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SCS_FLAG,ERRS,SLOTS
2023-08-25 23:32:21.401698,60,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:22.401950,61,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:23.401866,62,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:24.403001,63,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:25.402521,64,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:26.401888,65,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:27.401413,66,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:28.400502,67,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:29.401381,68,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:30.402455,69,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:31.402075,70,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:32.401542,71,2,1,1,-1,{96:1;99:1;100:1;103:1;110:1;112:1;113:1;114:1;115:1;118:1;119:1;120:1;121:1;124:1;126:1;127:1;128:1;129:1;130:1;132:1;133:1;},CRTTTT
2023-08-25 23:32:33.402077,72,1,0,1,-1,{},RTTTTT
2023-08-25 23:32:34.402436,73,1,0,1,-1,{},RTTTTT
2023-08-25 23:32:35.401528,74,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:36.401316,75,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:37.401922,76,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:38.401916,77,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:39.401765,78,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:40.402611,79,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:41.401816,80,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:42.402493,81,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:43.402621,82,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:44.400776,83,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:45.402171,84,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:46.402171,85,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:47.402036,86,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:48.402449,87,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:49.403860,88,1,0,0,-1,{},RTTTTT
2023-08-25 23:32:50.402566,89,2,1,1,-1,{216:1;224:1;225:1;227:1;228:1;230:1;231:1;233:1;234:1;235:1;237:1;240:1;243:1;244:1;247:1;250:1;251:1;253:1;254:1;255:1;},CRTTTT
2023-08-25 23:32:51.402469,90,1,0,1,-1,{},RTTTTT
