TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,ERRS,SLOTS
2023-08-25 03:27:37.981557,60,1,0,{},RTTTTT
2023-08-25 03:27:38.981971,61,1,0,{},RTTTTT
2023-08-25 03:27:39.982146,62,1,0,{},RTTTTT
2023-08-25 03:27:40.980960,63,1,0,{},RTTTTT
2023-08-25 03:27:41.981537,64,1,0,{},RTTTTT
2023-08-25 03:27:42.982064,65,1,0,{},RTTTTT
2023-08-25 03:27:43.980704,66,1,0,{},RTTTTT
2023-08-25 03:27:44.981493,67,1,0,{},RTTTTT
2023-08-25 03:27:45.982436,68,1,0,{},RTTTTT
2023-08-25 03:27:46.981470,69,1,0,{},RTTTTT
2023-08-25 03:27:47.980848,70,1,0,{},RTTTTT
2023-08-25 03:27:48.981153,71,1,0,{},RTTTTT
2023-08-25 03:27:49.981705,72,1,0,{},RTTTTT
2023-08-25 03:27:50.981475,73,1,0,{},RTTTTT
2023-08-25 03:27:51.981622,74,1,0,{},RTTTTT
2023-08-25 03:27:52.982626,75,1,0,{},RTTTTT
2023-08-25 03:27:53.981720,76,1,0,{},RTTTTT
2023-08-25 03:27:54.982002,77,1,0,{},RTTTTT
2023-08-25 03:27:55.981297,78,1,0,{},RTTTTT
2023-08-25 03:27:56.982130,79,1,0,{},RTTTTT
2023-08-25 03:27:57.983098,80,1,0,{},RTTTTT
2023-08-25 03:27:58.982329,81,1,0,{},RTTTTT
2023-08-25 03:27:59.983037,82,1,0,{},RTTTTT
2023-08-25 03:28:00.981858,83,1,0,{},RTTTTT
2023-08-25 03:28:01.982310,84,1,0,{},RTTTTT
2023-08-25 03:28:02.982793,85,1,0,{},RTTTTT
2023-08-25 03:28:03.982530,86,1,0,{},RTTTTT
2023-08-25 03:28:04.982755,87,1,0,{},RTTTTT
2023-08-25 03:28:05.983304,88,1,0,{},RTTTTT
2023-08-25 03:28:06.982253,89,1,0,{},RTTTTT
2023-08-25 03:28:07.983050,90,2,1,{496:1;497:1;498:1;499:1;513:1;514:1;545:1;559:1;},CRTTTT
2023-08-25 03:28:08.982914,91,1,0,{},RTTTTT
2023-08-25 03:28:09.982075,92,1,0,{},RTTTTT
2023-08-25 03:28:10.982641,93,1,0,{},RTTTTT
2023-08-25 03:28:11.982581,94,1,0,{},RTTTTT
2023-08-25 03:28:12.983132,95,1,0,{},RTTTTT
2023-08-25 03:28:13.982099,96,1,0,{},RTTTTT
2023-08-25 03:28:14.983070,97,1,0,{},RTTTTT
2023-08-25 03:28:15.982695,98,2,1,{},CRTTTT
2023-08-25 03:28:16.983446,99,2,1,{218:1;221:1;222:1;},CRTTTT
2023-08-25 03:28:17.982385,100,1,0,{},RTTTTT
2023-08-25 03:28:18.982052,101,1,0,{},RTTTTT
2023-08-25 03:28:19.983535,102,1,0,{},RTTTTT
2023-08-25 03:28:20.984152,103,1,0,{},RTTTTT
2023-08-25 03:28:21.983425,104,1,0,{},RTTTTT
2023-08-25 03:28:22.982291,105,1,0,{},RTTTTT
2023-08-25 03:28:23.982872,106,2,1,{488:1;491:1;492:1;494:1;502:1;515:1;517:1;562:1;},CRTTTT
2023-08-25 03:28:24.983033,107,1,0,{},RTTTTT
