Timestamp,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SCS_FLAG,ERRS,SLOTS
2023-08-21 23:22:41.158633,60,1,0,0,-1,{},RTTTTT
2023-08-21 23:22:42.156578,61,1,0,0,-1,{},RTTTTT
2023-08-21 23:22:43.157834,62,1,0,0,-1,{},RTTTTT
2023-08-21 23:22:44.158282,63,1,0,0,-1,{},RTTTTT
2023-08-21 23:22:45.158055,64,1,0,0,-1,{},RTTTTT
2023-08-21 23:22:46.157744,65,1,0,0,-1,{},RTTTTT
2023-08-21 23:22:47.156624,66,1,0,0,-1,{},RTTTTT
2023-08-21 23:22:48.156883,67,1,0,0,-1,{},RTTTTT
2023-08-21 23:22:49.157757,68,1,0,0,-1,{},RTTTTT
2023-08-21 23:22:50.158708,69,1,0,0,-1,{},RTTTTT
2023-08-21 23:22:51.158792,70,1,0,0,-1,{},HRTTTT
2023-08-21 23:22:52.156921,71,1,0,0,-1,{},RTTTTT
2023-08-21 23:22:53.157540,72,1,0,0,-1,{},RTTTTT
2023-08-21 23:22:54.158111,73,1,0,0,-1,{},RTTTTT
2023-08-21 23:22:55.156905,74,1,0,0,-1,{},RTTTTT
2023-08-21 23:22:56.156518,75,1,0,0,-1,{},RTTTTT
2023-08-21 23:22:57.158073,76,1,0,0,-1,{},RTTTTT
2023-08-21 23:22:58.158764,77,1,0,0,-1,{},RTTTTT
2023-08-21 23:22:59.160013,78,1,0,0,-1,{},HRTTTT
2023-08-21 23:23:00.158632,79,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:01.157252,80,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:02.157686,81,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:03.158098,82,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:04.158737,83,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:05.157496,84,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:06.158850,85,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:07.158068,86,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:08.158272,87,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:09.159094,88,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:10.158136,89,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:11.158678,90,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:12.158052,91,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:13.157658,92,2,1,1,-1,{331:1;332:1;333:1;334:1;337:1;338:1;341:1;342:1;345:1;346:1;350:1;353:1;355:1;359:1;383:1;384:1;393:1;397:1;401:1;402:1;407:1;409:1;410:1;412:1;419:1;421:1;427:1;434:1;435:1;437:1;438:1;441:1;442:1;448:1;451:1;454:1;457:1;463:1;464:1;466:1;467:1;469:1;475:1;477:1;481:1;485:1;490:1;491:1;496:1;497:1;503:1;505:1;507:1;514:1;515:1;516:1;517:1;519:1;523:1;532:1;534:1;545:1;546:1;552:1;553:1;554:1;557:1;558:1;561:1;565:1;568:1;571:1;575:1;576:1;578:1;579:1;},CRTTTT
2023-08-21 23:23:14.158395,93,1,0,1,-1,{},RTTTTT
2023-08-21 23:23:15.157587,94,1,0,1,-1,{},RTTTTT
2023-08-21 23:23:16.158451,95,2,1,1,-1,{68:1;100:1;142:1;210:1;296:1;},CRTTTT
2023-08-21 23:23:17.158627,96,1,0,1,-1,{},RTTTTT
2023-08-21 23:23:18.157980,97,1,0,1,-1,{},RTTTTT
2023-08-21 23:23:19.157597,98,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:20.158409,99,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:21.157939,100,2,1,1,-1,{281:1;},CRTTTT
2023-08-21 23:23:22.157479,101,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:23.158375,102,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:24.158973,103,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:25.157542,104,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:26.157399,105,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:27.157749,106,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:28.157891,107,2,1,1,-1,{42:1;54:1;55:1;63:1;64:1;66:1;71:1;74:1;77:1;81:1;82:1;89:1;90:1;93:1;104:1;116:1;118:1;120:1;124:1;127:1;131:1;138:1;139:1;140:1;141:1;142:1;144:1;145:1;150:1;151:1;152:1;162:1;163:1;164:1;167:1;173:1;174:1;178:1;179:1;186:1;189:1;190:1;193:1;195:1;197:1;199:1;203:1;205:1;206:1;214:1;215:1;220:1;222:1;225:1;226:1;227:1;234:1;252:1;264:1;267:1;268:1;269:1;277:1;281:1;295:1;307:1;309:1;320:1;326:1;327:1;331:1;337:1;338:1;341:1;342:1;343:1;344:1;346:1;349:1;350:1;},CRTTTT
2023-08-21 23:23:29.159066,108,1,0,1,-1,{},RTTTTT
2023-08-21 23:23:30.157895,109,1,0,1,-1,{},RTTTTT
2023-08-21 23:23:31.158606,110,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:32.158195,111,2,1,1,-1,{80:1;81:1;98:1;99:1;102:1;105:1;106:1;108:1;109:1;110:1;112:1;116:1;119:1;125:1;130:1;131:1;136:1;139:1;140:1;146:1;154:1;155:1;156:1;159:1;165:1;167:1;176:1;179:1;185:1;186:1;187:1;188:1;191:1;194:1;196:1;202:1;206:1;208:1;209:1;212:1;213:1;214:1;217:1;219:1;222:1;224:1;226:1;228:1;232:1;233:1;235:1;238:1;239:1;242:1;243:1;244:1;249:1;250:1;252:1;253:1;261:1;263:1;269:1;273:1;274:1;278:1;280:1;282:1;290:1;293:1;298:1;304:1;306:1;311:1;313:1;314:1;315:1;317:1;319:1;325:1;327:1;328:1;329:1;330:1;332:1;334:1;338:1;339:1;341:1;342:1;345:1;347:1;355:1;359:1;360:1;364:1;365:1;366:1;367:1;368:1;369:1;372:1;374:1;377:1;383:1;386:1;387:1;389:1;390:1;391:1;399:1;},CRTTTT
2023-08-21 23:23:33.157729,112,1,0,1,-1,{},RTTTTT
2023-08-21 23:23:34.158292,113,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:35.157880,114,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:36.158555,115,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:37.158318,116,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:38.158142,117,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:39.158830,118,1,0,0,-1,{},HHRTTT
2023-08-21 23:23:40.159102,119,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:41.159384,120,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:42.158432,121,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:43.158083,122,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:44.158403,123,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:45.157496,124,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:46.158328,125,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:47.157501,126,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:48.157844,127,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:49.157595,128,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:50.159761,129,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:51.159269,130,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:52.159143,131,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:53.159142,132,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:54.158416,133,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:55.158472,134,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:56.159060,135,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:57.158702,136,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:58.158372,137,1,0,0,-1,{},RTTTTT
2023-08-21 23:23:59.158175,138,1,0,0,-1,{},RTTTTT
2023-08-21 23:24:00.158292,139,1,0,0,-1,{},RTTTTT
2023-08-21 23:24:01.158928,140,1,0,0,-1,{},RTTTTT
2023-08-21 23:24:02.157833,141,1,0,0,-1,{},RTTTTT
2023-08-21 23:24:03.156887,142,1,0,0,-1,{},RTTTTT
2023-08-21 23:24:04.157194,143,1,0,0,-1,{},RTTTTT
2023-08-21 23:24:05.159263,144,1,0,0,-1,{},RTTTTT
2023-08-21 23:24:06.160183,145,1,0,0,-1,{},RTTTTT
2023-08-21 23:24:07.158894,146,1,0,0,-1,{},RTTTTT
2023-08-21 23:24:08.159045,147,1,0,0,-1,{},RTTTTT
2023-08-21 23:24:09.158470,148,1,0,0,-1,{},RTTTTT
2023-08-21 23:24:10.159126,149,1,0,0,-1,{},RTTTTT
2023-08-21 23:24:11.160155,150,1,0,0,-1,{},RTTTTT
2023-08-21 23:24:12.159170,151,1,0,0,-1,{},RTTTTT
2023-08-21 23:24:13.158520,152,1,0,0,-1,{},RTTTTT
2023-08-21 23:24:14.158949,153,1,0,0,-1,{},RTTTTT
2023-08-21 23:24:15.158230,154,1,0,0,-1,{},RTTTTT
2023-08-21 23:24:16.158346,155,1,0,0,-1,{},RTTTTT
2023-08-21 23:24:17.159069,156,1,0,0,-1,{},RTTTTT
