TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,ERRS,SLOTS
2023-09-27 04:13:47.480414,244,6,6,{190:1;216:1;231:1;258:1;285:1;608:1;610:1;611:1;612:1;613:1;621:1;626:1;628:1;630:1;634:1;636:1;638:1;639:1;643:1;644:1;645:1;832:1;835:1;837:1;841:1;845:1;846:1;848:1;850:1;853:1;855:1;857:1;861:1;862:1;870:1;871:1;947:1;948:1;951:1;960:1;962:1;963:1;974:1;1160:1;1170:1;1171:1;1173:1;1176:1;1178:1;1180:1;1182:1;1184:1;1185:1;1188:1;1190:1;1191:1;1193:1;1195:1;1196:1;1198:1;1232:1;1233:1;1235:1;1236:1;1237:1;1251:1;1258:1;1259:1;1266:1;1267:1;1269:1;1271:1;1512:1;1513:1;1527:1;1706:1;1752:1;1753:1;1755:1;1756:1;1757:1;1761:1;1762:1;1765:1;1766:1;1767:1;1769:1;1771:1;1773:1;1774:1;1776:1;1777:1;1778:1;1780:1;1781:1;1782:1;1783:1;1786:2;1787:2;1790:1;1791:2;1792:1;1795:1;1796:1;1797:1;1798:1;1799:1;1801:1;1803:1;1806:1;1807:1;1808:1;1809:1;1812:1;1813:1;1814:1;1815:1;1816:1;1818:1;1819:1;1821:1;1830:1;1831:1;},CCCCCC
2023-09-27 04:13:48.479926,245,5,4,{504:1;505:1;506:1;519:1;520:1;522:1;524:1;531:1;532:1;533:1;534:1;986:1;987:1;988:1;991:1;997:1;1000:1;1001:1;1002:1;1003:1;1005:1;1007:1;1008:1;1010:1;1011:1;1015:1;1023:1;1034:1;1048:1;1162:1;1163:1;1164:1;1165:1;1169:1;1171:1;1173:1;1175:1;1177:1;1179:1;1182:1;1183:1;1185:1;1188:1;1189:1;1190:1;1353:1;1355:1;1357:1;1361:1;1362:1;1363:1;1365:1;1366:1;1367:1;1369:1;1371:1;1372:1;1374:1;1375:1;1376:1;1378:1;1381:1;1382:1;1384:1;1387:1;1389:1;1391:1;1396:1;1397:1;1399:1;1474:1;1475:1;1480:1;1482:1;1485:1;1486:1;1489:1;1490:1;1491:1;1492:1;1494:1;1495:1;1500:1;1501:1;1502:1;1504:1;1507:1;1508:1;1509:1;1511:1;1537:1;1565:1;},CCCCRT
2023-09-27 04:13:49.480077,246,6,6,{24:1;26:1;32:1;34:1;35:1;37:1;38:1;40:1;46:1;48:1;49:1;60:1;61:1;62:1;360:1;371:1;373:1;374:1;375:1;376:1;378:1;379:1;382:1;383:1;386:1;387:1;390:1;393:1;395:1;396:1;404:1;406:1;407:1;786:1;1097:1;1100:1;1101:1;1106:1;1110:1;1111:1;1117:1;1118:1;1119:1;1120:1;1123:1;1125:1;1127:1;1128:1;1131:1;1140:1;1142:1;1265:1;1269:1;1272:1;1273:1;1276:1;1278:1;1281:1;1284:1;1285:1;1288:1;1289:1;1290:1;1292:1;1300:1;1303:1;1354:1;1786:1;1788:1;1790:1;1792:1;1793:1;1795:1;1798:1;1799:1;1801:1;1802:1;1805:1;1807:1;1820:1;1822:1;},CCCCCC
2023-09-27 04:13:50.480327,247,1,0,{},RTTTTT
2023-09-27 04:13:51.478588,248,2,1,{400:1;401:1;409:1;410:1;411:1;412:1;413:1;416:1;427:1;432:1;436:1;437:1;438:1;439:1;},CRTTTT
2023-09-27 04:13:52.480128,249,6,6,{145:1;153:1;155:1;156:1;159:1;167:1;169:1;170:1;171:1;172:1;176:1;177:1;178:1;179:1;180:1;181:1;182:1;480:1;481:1;483:1;489:1;495:1;497:1;498:1;500:1;501:1;503:1;511:1;512:1;513:1;514:1;701:1;713:1;714:1;715:1;960:1;963:1;964:1;968:1;969:1;971:1;973:1;974:1;1208:1;1216:1;1218:1;1219:1;1222:1;1223:1;1227:1;1228:1;1229:1;1232:1;1233:1;1237:1;1240:1;1241:1;1243:2;1245:1;1246:1;1247:1;1250:1;1251:1;1252:1;1253:1;1254:2;1255:1;1256:1;1257:1;1259:1;1261:1;1263:1;1271:1;1793:1;1795:1;1796:1;1801:1;1802:1;1803:1;1804:1;1805:1;1807:1;1808:1;1809:1;1813:1;1814:1;1816:1;1819:1;1822:1;1829:1;1831:1;1832:1;1834:1;1835:1;1836:1;1838:1;1846:1;1847:1;1952:1;1961:1;1965:1;1966:1;1968:1;1969:1;1970:1;1971:1;1973:1;1975:1;1976:1;1978:1;1979:1;1980:1;1984:1;1985:1;1986:1;1989:1;1990:1;1991:1;},CCCCCC
2023-09-27 04:13:53.501577,250,6,6,{195:1;204:1;205:1;206:1;207:1;220:1;221:1;222:1;558:1;736:1;993:1;1003:1;1006:1;1007:1;1009:1;1010:1;1012:1;1015:1;1016:1;1017:1;1018:1;1020:1;1024:1;1025:1;1026:1;1029:1;1030:1;1031:1;1039:1;1296:1;1299:1;1300:1;1301:1;1305:1;1315:1;1316:1;1317:1;1319:1;1320:1;1323:1;1325:1;1326:1;1327:1;1328:1;1330:1;1335:1;1338:1;1339:1;1340:1;1341:1;1342:1;1343:1;1344:1;1345:1;1347:1;1349:1;1351:1;1656:1;1665:1;1666:1;1667:1;1668:1;1671:1;1672:1;1674:1;1680:1;1684:1;1689:1;1692:1;1694:1;1695:1;1696:1;1697:1;1698:2;1699:2;1700:1;1701:1;1702:1;1703:1;1704:1;1705:1;1707:1;1708:1;1712:1;1713:1;1715:1;1716:1;1717:1;1719:1;1720:1;1721:1;1722:1;1725:1;1726:1;1727:1;1728:1;1729:1;1730:1;1731:1;1732:1;1733:1;1793:1;1794:1;1797:1;1798:1;1801:1;1802:1;1805:1;1806:1;1807:1;1809:1;1812:1;1813:1;1814:1;1816:1;1817:1;1819:1;1827:1;1828:1;1829:1;1830:1;1831:1;},CCCCCC
2023-09-27 04:13:54.479178,251,2,1,{432:1;433:1;437:1;438:1;440:1;441:1;443:1;444:1;447:1;449:1;452:1;453:1;454:1;455:1;457:1;461:1;466:1;608:1;610:1;612:1;614:1;616:1;617:1;618:1;619:1;620:1;621:1;622:1;628:1;629:1;652:1;653:1;},CRTTTT
2023-09-27 04:13:55.478866,252,2,1,{422:1;425:1;426:1;428:1;430:1;433:1;434:1;435:1;436:1;440:1;441:1;442:1;443:1;446:1;},CRTTTT
2023-09-27 04:13:56.479648,253,1,0,{},RTTTTT
