Timestamp,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SCS_FLAG,ERRS,SLOTS
2023-09-26 23:39:42.177739,1,4,3,0,-1,{49:1;53:1;64:1;66:1;67:1;69:1;70:1;74:1;94:1;103:2;110:1;127:1;391:1;396:1;406:1;407:1;408:1;415:1;429:1;696:1;723:1;729:1;736:1;747:1;751:1;780:1;915:1;1050:1;1065:1;1069:1;1086:1;1094:1;1102:1;1376:2;1380:1;1381:2;1390:1;1407:1;1429:1;1438:1;1445:1;1569:1;1698:1;1706:2;1712:1;1715:1;1725:1;1727:1;1735:1;1755:1;1758:1;1907:1;},.....R
2023-09-26 23:39:43.178041,2,1,0,0,-1,{},RTTTTT
2023-09-26 23:39:44.179993,3,1,0,0,-1,{},RTTTTT
2023-09-26 23:39:45.179012,4,1,0,0,-1,{},RTTTTT
2023-09-26 23:39:46.177841,5,1,0,0,-1,{},RTTTTT
2023-09-26 23:39:47.180607,6,7,6,6,1,{49:1;51:1;68:1;71:1;74:2;84:1;93:1;107:1;390:1;392:1;418:2;445:1;626:1;627:1;722:1;731:1;764:1;769:1;785:1;795:1;806:1;978:1;989:1;1008:1;1072:1;1078:1;1083:1;1116:1;1122:1;1127:1;1128:2;1140:2;1150:1;1164:1;1173:1;1184:1;1194:1;1195:1;1200:1;1215:1;1233:1;1248:1;1249:1;1257:1;1259:1;1302:1;1303:1;1308:1;1318:1;1319:1;1321:1;1326:1;1328:1;1335:1;1343:1;1349:1;1360:1;1361:1;1364:1;1372:1;1383:1;1393:1;1394:1;1400:1;1401:1;1403:1;1404:1;1412:1;1413:1;1419:1;1420:1;1422:1;1423:1;1426:1;1434:1;1439:1;1442:1;1449:1;1459:2;1470:1;1472:1;1487:1;1488:1;1489:1;1492:1;1495:1;1496:1;1497:1;1505:1;1506:1;1519:1;1521:1;1522:1;1526:1;1532:1;1540:1;1544:1;1547:1;1559:1;1561:1;1571:1;1572:1;1620:1;1633:1;1634:1;1636:1;1637:1;1639:1;1648:1;1685:1;1694:1;1695:1;1722:1;1723:1;1725:1;1731:1;1732:1;1740:1;1743:1;1753:1;1755:1;1756:1;1772:1;1773:1;1785:1;1789:1;1795:1;1797:1;1806:1;1826:1;1833:1;1846:1;1853:1;1858:1;1863:1;1891:1;},CCCCCC
2023-09-26 23:39:48.178048,7,1,0,6,-1,{},RTTTTT
2023-09-26 23:39:49.179587,8,1,0,0,-1,{},RTTTTT
2023-09-26 23:39:50.178191,9,1,0,0,-1,{},RTTTTT
2023-09-26 23:39:51.180672,10,7,6,6,1,{17:1;18:1;20:1;21:1;26:1;33:1;42:1;43:1;44:1;48:1;51:1;56:1;58:1;66:1;69:1;70:1;71:1;76:1;81:1;90:1;102:1;105:1;106:1;107:1;111:1;116:1;146:1;158:1;194:1;204:1;219:1;377:1;474:1;483:1;491:1;499:1;527:1;543:1;544:1;554:1;557:1;561:1;565:1;578:1;680:1;695:1;701:1;848:1;858:1;859:1;860:1;865:1;869:1;878:1;928:1;940:1;944:2;966:1;969:1;981:1;1056:1;1192:1;1248:1;1323:1;1324:1;1332:2;1335:1;1350:1;1357:1;1365:1;1377:1;1452:1;1458:1;1459:1;1532:1;1621:1;1638:1;1644:1;1647:1;1653:1;1698:1;1702:1;1706:1;1710:1;1729:1;1735:1;1841:1;1850:1;2010:1;2015:1;},CCCCCC
