TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,ERRS,SLOTS
2023-10-05 01:43:28.321398,364,6,6,{65:1;66:1;67:1;673:1;674:1;680:1;681:1;682:1;684:1;685:1;686:1;687:1;689:1;691:1;693:1;696:1;701:1;705:1;706:1;709:1;711:1;1144:1;1145:1;1158:1;1159:1;1216:1;1217:1;1220:1;1221:1;1222:1;1223:1;1224:1;1227:1;1230:1;1231:1;1234:1;1237:1;1238:1;1239:1;1241:1;1242:1;1243:1;1244:1;1245:1;1247:1;1253:1;1255:1;1490:1;1491:1;1493:1;1496:1;1497:1;1498:1;1500:1;1501:1;1502:1;1503:1;1504:1;1510:1;1511:1;1512:1;1513:1;1516:1;1517:1;1518:1;1527:1;1768:1;1779:1;1781:1;1784:1;1786:1;1789:1;1790:1;1793:1;1795:1;1797:1;1799:1;1800:1;1803:1;1804:1;1805:1;1806:1;1807:1;1881:1;1908:1;1936:1;1937:1;1938:1;1947:1;1948:1;1951:1;},CCCCCC
2023-10-05 01:43:29.320645,365,1,0,{},RTTTTT
2023-10-05 01:43:30.319972,366,1,0,{},RTTTTT
2023-10-05 01:43:31.320524,367,1,0,{},RTTTTT
2023-10-05 01:43:32.319662,368,1,0,{},RTTTTT
2023-10-05 01:43:33.320422,369,6,5,{104:1;105:1;106:1;108:1;112:1;113:1;120:1;121:1;122:1;123:1;125:1;127:1;131:1;132:1;133:1;135:1;142:1;143:1;528:1;537:1;538:1;540:1;542:1;552:1;554:1;565:1;864:1;866:1;876:1;877:1;878:1;880:1;881:1;882:1;885:1;886:1;887:1;888:1;889:1;892:1;893:1;895:1;898:1;899:1;902:1;1081:1;1082:1;1521:1;1528:1;1531:1;1532:1;1535:1;1537:1;1539:1;1540:1;1542:1;1543:1;1544:1;1547:1;1548:1;1551:1;1556:1;1557:1;1818:1;1819:1;1820:1;1824:1;1829:1;1833:1;1836:1;1838:1;1839:1;1841:1;1843:1;1846:1;1850:1;1851:1;1852:1;1853:1;1855:1;},CCCCCR
2023-10-05 01:43:34.320728,370,2,1,{1371:1;1372:1;1373:1;1374:1;1375:1;1376:1;1381:1;1382:1;1386:1;1390:1;1394:1;1395:1;1397:1;1398:1;1399:1;1404:1;1405:1;1407:1;},CRTTTT
2023-10-05 01:43:35.319883,371,1,0,{},RTTTTT
2023-10-05 01:43:36.322049,372,1,0,{},RTTTTT
2023-10-05 01:43:37.320664,373,6,5,{382:1;1088:1;1096:1;1098:1;1099:1;1102:1;1103:1;1106:1;1108:1;1110:1;1112:1;1113:1;1115:1;1123:1;1124:1;1126:1;1127:1;1153:1;1161:1;1162:1;1163:1;1165:1;1169:1;1171:1;1172:1;1174:1;1177:1;1178:1;1180:1;1187:1;1189:1;1191:1;1576:1;1584:1;1585:1;1587:1;1588:1;1590:1;1599:1;1601:1;1602:1;1603:1;1633:1;1640:1;1642:1;1643:1;1646:1;1650:1;1652:1;1653:1;1654:1;1655:1;1657:1;1661:1;1663:1;1670:1;1671:1;1817:1;1818:1;},CCCCCR
2023-10-05 01:43:38.319995,374,1,0,{},RTTTTT
2023-10-05 01:43:39.320914,375,2,1,{210:1;213:1;219:1;220:1;221:1;222:1;223:1;230:1;231:1;233:1;234:1;235:1;238:1;243:1;245:1;246:1;247:1;1232:1;1235:1;1242:1;1243:1;1245:1;1246:1;1250:1;1251:1;1253:1;1261:1;1262:1;1263:1;1269:1;},CRTTTT
2023-10-05 01:43:40.320036,376,1,0,{},RTTTTT
2023-10-05 01:43:41.322026,377,6,6,{258:1;259:1;260:1;272:1;275:1;287:1;643:1;670:1;888:1;890:1;891:1;893:1;894:1;899:1;900:1;901:1;905:1;906:1;908:1;909:1;910:1;912:1;913:1;914:1;917:1;925:1;926:1;927:1;1128:1;1129:1;1131:1;1134:1;1136:1;1138:1;1140:1;1141:1;1144:1;1147:1;1148:1;1151:1;1152:1;1153:1;1154:1;1157:1;1158:1;1163:1;1166:1;1167:1;1424:1;1425:1;1426:1;1427:1;1432:1;1433:1;1436:1;1437:1;1438:1;1441:1;1442:1;1444:1;1447:1;1449:1;1450:1;1451:1;1454:1;1737:1;1749:1;1751:1;1753:1;1755:1;1756:1;1757:1;1758:1;1759:1;1761:1;1762:1;1763:1;1765:1;1768:1;1770:1;1771:1;1773:1;1774:1;1783:1;},CCCCCC
2023-10-05 01:43:42.321243,378,6,6,{16:1;25:1;27:1;30:1;37:1;38:1;39:1;145:1;146:1;148:1;152:1;154:1;155:1;156:1;158:1;160:1;165:1;166:1;167:1;168:1;169:1;170:1;171:1;183:1;296:1;297:1;298:1;537:1;550:1;551:1;553:1;555:1;558:1;561:1;562:1;565:1;567:1;568:1;572:1;573:1;574:1;583:1;904:1;905:1;906:1;914:1;915:1;916:1;928:1;1244:1;1496:1;1497:1;1504:1;1505:1;1507:1;1508:1;1513:1;1515:1;1517:1;1518:1;1519:1;1520:1;1521:1;1522:1;1523:1;1524:1;1526:1;1529:1;1531:1;1532:1;1534:1;1535:1;1542:1;},CCCCCC
2023-10-05 01:43:43.319827,379,2,1,{},CRTTTT
2023-10-05 01:43:44.319975,380,1,0,{},RTTTTT
2023-10-05 01:43:45.319723,381,2,1,{1576:1;1580:1;1586:1;1590:1;1592:1;1593:1;1595:1;1598:1;1599:1;1600:1;1601:1;1602:1;1604:1;1605:1;1606:1;1609:1;1611:1;1613:1;1614:1;1615:1;},CRTTTT
2023-10-05 01:43:46.320258,382,3,2,{709:1;710:1;711:1;714:1;717:1;719:1;720:1;722:1;724:1;726:1;727:1;729:1;730:1;732:1;734:1;739:1;740:1;741:1;742:1;1032:1;1033:1;1040:1;1043:1;1044:1;1046:1;1047:1;1049:1;1050:1;1051:1;1053:1;1056:1;1058:1;1059:1;1061:1;1063:1;1064:1;1065:1;1066:1;1067:1;1068:1;1069:1;1079:1;},CCRTTT
2023-10-05 01:43:47.321302,383,4,3,{408:1;409:1;410:1;418:1;419:1;422:1;423:1;424:1;425:1;426:1;429:1;431:1;436:1;437:1;440:1;442:1;444:1;445:1;447:1;455:1;865:1;880:1;881:1;882:1;891:1;892:1;893:1;895:1;896:1;897:1;909:1;911:1;1993:1;1995:1;2001:1;2003:1;2005:1;2007:1;2008:1;2009:1;2010:1;2012:1;2013:1;2014:1;2015:1;2019:1;2020:1;2029:1;2030:1;},CCCRTT
2023-10-05 01:43:48.320747,384,1,0,{},RTTTTT
2023-10-05 01:43:49.321292,385,3,2,{401:1;402:1;403:1;404:1;406:1;408:1;409:1;410:1;412:1;414:1;415:1;416:1;417:1;419:1;422:1;427:1;428:1;429:1;571:1;572:1;576:1;577:1;579:1;580:1;584:1;587:1;590:1;1456:1;1458:1;1469:1;1470:1;},CCRTTT
2023-10-05 01:43:50.320435,386,2,1,{1664:1;1677:1;1679:1;1680:1;1681:1;1682:1;1685:1;1686:1;1687:1;1688:1;1689:1;1690:1;1692:1;1694:1;1698:1;1699:1;1784:1;1785:1;1787:1;1788:1;1790:1;1793:1;1795:1;1796:1;1798:1;1799:1;1800:1;1801:1;1806:1;1809:1;1813:1;1822:1;1823:1;},CRTTTT
2023-10-05 01:43:51.320382,387,6,5,{208:1;210:1;216:1;218:1;219:1;222:1;223:1;224:1;225:1;234:1;235:1;236:1;238:1;242:1;243:1;246:1;247:1;320:1;324:1;325:1;326:1;330:1;331:1;332:1;333:1;337:1;339:1;340:1;342:1;345:1;347:1;351:1;356:1;357:1;359:1;577:1;1009:1;1011:1;1012:1;1018:1;1019:1;1020:1;1022:1;1028:1;1029:1;1030:1;1031:1;1038:1;1039:1;1177:1;1178:1;1179:1;1181:1;1184:1;1185:1;1187:1;1188:1;1189:1;1192:1;1193:1;1194:1;1196:1;1197:1;1198:1;1202:1;1203:1;1204:1;1207:1;1211:1;1212:1;1213:1;1215:1;1469:1;1471:1;1689:1;1690:1;1693:1;1701:1;1702:1;1704:1;1715:1;1719:1;},CCCCCR
2023-10-05 01:43:52.321090,388,4,3,{417:1;422:1;423:1;424:1;426:1;428:1;429:1;431:1;432:1;433:1;435:1;437:1;438:1;440:1;441:1;442:1;445:1;944:1;945:1;946:1;949:1;950:1;951:1;953:1;954:1;956:1;964:1;965:1;966:1;969:1;970:1;971:1;975:1;981:1;983:1;1294:1;1295:1;1712:1;1721:1;1726:1;1747:1;1748:1;1749:1;1750:1;},CCCRTT
2023-10-05 01:43:53.319609,389,1,0,{},RTTTTT
2023-10-05 01:43:54.320833,390,6,6,{67:1;73:1;74:1;76:1;77:1;78:1;79:1;80:1;81:1;83:1;88:1;91:1;92:1;93:1;95:1;96:1;98:1;99:1;103:1;206:1;216:1;217:1;231:1;488:1;489:1;491:1;493:1;497:1;503:1;504:1;505:1;506:1;510:1;514:1;515:1;516:1;518:1;526:1;527:1;534:1;545:1;546:1;547:1;904:1;905:1;909:1;910:1;914:1;916:1;917:1;920:1;921:1;922:1;923:1;926:1;928:1;929:1;930:1;932:1;933:1;934:1;935:1;941:1;1114:1;1115:1;1117:1;1124:1;1127:1;1137:1;1138:1;1554:1;1560:1;1561:1;1564:1;1566:1;1568:1;1569:1;1570:1;1573:1;1578:1;1579:1;1582:1;1583:1;1584:1;1586:1;1587:1;1588:1;1590:1;1591:1;1599:1;},CCCCCC
2023-10-05 01:43:55.319194,391,4,3,{1225:1;1235:1;1238:1;1239:1;1240:1;1241:1;1243:1;1244:1;1245:1;1246:1;1247:1;1249:1;1253:1;1256:1;1257:1;1258:1;1260:1;1261:1;1936:1;1937:1;1938:1;1951:1;1953:1;1966:1;1967:1;1992:1;2001:1;2002:1;2005:1;2007:1;2009:1;2010:1;2011:1;2012:1;2015:1;2016:1;2017:1;2019:1;2024:1;2025:1;2028:1;2030:1;2031:1;2039:1;},CCCRTT
2023-10-05 01:43:56.320316,392,4,3,{330:1;331:1;332:1;336:1;337:1;338:1;341:1;342:1;343:1;345:1;347:1;349:1;350:1;365:1;366:1;954:1;955:1;957:1;962:1;963:1;964:1;967:1;968:1;970:1;971:1;973:1;974:1;977:1;978:1;979:1;980:1;981:1;983:1;987:1;990:1;991:1;1001:1;1728:1;1737:1;1741:1;1742:1;1744:1;1747:1;1750:1;1751:1;1753:1;1754:1;1755:1;1757:1;1758:1;1760:1;1762:1;1764:1;1767:1;1773:1;1774:1;},CHCCRT
2023-10-05 01:43:57.321644,393,6,6,{47:1;380:1;384:1;385:1;386:1;388:1;391:1;392:1;393:1;395:1;396:1;400:1;403:1;404:1;405:1;406:1;409:1;410:1;415:1;661:1;662:1;663:1;745:1;920:1;923:1;928:1;929:1;931:1;933:1;934:1;937:1;938:1;939:1;940:1;944:1;945:1;946:1;948:1;1120:1;1128:1;1130:1;1131:1;1132:1;1134:1;1135:1;1137:1;1138:1;1141:1;1142:1;1143:1;1145:1;1148:1;1149:1;1155:1;1156:1;1157:1;1158:1;1159:1;1164:1;1165:1;1472:1;1474:1;1480:1;1483:1;1484:1;1486:1;1487:1;1492:1;1493:1;1504:1;1507:1;1508:1;},CCCCCC
2023-10-05 01:43:58.320174,394,1,0,{},RTTTTT
2023-10-05 01:43:59.320699,395,1,0,{},RTTTTT
2023-10-05 01:44:00.321527,396,2,1,{249:1;261:1;262:1;265:1;272:1;273:1;274:1;275:1;277:1;278:1;280:1;281:1;282:1;283:1;294:1;1481:1;1483:1;1484:1;1485:1;1486:1;1487:1;1488:1;1489:1;1490:1;1491:1;1493:1;1494:1;1497:1;1498:1;1499:1;1501:1;1505:1;1506:1;1507:1;1509:1;1510:1;1517:1;1518:1;1519:1;},CRTTTT
2023-10-05 01:44:01.320831,397,2,1,{1080:1;1082:1;1083:1;1088:1;1091:1;1092:1;1094:1;1095:1;1096:1;1097:1;1099:1;1101:1;1102:1;1103:1;1104:1;1107:1;1109:1;1110:1;1113:1;1114:1;1115:1;1116:1;1117:1;1153:1;1154:1;1155:1;1163:1;1164:1;1166:1;1168:1;1169:1;1170:1;1171:1;1172:1;1173:1;1179:1;1180:1;1181:1;},CRTTTT
2023-10-05 01:44:02.319487,398,2,1,{52:1;57:1;58:1;59:1;62:1;63:1;64:1;65:1;66:1;68:1;72:1;73:1;75:1;77:1;81:1;82:1;84:1;86:1;888:1;897:1;900:1;901:1;902:1;904:1;905:1;906:1;908:1;912:1;915:1;917:1;918:1;919:1;920:1;923:1;924:1;925:1;931:1;932:1;933:1;934:1;935:1;},CRTTTT
2023-10-05 01:44:03.320448,399,6,6,{57:1;58:1;59:1;61:1;63:1;64:1;65:1;67:1;68:1;69:2;71:1;72:1;73:1;74:1;75:2;77:2;78:1;79:2;80:1;81:2;82:2;83:1;84:1;85:2;86:1;87:1;89:1;90:1;92:1;94:1;97:1;127:1;721:1;722:1;725:1;728:1;730:1;733:1;737:1;738:1;739:1;742:1;743:1;792:1;1536:1;1544:1;1549:1;1550:1;1551:1;1552:1;1554:1;1560:1;1561:1;1567:1;1569:1;1570:1;1573:1;1574:1;1800:1;1801:1;1802:1;1808:1;1811:1;1813:1;1816:1;1820:1;1821:1;1822:1;1828:1;1830:1;1831:1;1833:1;1835:1;1847:1;},CCCCCC
2023-10-05 01:44:04.321585,400,4,3,{424:1;425:1;437:1;438:1;439:1;1432:1;1435:1;1436:1;1441:1;1442:1;1443:1;1444:1;1445:1;1446:1;1449:1;1450:1;1451:1;1454:1;1455:1;1456:1;1457:1;1458:1;1459:1;1466:1;1469:1;1470:1;1682:1;1708:1;1709:1;},CCCRTT
2023-10-05 01:44:05.319875,401,1,0,{},RTTTTT
2023-10-05 01:44:06.321653,402,2,1,{792:1;793:1;794:1;800:1;803:1;804:1;807:1;810:1;811:1;815:1;817:1;819:1;820:1;821:1;823:1;829:1;830:1;831:1;1897:1;1899:1;1906:1;1908:1;1910:1;1913:1;1914:1;1915:1;1919:1;1920:1;1922:1;1923:1;1924:1;1927:1;1928:1;1929:1;1932:1;1933:1;1935:1;1943:1;},CRTTTT
2023-10-05 01:44:07.321168,403,1,0,{},RTTTTT
2023-10-05 01:44:08.320816,404,1,0,{},RTTTTT
2023-10-05 01:44:09.320525,405,6,5,{291:1;293:1;294:1;295:1;296:1;297:1;299:1;301:1;306:1;308:1;310:1;311:1;312:1;314:1;316:1;326:1;416:1;419:1;420:1;421:1;422:1;426:1;427:1;431:1;432:1;433:1;434:1;435:1;438:1;442:1;454:1;808:1;810:1;811:1;825:1;834:1;835:1;838:1;841:1;843:1;845:1;847:1;1120:1;1125:1;1126:1;1127:1;1138:1;1139:2;1142:1;1146:1;1148:1;1151:1;1153:1;1154:1;1155:1;1156:1;1157:1;1159:1;1165:1;1592:1;1605:1;1606:1;1618:1;1619:1;1620:1;1622:1;},CCCCCR
2023-10-05 01:44:10.321304,406,2,1,{1384:1;1385:1;1387:1;1388:1;1390:1;1392:1;1393:1;1394:1;1395:1;1397:1;1400:1;1402:1;1404:1;1406:1;1408:1;1409:1;1411:1;1414:1;1415:1;1423:1;},CRTTTT
2023-10-05 01:44:11.321339,407,1,0,{},RTTTTT
2023-10-05 01:44:12.320845,408,2,1,{2032:1;2033:1;2034:1;2035:1;2036:1;2038:1;2039:1;},CRTTTT
2023-10-05 01:44:13.320623,409,5,4,{656:1;657:1;660:1;664:1;665:1;666:1;667:1;668:1;671:1;674:1;676:1;679:1;680:1;684:1;685:1;687:1;690:1;692:1;695:1;1026:1;1027:1;1028:1;1032:1;1034:1;1036:1;1037:1;1039:1;1041:1;1042:1;1044:1;1047:1;1049:1;1050:1;1051:1;1052:1;1054:1;1061:1;1062:1;1063:1;1664:1;1817:1;1825:1;1827:1;1828:1;1840:1;1842:1;1843:1;1845:1;1846:1;1847:1;1852:1;1853:1;1854:1;1855:1;2016:1;},CCCCRT
2023-10-05 01:44:14.320913,410,3,2,{1185:1;1186:1;1187:1;1188:1;1190:1;1192:1;1193:1;1194:1;1197:1;1198:1;1199:1;1203:1;1204:1;1205:1;1206:1;1207:1;1208:1;1210:1;1214:1;1219:1;1220:1;1222:1;1424:1;1425:1;1428:1;1429:1;1431:1;1432:1;1434:1;1439:1;1440:1;1442:1;1443:1;1444:1;1446:1;1454:1;1461:1;1463:1;},CCRTTT
2023-10-05 01:44:15.323905,411,1,0,{},RTTTTT
2023-10-05 01:44:16.321680,412,2,1,{1078:1;1080:1;1082:1;1083:1;1084:1;1085:1;1088:1;1090:1;1092:1;1094:1;1096:1;1098:1;1100:1;1101:1;1103:1;1105:1;1108:1;1109:1;1113:1;1114:1;1116:1;1117:1;1118:1;1119:1;1122:1;1123:1;1124:1;1125:1;1129:1;1130:1;1132:1;1133:1;1134:1;1137:1;1138:1;1139:1;1142:1;1143:1;1150:1;},CRTTTT
2023-10-05 01:44:17.320065,413,1,0,{},RTTTTT
2023-10-05 01:44:18.321001,414,1,0,{},RTTTTT
2023-10-05 01:44:19.321543,415,4,4,{649:1;660:1;661:1;662:1;663:1;674:1;675:1;676:1;677:1;678:1;889:1;890:1;891:1;893:1;895:1;896:1;899:1;901:1;903:1;904:1;912:1;913:1;916:1;917:1;918:1;1328:1;1342:1;1343:1;1345:1;1346:1;1356:1;1358:1;1359:1;1804:1;1805:1;},HHCCCC
2023-10-05 01:44:20.321132,416,1,0,{},HRTTTT
2023-10-05 01:44:21.320692,417,3,2,{272:1;277:1;287:1;289:1;1290:1;1291:1;1292:1;1296:1;1298:1;1300:1;1303:1;1304:1;1307:1;1308:1;1309:1;1310:1;1311:1;1312:1;1313:1;1319:1;1322:1;1324:1;1326:1;},CCRTTT
2023-10-05 01:44:22.321061,418,1,0,{},RTTTTT
2023-10-05 01:44:23.320540,419,3,2,{481:1;483:1;486:1;487:1;488:1;489:1;490:1;491:1;492:1;497:1;499:1;501:1;504:1;505:1;509:1;511:1;517:1;518:1;1936:1;1937:1;1944:1;1947:1;1948:1;1949:1;1951:1;1955:1;1960:1;1961:1;1965:1;1966:1;1967:1;1974:1;2000:1;2001:1;2002:1;},CCRTTT
2023-10-05 01:44:24.320566,420,3,2,{232:1;240:1;243:1;244:1;245:1;246:1;247:1;249:1;251:1;253:1;254:1;255:1;258:1;261:1;263:1;266:1;267:1;270:1;277:1;874:1;875:1;883:1;884:1;885:1;888:1;896:1;898:1;903:1;907:1;910:1;1092:1;1104:1;1105:1;1106:1;1107:1;},CCRTTT
2023-10-05 01:44:25.321225,421,2,1,{400:1;401:1;403:1;410:1;411:1;412:1;420:1;421:1;423:1;424:1;426:1;428:1;434:1;435:1;436:1;437:1;439:1;1002:1;1004:1;1006:1;1008:1;1012:1;1017:1;1018:1;1019:1;1021:1;1023:1;1024:1;1025:1;1026:1;1027:1;1029:1;1031:1;1036:1;1037:1;1038:1;1039:1;},CRTTTT
2023-10-05 01:44:26.320966,422,1,0,{},RTTTTT
2023-10-05 01:44:27.320119,423,2,1,{1193:1;1196:1;1201:1;1202:1;1204:1;1207:1;1208:1;1209:1;1211:1;1213:1;1214:1;1215:1;1220:1;1222:1;1223:1;1226:1;1227:1;1229:1;1230:1;},CRTTTT
2023-10-05 01:44:28.320313,424,3,2,{1145:1;1146:1;1152:1;1154:1;1159:1;1162:1;1163:1;1164:1;1165:1;1166:1;1167:1;1171:1;1173:1;1174:1;1180:1;1182:1;1183:1;1576:1;1577:1;1578:1;1591:1;1604:1;1605:1;1607:1;},CCRTTT
2023-10-05 01:44:29.320210,425,4,3,{432:1;441:1;444:1;446:1;447:1;449:1;454:1;455:1;456:1;461:1;463:1;464:1;469:1;471:1;846:1;847:1;857:1;858:1;859:1;860:1;862:1;864:1;865:1;870:1;871:1;878:1;881:1;894:1;896:1;899:1;900:1;902:1;907:1;908:1;911:1;917:1;919:1;},CCCRTT
2023-10-05 01:44:30.320361,426,2,1,{2008:1;2018:1;2019:1;2020:1;2022:1;2024:1;2025:1;2027:1;2029:1;2033:1;2034:1;2035:1;2038:1;2039:1;},CRTTTT
2023-10-05 01:44:31.320988,427,1,0,{},RTTTTT
2023-10-05 01:44:32.320024,428,4,3,{56:1;64:1;66:1;67:1;70:1;71:1;72:1;75:1;77:1;79:1;80:1;83:1;85:1;89:1;90:1;93:1;103:1;960:1;962:1;968:1;972:1;973:1;974:1;975:1;976:1;979:1;981:1;985:1;988:1;992:1;995:1;996:1;998:1;1007:1;1336:1;1337:1;1338:1;1339:1;1340:1;1341:1;1344:1;1345:1;1352:1;1356:1;1357:1;1358:1;1361:1;1362:1;1364:1;1366:1;},CCCRTT
2023-10-05 01:44:33.320536,429,1,0,{},RTTTTT
2023-10-05 01:44:34.320713,430,3,2,{528:1;530:1;533:1;543:1;548:1;1448:1;1449:1;1450:1;1451:1;1452:1;1453:1;1459:1;1462:1;1464:1;1465:1;1466:1;1469:1;1470:1;1471:1;1476:1;1477:1;1478:1;1479:1;1481:1;1482:1;1483:1;},CCRTTT
2023-10-05 01:44:35.320188,431,1,0,{},RTTTTT
2023-10-05 01:44:36.320299,432,1,0,{},RTTTTT
2023-10-05 01:44:37.320235,433,2,1,{1801:1;1803:1;1805:1;1808:1;1810:1;1811:1;1815:1;1816:1;1817:1;1818:1;1819:1;1821:1;1822:1;1823:1;1824:1;1825:1;1827:1;1828:1;1831:1;1835:1;1838:1;1839:1;},CRTTTT
2023-10-05 01:44:38.320970,434,5,4,{24:1;25:1;26:1;104:1;105:1;106:1;108:1;116:1;117:1;121:1;123:1;124:1;125:1;131:1;132:1;134:1;135:1;138:1;139:1;141:1;143:1;658:1;662:1;664:1;665:1;667:1;669:1;671:1;672:1;673:1;674:1;676:1;678:1;1056:1;1057:1;1071:1;1530:1;1538:1;1541:1;1543:1;1546:1;1547:1;1548:1;1551:1;1552:1;1553:1;1554:1;1555:1;1557:1;1560:1;1562:1;1563:1;1565:1;1566:1;1567:1;1720:1;1722:1;1723:1;1725:1;1726:1;1728:1;1731:1;1734:1;1741:1;1743:1;1744:1;1747:1;1748:1;1749:1;1750:1;1751:1;1756:1;1758:1;},CCCCRT
2023-10-05 01:44:39.321443,435,1,0,{},RTTTTT
2023-10-05 01:44:40.321193,436,1,0,{},RTTTTT
2023-10-05 01:44:41.321093,437,1,0,{},RTTTTT
2023-10-05 01:44:42.320733,438,2,1,{1432:1;1433:1;1434:1;1440:1;1442:1;1443:1;1447:1;1451:1;1453:1;1456:1;1459:1;1460:1;1461:1;1464:1;1467:1;1468:1;1469:1;1470:1;1471:1;},CRTTTT
2023-10-05 01:44:43.320549,439,2,1,{1682:1;1683:1;1684:1;1688:1;1691:1;1695:1;1697:1;1698:1;1701:1;1702:1;1703:1;1704:1;1705:1;1706:1;1707:1;1709:1;1711:1;1717:1;1718:1;},CRTTTT
2023-10-05 01:44:44.320395,440,1,0,{},RTTTTT
2023-10-05 01:44:45.320846,441,1,0,{},RTTTTT
2023-10-05 01:44:46.320449,442,1,0,{},RTTTTT
2023-10-05 01:44:47.320345,443,1,0,{},RTTTTT
