TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,ERRS,SLOTS
2023-10-05 01:23:40.434120,125,1,0,{},RTTTTT
2023-10-05 01:23:41.434989,126,2,1,{1141:1;1162:1;1163:1;1168:1;1169:1;1182:1;1192:1;1194:1;1210:1;1219:1;1238:1;1243:1;1250:1;1251:1;1271:1;1277:1;1278:1;1288:1;1293:1;1303:1;1321:1;1322:1;1334:1;1335:1;},CRTTTT
2023-10-05 01:23:42.433741,127,1,0,{},RTTTTT
2023-10-05 01:23:43.433716,128,1,0,{},RTTTTT
2023-10-05 01:23:44.434998,129,1,0,{},RTTTTT
2023-10-05 01:23:45.434799,130,1,0,{},RTTTTT
2023-10-05 01:23:46.434470,131,1,0,{},RTTTTT
2023-10-05 01:23:47.435035,132,1,0,{},RTTTTT
2023-10-05 01:23:48.434188,133,1,0,{},RTTTTT
2023-10-05 01:23:49.434850,134,1,0,{},RTTTTT
2023-10-05 01:23:50.434515,135,2,1,{1128:1;1144:1;1145:1;1151:1;1153:1;1154:1;1171:1;1174:1;1196:1;1224:1;1226:1;1227:1;1250:1;1251:1;1254:1;1262:1;1268:1;1269:1;1274:1;1276:1;1277:1;1284:1;1285:1;1309:1;1310:1;1311:1;1314:1;1315:1;1337:1;1347:1;1363:1;},CRTTTT
2023-10-05 01:23:51.433835,136,1,0,{},RTTTTT
2023-10-05 01:23:52.434572,137,1,0,{},RTTTTT
2023-10-05 01:23:53.434980,138,1,0,{},RTTTTT
2023-10-05 01:23:54.434573,139,1,0,{},RTTTTT
2023-10-05 01:23:55.434050,140,1,0,{},RTTTTT
2023-10-05 01:23:56.433762,141,0,0,{},HHHHHE
2023-10-05 01:23:57.434799,142,1,0,{},RTTTTT
