Timestamp,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SCS_FLAG,ERRS,SLOTS
2023-10-05 00:12:14.575698,244,1,0,0,-1,{},RTTTTT
2023-10-05 00:12:15.574844,245,1,0,0,-1,{},RTTTTT
2023-10-05 00:12:16.576513,246,1,0,0,-1,{},RTTTTT
2023-10-05 00:12:17.575483,247,1,0,0,-1,{},RTTTTT
2023-10-05 00:12:18.575300,248,1,0,0,-1,{},RTTTTT
2023-10-05 00:12:19.576629,249,4,4,4,0,{222:1;229:1;233:1;245:1;251:1;253:1;255:1;257:1;262:1;265:1;268:1;274:1;282:1;286:1;291:1;297:1;301:1;305:1;312:1;315:1;323:1;325:1;326:2;330:1;332:1;333:1;338:1;340:1;342:2;344:1;346:1;347:1;348:1;350:1;351:1;352:1;353:1;354:1;357:1;360:1;363:1;366:2;372:1;373:1;376:1;378:1;379:1;381:1;383:1;386:1;391:1;392:1;396:1;398:1;400:1;402:1;407:1;417:1;419:1;429:1;431:1;433:1;441:1;442:1;443:1;444:1;446:1;447:1;452:1;458:1;464:1;465:1;466:1;469:1;472:1;482:1;497:1;508:1;509:1;513:1;520:1;521:1;544:1;552:1;560:1;563:1;565:1;566:1;573:1;575:1;594:1;596:1;602:1;604:1;605:1;607:1;608:1;609:1;611:1;613:1;617:1;622:1;625:1;628:1;634:1;637:1;639:1;646:1;651:1;654:1;657:1;658:1;659:1;672:1;673:1;677:1;678:1;697:1;698:1;699:1;700:1;713:1;716:1;741:1;1191:1;1206:1;1224:1;1226:1;1227:1;1229:1;1242:1;1244:1;1247:1;1253:1;1255:1;1257:1;1262:1;1268:1;1273:1;1285:1;1287:2;1297:1;1301:1;1303:1;1307:1;1308:1;1310:1;1315:1;1316:1;1317:1;1318:1;1319:1;1320:1;1321:1;1323:1;1326:1;1327:1;1328:1;1330:1;1334:1;1335:1;1336:1;1339:1;1340:1;1342:1;1346:1;1347:1;1349:1;1351:1;1352:2;1354:1;1357:1;1359:1;1360:1;1363:1;1364:1;1365:2;1366:1;1370:1;1375:2;1383:1;1386:1;1390:1;1395:1;1398:1;1400:1;1404:1;1406:1;1411:1;1418:1;1419:1;1420:1;1423:1;1424:1;1428:1;1435:1;1439:1;1442:1;1451:1;1453:1;1457:1;1458:1;1459:1;1473:1;1476:1;1479:1;1483:1;1484:1;1485:1;1491:1;1500:1;1505:1;1521:1;1524:1;1543:1;1548:1;1550:1;1552:1;1554:1;1556:1;1557:1;1559:1;1563:1;1571:1;1575:1;1576:1;1582:1;1583:1;1585:1;1589:1;1594:1;1596:1;1599:1;1603:1;1605:1;1606:1;1615:1;1616:1;1621:1;1626:1;1643:1;1650:1;1658:1;1659:1;1666:1;1677:1;1680:1;1681:1;1682:1;1683:1;1687:1;1692:1;1695:1;1721:1;1753:1;1770:1;1778:1;1786:1;1787:1;1790:1;1793:1;1802:1;1803:1;1820:1;1829:1;1830:1;1832:1;1833:1;1836:1;1837:1;1842:1;1843:1;1844:1;1850:1;1851:1;1862:1;1863:1;1864:1;1923:1;1924:1;1948:1;1949:1;1956:1;1957:1;1962:1;1963:1;1979:1;1980:1;1987:1;1992:1;1993:1;1996:1;1997:1;2001:1;2010:1;2013:1;2016:1;2024:1;2031:1;2039:1;},CCHHCC
2023-10-05 00:12:20.574187,250,1,0,4,-1,{},RTTTTT
2023-10-05 00:12:21.574627,251,1,0,0,-1,{},RTTTTT
2023-10-05 00:12:22.575089,252,1,0,0,-1,{},RTTTTT
2023-10-05 00:12:23.575111,253,1,0,0,-1,{},RTTTTT
2023-10-05 00:12:24.574954,254,1,0,0,-1,{},RTTTTT
2023-10-05 00:12:25.574496,255,1,0,0,-1,{},RTTTTT
