Timestamp,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SCS_FLAG,ERRS,SLOTS
2023-10-05 00:54:13.640026,123,1,0,0,-1,{},RTTTTT
2023-10-05 00:54:14.640521,124,1,0,0,-1,{},RTTTTT
2023-10-05 00:54:15.640818,125,1,0,0,-1,{},RTTTTT
2023-10-05 00:54:16.640371,126,1,0,0,-1,{},RTTTTT
2023-10-05 00:54:17.639906,127,4,3,3,-1,{360:1;375:1;413:1;417:1;419:1;481:1;490:1;495:1;824:1;838:1;839:1;1427:1;1428:1;1897:1;1899:1;1905:1;1906:1;1907:1;1908:1;1909:1;1911:1;1912:1;1915:1;1916:1;1917:1;1919:1;1923:1;1927:1;1929:1;1930:1;1931:1;1932:1;1933:1;1935:1;1936:1;1939:1;1941:1;1942:1;1943:1;1944:1;1945:1;1947:1;1948:1;1949:1;1950:1;1951:1;1952:1;1953:1;1956:1;1957:1;1962:1;1964:1;1965:1;1966:1;1974:1;1976:1;1977:1;1978:1;1980:1;1981:1;1983:1;1984:1;1986:1;1987:1;1992:1;1993:1;1996:1;2000:1;2001:1;2002:1;2003:1;2005:1;2009:1;2010:1;2011:1;2013:1;2016:1;2017:1;2018:1;2019:1;2020:1;2022:1;2023:1;2024:1;2026:1;2030:1;2031:1;2032:1;2037:1;2038:1;2039:1;},CCCRTT
2023-10-05 00:54:18.640218,128,1,0,0,-1,{},RTTTTT
2023-10-05 00:54:19.642131,129,6,5,5,1,{88:1;103:1;104:1;106:1;108:1;113:2;114:1;115:2;117:1;119:1;122:1;123:2;124:1;126:1;127:2;128:1;129:1;130:1;131:2;132:1;133:1;136:1;139:1;140:1;142:1;143:1;144:1;147:1;150:1;151:1;152:1;153:1;154:1;155:1;157:1;160:1;162:1;168:1;170:1;171:1;174:1;175:1;176:1;177:1;179:1;180:1;184:1;185:1;187:1;191:1;193:1;197:1;198:1;199:1;202:1;208:1;213:1;216:1;217:1;221:1;222:1;225:1;229:1;231:1;232:1;234:1;237:1;238:1;242:1;243:1;244:1;245:1;246:1;247:1;255:1;323:1;324:1;325:1;326:1;464:1;466:1;468:1;479:1;491:1;492:1;685:1;686:1;696:1;697:1;698:1;701:1;726:1;728:1;737:1;742:1;743:1;744:1;745:1;748:1;749:1;750:1;765:1;841:1;842:1;843:1;844:1;864:1;865:1;866:1;868:1;880:1;882:1;894:1;895:1;1066:1;1067:1;1069:1;1077:1;1079:1;1240:1;1242:1;1255:1;1257:1;1409:1;1412:1;1413:1;1436:1;1437:1;1439:1;1592:1;1605:1;1606:1;1786:1;1787:1;1788:1;1798:1;1799:1;1811:1;1812:1;1813:1;1814:1;1816:1;1827:1;1828:1;1829:1;1830:1;1831:1;1995:1;1996:1;},CCCHCC
2023-10-05 00:54:20.640661,130,2,1,5,-1,{1794:1;1802:1;1808:1;1811:1;1813:1;1814:1;1815:1;1817:1;1818:1;1820:1;1821:1;1822:1;1823:1;1827:1;1828:1;1832:1;1834:1;1838:1;1840:1;1843:1;1853:1;1854:1;1855:1;1856:1;1859:1;1860:1;1861:1;1862:1;1866:1;1867:1;1868:1;1869:1;1872:1;1875:1;1876:1;1879:1;1882:1;1883:1;1884:1;1888:1;1889:1;1890:1;1891:1;1893:1;1894:1;1895:1;1897:1;1900:1;1904:1;1905:1;1907:1;1909:1;1916:1;1917:1;1918:1;1919:1;1920:1;1922:1;1923:1;1924:1;1926:1;1927:1;1931:1;1932:1;1933:1;1938:1;1939:1;1940:1;1941:1;1942:1;1949:1;},CRTTTT
2023-10-05 00:54:21.640215,131,1,0,0,-1,{},RTTTTT
2023-10-05 00:54:22.640094,132,1,0,0,-1,{},RTTTTT
