TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,ERRS,SLOTS
2023-10-06 19:10:35.449999,1,2,1,{26:1;28:1;32:1;34:1;35:1;37:1;38:1;43:1;44:1;45:1;46:1;48:1;50:1;51:1;52:1;54:1;55:1;60:1;61:1;62:1;63:1;65:1;66:1;67:1;69:1;72:1;73:1;74:1;75:1;76:1;78:1;81:1;82:1;84:1;90:1;92:1;93:1;98:1;99:1;100:1;101:1;102:1;105:1;106:1;110:1;112:1;113:1;116:1;117:1;118:1;119:1;121:1;122:1;123:1;126:1;127:1;129:1;132:1;134:1;137:1;139:1;145:1;146:1;148:1;150:1;153:1;154:1;155:1;156:1;157:1;162:1;164:1;165:1;170:1;171:1;172:1;175:1;183:1;984:1;985:1;987:1;993:1;994:1;995:1;998:1;999:1;1000:1;1002:1;1004:1;1005:1;1006:1;1008:1;1010:1;1011:1;1015:1;1016:1;1017:1;1019:1;1021:1;1022:1;1023:1;1024:1;1025:1;1028:1;1030:1;1033:1;1035:1;1036:1;1039:1;1041:1;1043:1;1045:1;1046:1;1047:1;1048:1;1050:1;1052:1;1053:1;1058:1;1061:1;1062:1;1064:1;1067:1;1068:1;1070:1;1071:1;1072:1;1076:1;1077:1;1078:1;1080:1;1081:1;1083:1;1085:1;1095:1;1111:1;1131:1;1132:1;1134:1;},...RTT
2023-10-06 19:10:36.450612,2,1,0,{},RTTTTT
2023-10-06 19:10:37.450387,3,3,2,{178:1;180:1;182:1;184:1;187:1;188:1;189:1;190:1;196:1;197:1;1200:1;1202:1;1204:1;1205:1;1206:1;1210:1;1211:1;1213:1;1217:1;1220:1;1221:1;1222:1;1223:1;1226:1;1228:1;1231:1;1232:1;1235:1;1236:1;1239:1;1243:1;1245:1;1246:1;1259:1;1260:1;1261:1;1262:1;1263:1;1264:1;1273:1;1275:1;1279:1;1287:1;1304:1;1305:1;1306:1;1308:1;1309:1;1317:1;1318:1;1319:1;1321:1;1322:1;1325:1;1326:1;1329:1;1331:1;1333:1;1335:1;1336:1;1339:1;1340:1;1341:1;1347:1;1348:1;1349:1;1351:1;1529:1;1536:1;1540:1;1542:1;1546:1;1550:1;1553:1;1555:1;1556:1;1558:1;1560:1;1562:1;1566:1;1567:1;1571:1;1575:1;1579:1;1584:1;1585:1;1586:1;1587:1;1590:1;1591:1;1594:1;1598:1;1599:1;1600:1;1602:1;1603:1;1604:1;1605:1;1606:1;1607:1;1610:1;1613:1;1615:1;1618:1;1619:1;1620:1;1622:1;1623:1;1626:1;1627:1;1628:1;1629:1;1631:1;1635:1;1637:1;1639:1;1646:1;1647:1;1651:1;1653:1;1654:1;1656:1;1660:1;1662:1;1663:1;1664:1;1665:1;1667:1;1670:1;1671:1;1675:1;1679:1;1682:1;1683:1;1685:1;1686:1;},CCRTTT
2023-10-06 19:10:38.450937,4,1,0,{},RTTTTT
2023-10-06 19:10:39.451568,5,2,1,{41:1;42:1;43:1;45:1;47:1;48:1;50:1;52:1;53:1;54:1;55:1;56:1;60:1;61:1;62:1;63:1;64:1;70:1;71:1;73:1;75:1;77:1;78:1;82:1;83:1;84:1;85:1;87:1;88:1;90:1;92:1;95:1;101:1;102:1;103:1;104:1;106:1;107:1;112:1;114:1;115:1;118:1;119:1;120:1;121:1;124:1;125:1;126:1;127:1;129:1;131:1;134:1;138:1;141:1;142:1;143:1;144:1;148:1;150:1;152:1;154:1;156:1;157:1;160:1;161:1;162:1;164:1;167:1;171:1;172:1;174:1;176:1;177:1;178:1;179:1;180:1;181:1;182:1;183:1;184:1;186:1;189:1;190:1;191:1;199:1;},CRTTTT
2023-10-06 19:10:40.451591,6,1,0,{},RTTTTT
2023-10-06 19:10:41.452271,7,1,0,{},RTTTTT
2023-10-06 19:10:42.451849,8,3,2,{1024:1;1025:1;1026:1;1028:1;1032:1;1033:1;1034:1;1037:1;1064:1;1065:1;1072:1;1075:1;1076:1;1077:1;1080:1;1081:1;1089:1;1090:1;1091:1;1093:1;1094:1;1096:1;1098:1;1099:1;1102:1;1104:1;1105:1;1106:1;1110:1;1111:1;1113:1;1117:1;1118:1;1119:1;1121:1;1125:1;1126:1;1127:1;1128:1;1130:1;1132:1;1133:1;1134:1;1135:1;1136:1;1137:1;1138:1;1144:1;1146:1;1149:1;1150:1;1157:1;1158:1;1160:1;1163:1;1167:1;1172:1;1173:1;1175:1;1528:1;1530:1;1539:1;1540:1;1541:1;1543:1;1544:1;1545:1;1548:1;1549:1;1558:1;1559:1;1573:1;1574:1;1576:1;1579:1;1580:1;1581:1;1582:1;1583:1;1590:1;1608:1;1611:1;1613:1;1615:1;1616:1;1626:1;1627:1;1629:1;1630:1;1631:1;1632:1;1634:1;1637:1;1639:1;1644:1;1647:1;1664:1;1674:1;1675:1;1676:1;1679:1;},CCRTTT
2023-10-06 19:10:43.452023,9,2,1,{65:1;66:1;74:1;75:1;76:1;77:1;80:1;82:1;83:1;85:1;87:1;91:1;92:1;93:1;94:1;95:1;96:1;99:1;101:1;102:1;103:1;104:1;105:1;107:1;111:1;113:1;115:1;118:1;119:1;122:1;124:1;126:1;127:1;128:1;133:1;135:1;139:1;140:1;142:1;143:1;144:1;145:1;146:1;148:1;149:1;150:1;151:1;152:1;153:1;154:1;156:1;158:1;162:1;163:1;164:1;165:1;166:1;169:1;170:1;172:1;175:1;180:1;184:1;185:1;186:1;189:1;190:1;193:1;194:1;196:1;198:1;199:1;200:1;203:1;205:1;208:1;211:1;212:1;221:1;222:1;223:1;1007:1;1011:1;1012:1;1014:1;1016:1;1020:1;1028:1;1029:1;1030:1;1031:1;1032:1;1033:1;1034:1;1035:1;1040:1;1041:1;1042:1;1043:1;1044:1;1045:1;1047:1;1050:1;1053:1;1054:1;1055:1;1056:1;1063:1;1064:1;1065:1;1070:1;1072:1;1076:1;1079:1;1082:1;1083:1;1088:1;1090:1;1091:1;1092:1;1097:1;1100:1;1107:1;1108:1;1111:1;1117:1;1119:1;1120:1;1123:1;1124:1;1125:1;1127:1;1129:1;1130:1;1132:1;1138:1;1139:1;1142:1;1143:1;1149:1;},CRTTTT
2023-10-06 19:10:44.451702,10,1,0,{},RTTTTT
