Timestamp,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SCS_FLAG,ERRS,SLOTS
2023-09-27 18:42:49.657086,364,1,0,0,-1,{},RTTTTT
2023-09-27 18:42:50.657374,365,1,0,0,-1,{},RTTTTT
2023-09-27 18:42:51.658005,366,5,4,4,-1,{17:1;43:1;46:1;51:1;53:1;79:1;83:1;86:1;95:1;155:1;166:1;170:1;180:1;190:1;205:1;210:1;213:1;222:1;225:1;246:1;327:1;330:1;338:1;345:1;358:1;360:1;366:1;370:1;395:1;481:1;494:1;503:1;506:1;509:1;526:1;528:1;531:1;535:1;556:1;567:1;574:1;648:1;680:1;686:1;689:1;707:1;712:1;784:1;802:1;810:1;817:1;829:1;839:1;842:1;847:1;848:1;855:1;876:1;884:1;887:1;953:1;961:1;990:1;997:1;1001:1;1005:1;1010:1;1031:1;1034:1;1039:1;1118:1;1122:1;1129:1;1130:1;1157:1;1165:1;1188:1;1191:1;1192:1;1195:1;1198:1;1265:1;1284:1;1292:1;1310:1;1313:1;1315:1;1320:1;1324:1;1326:1;1364:1;1441:1;1450:1;1457:1;1460:1;1474:1;1476:1;1486:1;1491:1;1497:1;1504:1;1507:1;1513:1;1593:1;1630:1;1634:1;1636:1;1638:1;1639:1;1644:1;1650:1;1656:1;1666:1;1676:1;1736:1;1764:1;1772:1;1784:1;1792:1;1795:1;1803:1;1806:1;1816:1;1826:1;1834:1;1835:1;1838:1;1881:1;1888:1;1889:1;1902:1;1908:1;1912:1;1927:1;1941:1;1946:1;1947:1;1950:1;1953:1;1957:1;1958:1;1959:1;1960:1;1962:1;1963:1;1964:1;1965:1;1967:1;1969:1;1971:1;1973:1;1975:1;1977:1;1978:1;1979:1;1980:1;1981:1;1982:1;1983:1;1985:1;1995:1;2008:1;2015:1;2016:1;2017:1;2020:1;2021:1;2032:1;2033:1;},HCCCCR
2023-09-27 18:42:52.657072,367,2,1,5,-1,{1872:1;1874:1;1875:1;1876:1;1881:1;1882:1;1883:1;1887:1;1889:1;1891:1;1892:1;1896:1;1897:1;1898:1;1899:1;1901:1;1902:1;1904:1;1905:1;1910:1;1911:1;1912:1;1916:1;1917:1;1919:1;1922:1;1926:1;1928:1;1930:1;1931:1;1933:1;1935:1;1947:1;1949:1;1950:1;1953:1;1956:1;1959:1;1961:1;1964:1;1969:1;1972:1;1975:1;1976:1;1980:1;1984:1;1985:1;1986:1;1989:1;1990:1;1991:1;1995:1;1996:1;1998:1;1999:1;2000:1;2002:1;2003:1;2009:1;2010:1;2011:1;2013:1;2016:1;2017:1;2020:1;2021:1;2023:1;2024:1;2030:1;2031:1;2032:1;2033:1;2034:1;2035:1;2036:1;},CRTTTT
2023-09-27 18:42:53.657449,368,1,0,0,-1,{},RTTTTT
2023-09-27 18:42:54.655951,369,1,0,0,-1,{},RTTTTT
2023-09-27 18:42:55.656957,370,1,0,0,-1,{},RTTTTT
2023-09-27 18:42:56.656901,371,1,0,0,-1,{},RTTTTT
2023-09-27 18:42:57.657561,372,6,6,6,0,{10:2;37:1;43:1;46:1;49:1;59:2;132:1;158:1;161:2;166:2;174:1;183:1;184:1;187:1;200:1;209:2;219:1;229:1;277:1;281:1;297:1;306:1;308:1;310:1;311:1;316:1;318:1;319:1;322:1;323:1;324:1;328:1;329:1;331:1;332:2;333:1;334:1;336:1;338:1;340:2;342:1;343:1;348:1;349:1;350:1;351:1;354:1;356:1;357:1;358:1;361:1;362:1;363:1;366:1;367:1;370:2;374:1;375:1;377:1;381:1;382:1;383:1;386:1;387:1;391:1;393:1;394:1;396:1;398:1;400:1;402:1;403:1;404:1;406:1;407:1;408:1;409:1;415:1;420:1;423:1;425:1;427:1;428:1;429:1;430:1;431:1;433:1;435:1;437:1;442:1;443:1;445:1;447:1;449:1;450:1;452:1;453:1;454:1;455:1;457:1;459:1;461:1;462:1;464:2;466:1;468:1;469:1;470:1;471:2;473:1;474:2;477:2;480:1;481:2;482:1;484:1;485:1;486:1;487:1;488:1;489:2;490:1;491:1;493:1;496:2;500:1;502:1;505:1;506:1;507:1;508:1;510:1;511:1;514:3;515:1;517:3;518:1;520:3;521:1;522:1;523:2;525:1;528:1;530:1;531:1;532:1;535:1;542:1;543:1;545:1;546:1;547:1;548:1;550:1;553:1;554:1;555:1;556:1;557:1;558:1;563:1;565:1;566:1;567:1;572:1;573:1;574:1;581:1;582:1;584:1;585:1;587:1;588:1;594:1;603:1;604:1;605:1;606:1;607:1;613:1;621:1;629:1;637:1;640:1;644:2;648:1;666:2;669:1;675:1;684:1;742:1;777:1;781:2;786:1;792:1;795:1;799:2;812:1;818:1;826:2;925:1;932:2;948:1;956:1;989:2;1043:1;1049:1;1050:1;1052:1;1054:1;1055:1;1068:1;1069:1;1070:1;1072:1;1073:1;1077:1;1080:1;1082:1;1083:1;1086:1;1087:1;1088:2;1089:1;1090:1;1092:1;1093:1;1094:1;1095:3;1098:1;1100:1;1101:1;1102:2;1103:1;1105:1;1106:1;1110:1;1111:1;1113:1;1114:1;1117:1;1119:1;1120:2;1122:1;1124:1;1125:1;1126:1;1129:2;1133:1;1135:1;1139:1;1141:1;1142:1;1145:1;1148:1;1150:1;1151:1;1152:1;1156:1;1168:1;1169:1;1176:1;1179:1;1182:1;1184:1;1187:1;1188:1;1189:1;1191:1;1192:1;1194:2;1195:1;1199:1;1200:1;1201:1;1205:2;1209:1;1212:1;1214:1;1216:1;1217:1;1218:1;1222:1;1227:1;1230:1;1231:1;1233:1;1234:1;1235:1;1236:1;1237:1;1244:3;1245:1;1246:1;1254:2;1256:1;1263:1;1264:1;1265:1;1268:1;1269:1;1271:1;1272:1;1274:1;1276:1;1278:1;1280:2;1282:1;1283:1;1286:1;1287:3;1288:1;1290:1;1291:2;1292:1;1293:1;1295:1;1297:1;1298:1;1302:1;1303:1;1310:1;1312:1;1313:1;1314:1;1315:1;1321:1;1326:1;1327:1;1329:1;1331:1;1337:1;1338:1;1341:1;1342:1;1343:1;1347:1;1349:1;1350:1;1352:1;1355:1;1391:1;1397:1;1402:1;1412:1;1422:1;1426:1;1441:2;1507:1;1536:2;1539:2;1547:2;1552:1;1565:1;1581:1;1606:2;1657:2;1664:2;1669:1;1670:1;1674:1;1677:1;1678:1;1680:1;1682:1;1683:1;1684:1;1685:1;1686:2;1689:2;1690:1;1691:1;1693:1;1694:2;1699:1;1700:2;1704:1;1706:1;1707:2;1710:2;1711:2;1714:1;1728:1;1731:1;1739:1;1744:1;1745:1;1746:2;1750:2;1752:1;1756:1;1759:1;1764:1;1765:1;1767:1;1769:1;1770:1;1771:2;1772:2;1777:1;1782:1;1785:1;1787:1;1790:2;1791:2;1796:1;1802:1;1803:2;1805:1;1809:3;1810:2;1811:2;1812:2;1819:1;1820:2;1822:1;1826:1;1828:1;1829:1;1830:1;1833:1;1834:1;1837:1;1838:1;1839:1;1842:1;1845:1;1849:1;1850:2;1851:1;1853:3;1854:1;1856:2;1857:1;1859:1;1860:1;1861:1;1863:1;1865:2;1866:1;1867:1;1869:2;1871:2;1877:1;1878:1;1879:1;1880:1;1882:1;1883:1;1886:1;1888:1;1889:1;1890:1;1891:1;1895:1;1900:1;1901:1;1902:1;1903:1;1906:1;1908:1;1909:2;1913:1;1915:1;1919:1;1924:1;1930:1;1932:1;1933:1;1934:1;1940:1;1943:1;1945:1;1946:1;1948:1;1951:1;1954:1;1955:1;1956:1;1957:1;1958:1;1966:1;1968:1;1972:1;1973:1;1974:1;1975:1;1983:1;1996:1;2002:2;2010:2;2013:2;2022:1;2028:1;},CCCCCC
2023-09-27 18:42:58.655924,373,1,0,6,-1,{},RTTTTT
2023-09-27 18:42:59.655914,374,1,0,0,-1,{},HRTTTT
2023-09-27 18:43:00.656087,375,1,0,0,-1,{},RTTTTT
2023-09-27 18:43:01.656815,376,2,1,1,-1,{1648:1;1650:1;1672:1;1676:1;1677:1;1678:1;1686:1;1688:1;1689:1;1691:1;1709:1;1711:1;1714:1;1715:1;1717:1;1729:1;1743:1;1762:1;1763:1;1767:1;1772:1;1773:1;1778:1;1794:1;1815:1;1822:1;1842:1;1848:1;1851:1;1852:1;1854:1;1858:1;1859:1;1868:1;1873:1;1874:1;1886:1;1891:1;1896:1;1905:1;1906:1;1912:1;1915:1;1916:1;1917:1;1927:1;},CRTTTT
2023-09-27 18:43:02.657052,377,1,0,0,-1,{},RTTTTT
2023-09-27 18:43:03.656920,378,1,0,0,-1,{},RTTTTT
2023-09-27 18:43:04.657994,379,1,0,0,-1,{},RTTTTT
2023-09-27 18:43:05.656922,380,3,2,2,-1,{60:1;193:1;203:1;344:1;784:1;1225:1;1388:1;1532:1;1649:1;1659:1;1660:1;1664:1;1670:1;1671:1;1672:1;1674:1;1676:1;1677:1;1689:1;1691:1;1692:1;1694:1;1696:1;1698:1;1699:1;1702:1;1711:1;1718:1;1722:1;1739:1;1742:1;1743:1;1745:1;1748:1;1750:1;1755:1;1758:1;1762:1;1763:1;1764:1;1765:1;1769:1;1770:1;1776:1;1783:1;1785:1;1786:1;1792:1;1793:1;1794:1;1799:1;1806:1;1812:1;1813:1;1815:1;1816:1;1817:1;1819:1;1820:1;1822:1;1828:1;1829:1;1833:1;1838:1;1842:1;1851:1;1863:1;1871:1;1878:1;1879:1;1886:1;1887:1;1891:1;1896:1;1897:1;1904:1;1906:1;1908:1;1909:1;1928:1;1929:1;1930:1;1931:1;1936:1;1938:1;1944:1;1949:1;1951:1;1953:1;1958:1;1965:1;},CCRTTT
2023-09-27 18:43:06.656179,381,1,0,2,-1,{},RTTTTT
2023-09-27 18:43:07.655936,382,1,0,2,-1,{},RTTTTT
2023-09-27 18:43:08.656156,383,1,0,0,-1,{},RTTTTT
2023-09-27 18:43:09.659259,384,1,0,0,-1,{},RTTTTT
2023-09-27 18:43:10.657769,385,1,0,0,-1,{},RTTTTT
2023-09-27 18:43:11.657741,386,2,1,1,-1,{1137:1;1138:1;1146:1;1147:1;1148:1;1149:1;1150:1;1153:1;1155:1;1158:1;1159:1;1162:1;1164:1;1165:1;1168:1;1169:1;1170:1;1172:1;1174:1;1178:1;1179:1;1183:1;1184:1;1185:1;1190:1;1193:1;1195:1;1197:1;1204:1;1206:1;1207:1;1212:1;1213:1;1218:1;1220:1;1221:1;1222:1;1223:1;1226:1;1228:1;1231:1;1232:1;1233:1;1235:1;1236:1;1237:1;1238:1;1239:1;1240:1;1242:1;1243:1;1252:1;1255:1;1257:1;1260:1;1262:1;1263:1;1267:1;1273:1;1277:1;1281:1;1282:1;1284:1;1286:1;1289:1;1290:1;1291:1;1292:1;1293:1;1294:1;1295:1;1296:1;1297:1;1301:1;1302:1;1303:1;1305:1;1306:1;1309:1;1311:1;1315:1;1316:1;1317:1;1321:1;1322:1;1323:1;1324:1;1326:1;1327:1;1329:1;1330:1;1331:1;1332:1;1333:1;1336:1;1341:1;1343:1;1345:1;1346:1;1348:1;1349:1;1350:1;1354:1;1355:1;1356:1;1358:1;1359:1;1361:1;1363:1;1365:1;1366:1;1367:1;1368:1;1370:1;1371:1;1372:1;1373:1;1374:1;1375:1;1376:1;1377:1;1378:1;1379:1;1380:1;1382:1;1383:1;1384:1;1385:1;1386:1;1387:1;1388:1;1391:1;1392:1;1394:1;1396:1;1397:1;1399:1;1400:1;1402:1;1403:1;1408:1;1409:1;1411:1;1412:1;1413:1;1414:1;1416:1;1419:1;1425:1;1431:1;1433:1;1434:1;1435:1;1440:1;1442:1;1443:1;1444:1;1445:1;1446:1;1448:1;1450:1;1452:1;1453:1;1458:1;1459:1;1460:1;1461:1;1463:1;1465:1;1466:1;1467:1;1468:1;1470:1;1471:1;1472:1;1476:1;1477:1;1480:1;1481:1;1483:1;1486:1;1488:1;1489:1;1492:1;1495:1;1496:1;1499:1;1504:1;1508:1;1510:1;1512:1;1513:1;1517:1;1520:1;1522:1;1523:1;1524:1;1525:1;1526:1;1527:1;1532:1;1534:1;1535:1;1937:1;1946:1;1947:1;1949:1;1950:1;1951:1;1952:1;1956:1;1957:1;1960:1;1962:1;1963:1;1964:1;1965:1;1967:1;1969:1;1970:1;1972:1;1975:1;1976:1;1978:1;1979:1;1982:1;1984:1;1986:1;1990:1;1991:1;1992:1;1994:1;1995:1;1997:1;1999:1;2000:1;2001:1;2004:1;2007:1;2010:1;2011:1;2013:1;2014:1;2015:1;2018:1;2020:1;2021:1;2024:1;2026:1;2027:1;2028:1;2029:1;2030:1;2031:1;2033:1;2035:1;2036:1;2038:1;2039:1;},CRTTTT
2023-09-27 18:43:12.657158,387,5,4,5,-1,{28:1;83:1;142:1;222:1;252:1;264:1;267:1;269:1;272:1;274:1;283:1;287:1;289:1;291:1;293:1;302:1;303:1;306:1;307:1;310:1;317:1;320:1;331:1;332:1;335:1;337:1;344:1;345:1;352:1;359:1;364:1;367:1;369:1;370:1;372:1;373:1;374:1;377:1;378:1;387:1;390:1;392:1;395:1;399:1;406:1;408:1;414:1;418:1;447:1;454:1;458:2;462:1;463:1;464:1;470:1;485:1;503:1;507:1;509:1;510:1;511:1;512:1;513:1;514:1;518:1;520:1;527:1;528:1;538:1;543:1;605:1;643:1;652:1;655:1;737:1;872:1;881:1;937:1;942:1;1016:1;1133:1;1174:1;1229:1;1305:1;1315:1;1326:1;1362:1;1373:1;1448:1;1452:1;1506:1;1553:1;1597:1;1606:1;1740:1;1788:1;1795:1;1874:1;1881:1;2016:1;2032:1;2033:1;2034:1;2035:1;},CCCCRT
2023-09-27 18:43:13.657307,388,1,0,5,-1,{},RTTTTT
2023-09-27 18:43:14.657795,389,1,0,0,-1,{},RTTTTT
2023-09-27 18:43:15.657586,390,1,0,0,-1,{},RTTTTT
2023-09-27 18:43:16.657835,391,1,0,0,-1,{},RTTTTT
2023-09-27 18:43:17.657384,392,1,0,0,-1,{},RTTTTT
2023-09-27 18:43:18.658565,393,4,4,4,0,{10:1;23:1;27:1;30:1;31:1;49:1;53:1;113:1;155:1;161:1;167:1;178:1;190:1;224:1;267:1;282:1;283:1;287:1;289:1;299:1;305:1;306:1;320:1;325:1;392:1;398:1;415:1;417:1;418:1;427:1;444:1;452:1;453:1;454:1;455:1;456:1;468:1;475:1;476:1;555:1;560:1;563:1;564:1;565:1;569:1;572:1;581:1;602:1;611:1;685:1;696:1;697:1;701:1;704:1;705:1;708:1;710:1;716:1;718:1;728:1;734:1;744:1;747:1;757:1;797:1;806:1;808:1;812:1;813:1;814:1;815:1;818:1;824:1;825:1;828:1;829:1;832:1;833:1;837:1;839:1;840:1;844:1;847:1;849:1;851:2;852:1;853:1;854:1;860:2;861:1;863:1;864:1;866:1;867:1;868:1;869:1;872:1;873:1;879:1;880:1;885:1;887:1;888:1;890:1;893:1;895:1;897:1;899:1;902:1;904:1;905:1;906:1;907:1;911:1;912:1;915:1;917:1;918:1;919:1;926:1;927:1;930:1;933:1;936:1;939:1;941:1;942:1;948:1;949:1;954:1;958:1;959:1;964:2;970:1;972:1;981:1;983:1;985:1;988:1;990:1;992:1;993:1;995:1;996:1;1000:1;1001:1;1003:1;1007:2;1008:1;1009:1;1011:1;1012:1;1014:1;1015:2;1016:1;1018:1;1019:1;1024:1;1026:1;1027:1;1030:1;1036:1;1037:1;1039:1;1045:1;1053:1;1056:1;1062:1;1063:1;1071:1;1074:1;1076:1;1077:1;1081:1;1084:1;1085:1;1086:1;1091:1;1092:1;1093:1;1095:1;1104:1;1107:1;1122:1;1132:1;1143:1;1165:1;1172:1;1182:1;1233:1;1240:1;1256:1;1265:1;1268:1;1269:1;1275:1;1276:1;1283:1;1293:1;1310:1;1316:1;1379:1;1387:1;1388:1;1397:1;1403:1;1404:1;1408:1;1412:1;1422:1;1423:1;1454:1;1460:1;1521:1;1538:1;1539:1;1542:1;1544:1;1545:1;1546:1;1547:1;1548:1;1553:1;1555:1;1556:1;1563:1;1583:1;1584:1;1590:1;1597:1;1657:1;1667:1;1682:1;1691:1;1695:1;1703:1;1710:1;1722:1;1730:1;1741:1;1815:1;1816:1;1819:1;1828:1;1836:1;1837:1;1857:1;1867:1;1878:1;1950:1;1954:1;1957:1;1966:1;1974:1;1975:1;1977:1;1979:1;1980:1;1981:1;1987:1;2002:1;2005:1;2022:1;},HCHCCC
2023-09-27 18:43:19.657768,394,1,0,4,-1,{},RTTTTT
2023-09-27 18:43:20.657822,395,1,0,0,-1,{},RTTTTT
2023-09-27 18:43:21.659277,396,4,4,4,0,{9:1;16:1;18:1;19:1;21:1;22:1;30:1;36:1;37:1;52:1;60:1;133:1;134:1;136:1;148:1;149:1;150:1;151:1;152:1;156:1;164:1;165:1;166:1;167:1;168:1;171:1;172:1;176:1;177:1;183:1;186:1;190:1;271:1;281:1;283:1;284:1;285:1;288:1;289:1;290:1;295:1;297:1;298:1;302:1;304:1;305:1;306:1;307:1;308:2;310:1;314:1;315:1;317:1;318:1;319:1;324:1;337:1;338:1;339:1;408:1;421:1;425:1;434:1;439:1;440:1;441:1;442:1;443:1;444:1;446:1;447:1;448:1;449:1;453:1;454:1;455:1;456:1;461:1;462:1;469:1;475:1;476:1;477:1;478:1;479:1;569:1;574:1;579:1;580:1;584:1;585:1;586:1;587:1;592:1;593:1;594:1;595:1;607:1;614:1;693:1;699:1;702:1;709:1;713:1;714:1;716:1;728:1;729:1;733:1;734:1;735:1;746:1;747:1;748:1;749:1;832:2;833:2;845:1;846:1;847:1;848:1;849:1;850:1;851:1;852:1;853:1;856:1;862:1;864:1;868:1;869:1;871:1;879:1;881:1;884:1;885:1;886:1;887:1;973:1;974:1;976:1;977:1;978:1;979:2;984:1;985:1;991:1;992:1;1000:1;1001:1;1002:1;1003:1;1004:1;1005:1;1006:1;1007:1;1009:1;1010:1;1025:1;1102:1;1112:1;1113:1;1114:1;1120:1;1125:1;1126:1;1128:1;1130:1;1134:1;1137:1;1138:1;1139:1;1144:1;1145:1;1146:1;1147:1;1148:1;1149:1;1150:1;1151:1;1154:1;1156:1;1157:1;1158:1;1159:1;1163:1;1164:2;1171:1;1176:1;1177:1;1219:1;1227:1;1230:1;1232:1;1233:1;1240:1;1246:1;1247:1;1252:1;1253:1;1256:1;1257:1;1264:1;1265:1;1266:1;1267:1;1268:1;1271:1;1272:2;1273:1;1274:2;1279:1;1280:1;1283:2;1284:1;1287:1;1288:2;1289:1;1290:1;1295:1;1303:1;1312:1;1317:1;1327:1;1331:1;1332:1;1334:1;1352:1;1359:1;1366:1;1367:1;1371:1;1374:1;1379:2;1388:1;1389:1;1390:1;1392:2;1393:2;1394:1;1396:1;1397:1;1398:1;1399:1;1400:1;1406:1;1407:2;1408:1;1411:1;1413:1;1415:1;1416:2;1418:1;1419:1;1423:1;1426:1;1427:1;1429:1;1430:1;1431:1;1433:1;1434:1;1435:1;1444:1;1531:1;1532:2;1536:2;1539:1;1543:1;1544:1;1545:1;1546:1;1547:2;1550:1;1551:2;1559:1;1560:1;1561:1;1562:1;1563:1;1564:1;1565:1;1570:1;1579:1;1666:1;1674:1;1676:1;1677:1;1678:1;1679:2;1683:1;1684:1;1685:1;1687:1;1689:1;1690:1;1693:1;1695:1;1696:1;1702:1;1703:1;1704:1;1711:1;1715:1;1717:1;1718:1;1719:1;1722:1;1723:1;1724:1;1798:1;1807:1;1811:1;1815:1;1816:1;1817:1;1818:1;1826:1;1827:1;1828:1;1829:1;1831:1;1835:1;1836:1;1837:1;1838:1;1840:1;1843:1;1845:1;1846:1;1847:1;1940:1;1943:2;1945:1;1953:1;1960:1;1968:1;1971:1;1972:1;1974:1;1975:1;1976:1;1979:2;1980:1;1984:1;1991:1;1993:1;1994:1;1997:1;2000:1;2001:1;2002:1;2004:2;2009:1;2010:1;2014:1;2020:1;2025:1;2026:1;2029:1;},CHCCHC
2023-09-27 18:43:22.658687,397,6,6,10,0,{10:1;23:1;37:1;41:2;49:2;53:2;146:1;149:2;157:1;158:1;176:2;189:2;194:1;210:1;281:1;294:1;315:1;322:2;325:2;333:1;359:1;412:1;417:1;420:1;422:1;426:1;434:1;435:1;438:1;441:1;450:1;451:1;453:1;458:1;459:1;463:1;466:1;472:1;473:1;475:1;476:1;481:1;482:1;486:1;493:1;497:1;502:1;523:1;524:1;526:1;527:1;531:1;532:1;538:1;539:1;550:1;552:1;555:1;560:1;562:1;564:1;565:1;568:1;575:2;578:1;579:1;586:1;595:1;596:1;601:1;605:2;612:1;615:1;624:1;636:1;639:1;649:1;654:1;655:1;662:1;668:1;676:1;678:1;683:1;685:1;686:1;689:1;693:1;694:1;695:2;698:1;699:1;708:1;713:1;721:1;743:2;837:1;844:1;868:1;881:1;885:2;889:1;969:1;979:1;1013:1;1047:1;1074:1;1105:1;1112:1;1115:1;1127:1;1140:1;1165:1;1249:1;1260:1;1285:1;1292:1;1301:1;1311:1;1386:1;1398:1;1422:1;1425:2;1447:1;1450:1;1530:1;1541:1;1563:2;1567:1;1578:1;1629:1;1665:1;1669:1;1674:1;1702:1;1705:2;1709:2;1806:1;1809:1;1811:1;1844:2;1850:1;1939:1;1943:1;1944:1;1951:1;1970:1;1990:2;2005:1;},CCCCCC
2023-09-27 18:43:23.658022,398,1,0,10,-1,{},RTTTTT
2023-09-27 18:43:24.657877,399,1,0,0,-1,{},RTTTTT
2023-09-27 18:43:25.657030,400,1,0,0,-1,{},RTTTTT
2023-09-27 18:43:26.657652,401,1,0,0,-1,{},RTTTTT
