TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,ERRS,SLOTS
2023-10-07 03:33:41.731169,242,1,0,{},RTTTTT
2023-10-07 03:33:42.731744,243,1,0,{},RTTTTT
2023-10-07 03:33:43.731506,244,1,0,{},RTTTTT
2023-10-07 03:33:44.731207,245,1,0,{},RTTTTT
2023-10-07 03:33:45.730042,246,1,0,{},RTTTTT
2023-10-07 03:33:46.730410,247,1,0,{},RTTTTT
2023-10-07 03:33:47.729791,248,1,0,{},RTTTTT
2023-10-07 03:33:48.729879,249,1,0,{},RTTTTT
2023-10-07 03:33:49.730459,250,1,0,{},RTTTTT
2023-10-07 03:33:50.730400,251,2,1,{1584:1;1596:1;1597:1;1598:1;1600:1;1601:1;1602:1;1605:1;1606:1;1607:1;1615:1;1616:1;1617:1;1620:1;1621:1;1625:1;1627:1;1629:1;1632:1;1633:1;1634:1;1637:1;1638:1;1640:1;1643:1;1645:1;1654:1;1655:1;1659:1;1670:1;1674:1;1675:1;1685:1;1689:1;1690:1;1691:1;1702:1;1712:1;1713:1;1716:1;1717:1;1720:1;1722:1;1723:1;1726:1;1727:1;1732:1;1733:1;},CRTTTT
2023-10-07 03:33:51.729811,252,1,0,{},RTTTTT
2023-10-07 03:33:52.730233,253,2,1,{200:1;203:1;204:1;205:1;210:1;211:1;212:1;213:1;216:1;217:1;218:1;219:1;220:1;223:1;225:1;227:1;228:1;229:1;232:1;233:1;234:1;235:1;236:1;243:1;246:1;247:1;257:1;258:1;261:1;262:1;264:1;265:1;267:1;268:1;269:1;270:1;273:1;278:1;282:1;283:1;284:1;285:1;288:1;289:1;292:1;294:1;295:1;303:1;313:1;314:1;322:1;323:1;324:1;325:1;326:1;334:1;335:1;342:1;},CHRTTT
2023-10-07 03:33:53.729972,254,1,0,{},RTTTTT
2023-10-07 03:33:54.730342,255,1,0,{},RTTTTT
2023-10-07 03:33:55.729884,256,4,3,{41:1;48:1;49:1;51:1;54:1;55:1;56:1;59:1;60:1;61:1;65:1;66:1;69:1;70:1;74:1;75:1;77:1;78:1;80:1;82:1;84:1;99:1;100:1;103:1;104:1;106:1;107:1;108:1;110:1;112:1;116:1;119:1;124:1;125:1;127:1;129:1;131:1;132:1;136:1;138:1;145:1;147:1;149:1;151:1;152:1;155:1;159:1;160:1;162:1;165:1;169:1;170:1;171:1;172:1;174:1;176:1;178:1;180:1;181:1;183:1;185:1;186:1;191:1;193:1;194:1;196:1;197:1;198:1;199:1;891:1;892:1;893:1;899:1;901:1;903:1;904:1;911:1;914:1;916:1;918:1;920:1;924:1;926:1;928:1;929:1;930:1;931:1;933:1;935:1;936:1;937:1;940:1;941:1;942:1;943:1;944:1;945:1;946:1;947:1;948:1;950:1;951:1;952:1;955:1;957:1;958:1;959:1;962:1;964:1;965:1;966:1;967:1;968:1;969:1;970:1;973:1;976:1;978:1;979:1;984:1;985:1;986:1;987:1;988:1;989:1;990:1;991:1;997:1;1001:1;1005:1;1006:1;1008:1;1009:1;1012:1;1015:1;1018:1;1019:1;1020:1;1021:1;1024:1;1025:1;1026:1;1028:1;1031:1;1038:1;1039:1;1045:1;1592:1;1607:1;1619:1;1623:1;1624:1;1625:1;1626:1;1634:1;1635:1;1636:1;1639:1;1649:1;1656:1;1658:1;1660:1;1661:1;1663:1;1665:1;1667:1;1671:1;1672:1;1673:1;1676:1;1678:1;1687:1;1698:1;1700:1;1713:1;1714:1;1715:1;1716:1;1721:1;1724:1;1725:1;1726:1;1729:1;1730:2;1733:1;1734:1;1735:1;1740:1;1741:1;1742:1;1743:2;1744:1;1747:1;1748:1;1749:1;1750:1;1751:1;1752:1;1754:1;1756:1;1757:1;1758:1;1760:1;1761:1;1763:1;1764:1;1765:1;1772:1;1773:1;1776:1;1777:1;1780:1;1781:1;1784:1;1785:1;1786:1;1789:1;1790:1;1791:1;1795:1;1796:1;1797:1;1800:1;1802:1;1803:1;1804:1;1805:1;1811:1;1816:1;1817:1;1818:1;1819:1;1822:1;1823:1;1824:1;1825:1;1828:1;1829:1;1830:1;1832:1;1834:1;1840:1;1842:1;1845:1;1846:1;1847:1;1848:1;1850:1;1851:1;1863:1;},CCCRTT
2023-10-07 03:33:56.731106,257,1,0,{},RTTTTT
2023-10-07 03:33:57.730962,258,1,0,{},RTTTTT
2023-10-07 03:33:58.730798,259,1,0,{},RTTTTT
2023-10-07 03:33:59.730372,260,1,0,{},RTTTTT
2023-10-07 03:34:00.729973,261,1,0,{},RTTTTT
2023-10-07 03:34:01.730642,262,2,1,{376:1;379:1;381:1;384:1;386:1;388:1;389:1;390:1;391:1;393:1;394:1;395:1;396:1;404:1;406:1;408:1;409:1;417:1;421:1;422:1;424:1;425:1;427:1;431:1;434:1;435:1;437:1;447:1;448:1;451:1;453:1;458:1;459:1;460:1;463:1;468:1;469:1;471:1;483:1;484:1;494:1;495:1;497:1;511:1;514:1;523:1;524:1;525:1;526:1;527:1;},CRTTTT
2023-10-07 03:34:02.729757,263,2,1,{273:1;275:1;306:1;312:1;321:1;326:1;333:1;334:1;336:1;337:1;338:1;340:1;344:1;345:1;346:1;347:1;348:1;351:1;356:1;358:1;},CRTTTT
2023-10-07 03:34:03.730398,264,2,1,{76:1;82:1;83:1;90:1;91:1;93:1;94:1;95:1;97:1;99:1;101:1;102:1;104:1;105:1;107:1;108:1;109:1;110:1;113:1;115:1;116:1;117:1;121:1;122:1;123:1;126:1;127:1;128:1;133:1;136:1;137:1;138:1;139:1;142:1;145:1;147:1;148:1;149:1;152:1;154:1;156:1;157:1;161:1;162:1;164:1;165:1;166:1;168:1;171:1;174:1;178:1;179:1;184:1;185:1;186:1;189:1;191:1;195:1;196:1;199:1;202:1;205:1;206:1;207:1;210:1;211:1;212:1;213:1;214:1;216:1;217:1;218:1;219:1;222:1;432:1;434:1;447:1;448:1;458:1;462:1;463:1;466:1;474:1;480:1;482:1;483:1;485:1;486:1;487:1;488:1;498:1;500:1;511:1;514:1;517:1;519:1;521:1;522:1;523:1;525:1;527:1;536:1;546:1;547:1;550:1;551:1;552:1;553:1;566:1;567:1;577:1;579:1;581:1;},CRTTTT
2023-10-07 03:34:04.730320,265,1,0,{},HRTTTT
2023-10-07 03:34:05.730388,266,1,0,{},RTTTTT
2023-10-07 03:34:06.730607,267,1,0,{},RTTTTT
2023-10-07 03:34:07.730878,268,1,0,{},RTTTTT
2023-10-07 03:34:08.730584,269,1,0,{},RTTTTT
2023-10-07 03:34:09.730350,270,1,0,{},RTTTTT
2023-10-07 03:34:10.729901,271,1,0,{},RTTTTT
2023-10-07 03:34:11.731617,272,3,2,{1842:1;1843:1;1845:1;1847:1;1850:1;1851:1;1853:1;1855:1;1856:1;1858:1;1859:1;1860:1;1861:1;1863:1;1871:1;1960:1;1962:1;1964:1;1968:1;1969:1;1971:1;1972:1;1973:1;1974:1;1975:1;1979:1;1981:1;1982:1;1983:1;1984:1;1985:1;1986:1;1987:1;1988:1;1989:1;1990:1;1995:1;1998:1;2000:1;2002:1;2003:1;2007:1;2009:1;2010:1;2012:1;2016:1;2019:1;2021:1;2023:1;2025:1;2027:1;2030:1;2031:1;2038:1;2039:1;},CCRTTT
2023-10-07 03:34:12.730974,273,2,1,{1112:1;1115:1;1124:1;1125:1;1126:1;1132:1;1136:1;1137:1;1140:1;1141:1;1143:1;1145:1;1148:1;1149:1;1150:1;1151:1;1153:1;1155:1;1158:1;1159:1;1169:1;1176:1;1178:1;1179:1;1182:1;1183:1;1187:1;1190:1;1193:1;1194:1;1195:1;1196:1;1202:1;1204:1;1206:1;1207:1;1209:1;1213:1;1214:1;1216:1;1218:1;1219:1;1220:1;1221:1;1223:1;1224:1;1225:1;1227:1;1228:1;1230:1;1234:1;1235:1;1238:1;1239:1;1245:1;1246:1;1247:1;},CRTTTT
2023-10-07 03:34:13.730312,274,2,1,{225:1;228:1;234:1;235:1;236:1;237:1;238:1;239:1;240:1;242:1;244:1;245:1;248:1;249:1;250:1;251:1;257:1;258:1;260:1;262:1;263:1;267:1;268:1;270:1;274:1;275:1;276:1;278:1;279:1;282:1;283:1;284:1;285:1;287:1;288:1;290:1;292:1;293:1;295:1;296:1;297:1;299:1;301:1;303:1;305:1;306:1;307:1;308:1;310:1;311:1;312:1;313:1;314:1;315:1;317:1;319:1;322:1;325:1;329:1;331:1;333:1;335:1;336:1;337:1;339:1;345:1;346:1;347:1;349:1;352:1;358:1;359:1;360:1;366:1;367:1;368:1;371:1;372:1;373:1;375:1;382:1;},CRTTTT
2023-10-07 03:34:14.730057,275,1,0,{},RTTTTT
2023-10-07 03:34:15.730920,276,2,1,{1056:1;1057:1;1061:1;1064:1;1068:1;1069:1;1071:1;1073:1;1074:1;1075:1;1079:1;1080:1;1081:1;1084:1;1085:1;1086:1;1087:1;1088:1;1089:1;1090:1;1095:1;1097:1;1099:1;1103:1;1104:1;1107:1;1112:1;1115:1;1116:1;1117:1;1118:1;1119:1;1120:1;1121:1;1122:1;1123:1;1124:1;1127:1;1129:1;1130:1;1131:1;1132:1;1133:1;1136:1;1137:1;1138:1;1140:1;1142:1;1143:1;1145:1;1146:1;1147:1;1150:1;1151:1;1152:1;1154:1;1158:1;1165:1;1170:1;1174:1;1177:1;1181:1;1182:1;1184:1;1186:1;1187:1;1189:1;1190:1;1192:1;1193:1;1195:1;1196:1;1199:1;1201:1;1202:1;1203:1;1204:1;1205:1;1206:1;1207:1;},CRTTTT
2023-10-07 03:34:16.730319,277,1,0,{},RTTTTT
