Timestamp,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SCS_FLAG,ERRS,SLOTS
2023-10-07 02:09:58.176833,364,1,0,0,-1,{},RTTTTT
2023-10-07 02:09:59.177549,365,2,1,1,-1,{152:1;153:1;157:1;158:1;168:1;169:1;170:1;173:1;175:1;176:1;177:1;181:1;183:1;187:1;189:1;192:1;195:1;196:1;198:1;199:1;200:1;201:1;204:1;205:1;206:1;208:1;211:1;213:1;214:1;215:1;217:1;218:1;219:1;220:1;221:1;223:1;224:1;227:1;228:1;232:1;233:1;234:1;235:1;236:1;237:1;238:1;239:1;240:1;243:1;245:1;247:1;248:1;249:1;250:1;251:1;252:1;253:1;254:1;257:1;258:1;260:1;261:1;262:1;263:1;264:1;269:1;272:1;273:1;276:1;280:1;282:1;283:1;284:1;285:1;286:1;288:1;290:1;294:1;296:1;297:1;303:1;304:1;305:1;306:1;307:1;314:1;315:1;321:1;322:1;324:1;325:1;326:1;329:1;332:1;333:1;334:1;336:1;337:1;338:1;339:1;342:1;343:1;346:1;349:1;353:1;355:1;356:1;358:1;360:1;361:1;363:1;364:1;366:1;369:1;370:1;371:1;374:1;377:1;378:1;380:1;381:1;386:1;387:1;389:1;394:1;397:1;398:1;400:1;405:1;408:1;409:1;411:1;413:1;414:1;419:1;421:1;423:1;426:1;427:1;429:1;430:1;431:1;432:1;437:1;441:1;442:1;444:1;445:1;450:1;451:1;452:1;454:1;455:1;461:1;463:1;470:1;471:1;1531:1;1532:1;1552:1;},CRTTTT
2023-10-07 02:10:00.177082,366,1,0,1,-1,{},RTTTTT
2023-10-07 02:10:01.176312,367,2,1,2,-1,{944:1;952:1;954:1;955:1;956:1;957:1;959:1;961:1;962:1;964:1;966:1;967:1;968:1;969:1;970:1;972:1;973:1;974:1;975:1;976:1;978:1;980:1;982:1;984:1;985:1;987:1;989:1;992:1;993:1;994:1;997:1;1002:1;1003:1;1004:1;1012:1;1013:1;1016:1;1017:1;1018:1;1020:1;1026:1;1029:1;1030:1;1034:1;1037:1;1038:1;1040:1;1041:1;1042:1;1043:1;1044:1;1045:1;1046:1;1047:1;1049:1;1050:1;1053:1;1056:1;1057:1;1059:1;1060:1;1061:1;1063:1;1065:1;1066:1;1067:1;1068:1;1069:1;1072:1;1073:1;1076:1;1078:1;1080:1;1082:1;1084:1;1085:1;1086:1;1087:1;1088:1;1090:1;1091:1;1092:1;1094:1;1095:1;1097:1;1098:1;1101:1;1104:1;1105:1;1106:1;1108:1;1110:1;1116:1;1118:1;1121:1;1123:1;1126:1;1127:1;1130:1;1131:1;1133:1;1135:1;1136:1;1138:1;1142:1;1143:1;1144:1;1145:1;1147:1;1149:1;1150:1;1152:1;1153:1;1157:1;1158:1;1159:1;1160:1;1163:1;1165:1;1167:1;1170:1;1171:1;1172:1;1174:1;1176:1;1177:1;1178:1;1179:1;1182:1;1185:1;1186:1;1188:1;1189:1;1191:1;1192:1;1193:1;1202:1;1204:1;1207:1;1209:1;1210:1;1212:1;1217:1;1218:1;1219:1;1220:1;1222:1;1225:1;1226:1;1232:1;1233:1;1234:1;1235:1;1237:1;1238:1;1239:1;1240:1;1241:1;1242:1;1244:1;1248:1;1251:1;1252:1;1253:1;1254:1;1255:1;1263:1;},CRTTTT
2023-10-07 02:10:02.177024,368,1,0,0,-1,{},RTTTTT
2023-10-07 02:10:03.176813,369,1,0,0,-1,{},RTTTTT
2023-10-07 02:10:04.177933,370,2,1,1,-1,{923:1;928:1;942:1;952:1;953:1;960:1;961:1;967:1;974:1;980:1;987:1;991:1;994:1;1001:1;1002:1;1008:1;1010:1;1023:1;1032:1;1036:1;1040:1;1042:1;1045:1;1046:1;1057:1;1062:1;1064:1;1065:1;1066:1;1067:1;1073:1;1078:1;1089:1;1091:1;1097:1;1098:1;1107:1;1108:1;1113:1;1115:1;1118:1;1119:1;1125:1;1128:1;1129:1;1134:1;1138:1;1150:1;1151:1;1152:1;1155:1;1156:1;1163:1;1164:1;1165:1;1166:1;1175:1;1181:1;1182:1;1194:1;1197:1;1199:1;1204:1;1205:1;1206:1;1209:1;1229:1;1230:1;},CRTTTT
2023-10-07 02:10:05.176877,371,1,0,0,-1,{},HRTTTT
2023-10-07 02:10:06.178029,372,1,0,0,-1,{},RTTTTT
2023-10-07 02:10:07.176406,373,1,0,0,-1,{},RTTTTT
