Timestamp,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SCS_FLAG,ERRS,SLOTS
2023-10-07 02:33:21.230422,122,1,0,0,-1,{},RTTTTT
2023-10-07 02:33:22.230922,123,1,0,0,-1,{},RTTTTT
2023-10-07 02:33:23.230545,124,2,1,1,-1,{64:1;65:1;67:1;77:1;78:1;79:1;96:1;99:1;105:1;106:1;109:1;111:1;115:1;116:1;117:1;118:1;120:1;124:1;125:1;126:1;127:1;128:1;131:1;132:1;137:1;139:1;141:1;143:1;144:1;145:1;147:1;148:1;150:1;185:1;186:1;188:1;189:1;190:1;192:1;195:1;196:1;198:1;204:1;205:1;206:1;207:1;},CRTTTT
2023-10-07 02:33:24.229726,125,1,0,0,-1,{},RTTTTT
2023-10-07 02:33:25.229771,126,1,0,0,-1,{},RTTTTT
2023-10-07 02:33:26.230957,127,1,0,0,-1,{},RTTTTT
2023-10-07 02:33:27.230658,128,4,3,3,-1,{297:1;306:1;307:1;308:1;309:1;310:1;311:1;316:1;322:1;323:1;324:1;327:1;328:1;332:1;333:1;334:1;335:1;336:1;339:1;340:1;341:1;344:1;345:1;346:1;347:1;348:1;349:1;352:1;353:1;355:1;358:1;359:1;361:1;362:1;365:1;366:1;367:1;1056:1;1059:1;1064:1;1065:1;1066:1;1067:1;1070:1;1072:1;1073:1;1074:1;1075:1;1076:1;1077:1;1085:1;1087:1;1817:1;1826:1;1827:1;1828:1;1829:1;1830:1;1832:1;1833:1;1836:1;1841:1;1845:1;1854:1;1855:1;1864:1;1865:1;1868:1;1869:1;1870:1;1871:1;1873:1;1874:1;1876:1;1878:1;1879:1;1884:1;1885:1;1904:1;1906:1;1908:1;1914:1;1915:1;1918:1;1928:1;1929:1;1930:1;1931:1;1936:1;1937:1;1941:1;1944:1;1950:1;1951:1;1959:1;2009:1;2011:1;2012:1;2013:1;2014:1;2018:1;2019:1;2020:1;2021:1;2024:1;2030:1;2031:1;2033:1;2034:1;2035:1;2037:1;2038:1;},CCCRTT
2023-10-07 02:33:28.230231,129,2,1,4,-1,{360:1;369:1;370:1;371:1;372:1;375:1;384:1;385:1;392:1;399:1;401:1;406:1;410:1;411:1;412:1;413:1;414:1;421:1;423:1;426:1;427:1;428:1;435:1;436:1;438:1;439:1;480:1;481:1;489:1;490:1;491:1;492:1;493:1;497:1;498:1;499:1;500:1;501:1;502:1;504:1;519:1;},CRTTTT
2023-10-07 02:33:29.231487,130,1,0,4,-1,{},RTTTTT
2023-10-07 02:33:30.230377,131,2,1,1,-1,{1065:1;1074:1;1075:1;1077:1;1079:1;1081:1;1083:1;1084:1;1088:1;1089:1;1090:1;1092:1;1093:1;1098:1;1100:1;1106:1;1107:1;1109:1;1111:1;1112:1;1128:1;1129:1;1131:1;1136:1;1137:1;1140:1;1141:1;1153:1;1154:1;1155:1;1156:1;1168:1;1170:1;1176:1;1179:1;1180:1;1181:1;1184:1;1185:1;1188:1;1189:1;1190:1;1191:1;1194:1;1195:1;1196:1;1197:1;1201:1;1202:1;1203:1;1206:1;1207:1;},CRTTTT
2023-10-07 02:33:31.230235,132,2,1,2,-1,{187:1;188:1;189:1;191:1;192:1;193:1;194:1;195:1;196:1;197:1;201:1;202:1;203:1;204:1;205:1;214:1;216:1;217:1;219:1;227:1;228:1;229:1;232:1;233:1;235:1;236:1;237:1;238:1;240:1;241:1;243:1;244:1;246:1;247:1;248:1;249:1;251:1;252:1;253:1;255:1;256:1;258:1;259:1;260:1;262:1;263:1;264:1;265:1;266:1;268:1;273:1;275:1;276:1;279:1;285:1;286:1;287:1;288:1;289:1;295:1;298:1;301:1;303:1;304:1;305:1;307:1;308:1;309:1;310:1;313:1;315:1;320:1;323:1;324:1;327:1;330:1;331:1;332:1;333:1;334:1;335:1;343:1;},CRTTTT
2023-10-07 02:33:32.230447,133,1,0,2,-1,{},RTTTTT
2023-10-07 02:33:33.231824,134,1,0,0,-1,{},RTTTTT
2023-10-07 02:33:34.231084,135,2,1,1,-1,{176:1;177:1;179:1;180:1;181:1;184:1;185:1;188:1;189:1;190:1;191:1;193:1;194:1;196:1;197:1;199:1;200:1;201:1;205:1;206:1;207:1;208:1;209:1;210:1;211:1;214:1;218:1;219:1;226:1;229:1;231:1;233:1;235:1;237:1;239:1;240:1;242:1;243:1;252:1;254:1;256:1;259:1;269:1;271:1;272:1;273:1;277:1;278:1;280:1;281:1;283:1;286:1;287:1;289:1;290:1;295:1;297:1;298:1;300:1;303:1;304:1;307:1;309:1;310:1;311:1;312:1;314:1;315:1;316:1;319:1;321:1;323:1;326:1;327:1;334:1;335:1;},CRTTTT
2023-10-07 02:33:35.230674,136,1,0,1,-1,{},RTTTTT
2023-10-07 02:33:36.230420,137,3,2,2,-1,{640:1;643:1;645:1;655:1;658:1;660:1;662:1;666:1;667:1;669:1;670:1;671:1;672:1;674:1;675:1;678:1;679:1;680:1;681:1;682:1;683:1;684:1;689:1;690:1;693:1;695:1;698:1;705:1;708:1;709:1;710:1;711:1;713:1;714:1;716:1;717:1;718:1;719:1;722:1;723:1;726:1;728:1;729:1;730:1;731:1;733:1;738:1;739:1;741:1;744:1;745:1;747:1;748:1;750:1;752:1;754:1;755:1;756:1;761:1;762:1;763:1;764:1;767:1;772:1;773:1;774:1;776:1;777:1;779:1;782:1;784:1;785:1;787:1;788:1;789:1;790:1;796:1;798:1;1004:1;1005:1;1006:1;1007:1;1037:1;1077:1;1080:1;1082:1;1083:1;1084:1;1087:1;1089:1;1090:1;1093:1;1094:1;1095:1;1096:1;1099:1;1100:1;1102:1;1110:1;1111:1;1112:1;1114:1;1115:1;1116:1;1117:1;1119:1;1120:1;1123:1;1124:1;1126:1;1130:1;1131:1;1132:1;1133:1;},CCRTTT
2023-10-07 02:33:37.230498,138,1,0,2,-1,{},HRTTTT
2023-10-07 02:33:38.232236,139,1,0,2,-1,{},RTTTTT
2023-10-07 02:33:39.231635,140,2,1,1,-1,{89:1;90:1;91:1;98:1;106:1;107:1;110:1;111:1;113:1;119:1;120:1;121:1;122:1;123:1;124:1;125:1;126:1;129:1;132:1;133:1;138:1;139:1;140:1;142:1;144:1;146:1;147:1;149:1;151:1;154:1;159:1;162:1;163:1;164:1;166:1;169:1;170:1;172:1;173:1;174:1;176:1;178:1;180:1;181:1;182:1;183:1;184:1;185:1;186:1;189:1;192:1;196:1;198:1;201:1;203:1;204:1;206:1;209:1;210:1;212:1;214:1;215:1;216:1;220:1;222:1;224:1;228:1;230:1;232:1;233:1;235:1;236:1;237:1;242:1;244:1;246:1;247:1;},CRTTTT
2023-10-07 02:33:40.231688,141,1,0,1,-1,{},RTTTTT
