Timestamp,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SCS_FLAG,ERRS,SLOTS
2023-10-10 00:46:04.080660,244,1,0,0,-1,{},RTTTTT
2023-10-10 00:46:05.081224,245,4,3,3,-1,{233:1;235:1;244:1;245:1;246:1;736:1;737:1;746:1;750:1;752:1;755:1;756:1;763:1;764:1;765:1;766:1;767:1;770:1;771:1;781:1;783:1;1369:1;1370:1;1372:1;1393:1;1394:1;1395:1;1398:1;1401:1;1402:1;1404:1;1405:1;1406:1;1409:1;1410:1;1411:1;1412:1;1414:1;1416:1;1418:1;1422:1;2001:1;2008:1;2012:1;2013:1;2014:1;2017:1;2019:1;2020:1;2021:1;2022:1;2026:1;2027:1;2028:1;},CCCRTT
2023-10-10 00:46:06.081258,246,1,0,3,-1,{},RTTTTT
2023-10-10 00:46:07.081231,247,2,1,4,-1,{1736:1;1739:1;1744:1;1747:1;1748:1;1754:1;1760:1;1765:1;1766:1;},CRTTTT
2023-10-10 00:46:08.081166,248,2,1,1,-1,{497:1;498:1;499:1;505:1;508:1;509:1;510:1;512:1;513:1;514:1;515:1;517:1;518:1;520:1;522:1;525:1;529:1;530:1;532:1;1419:1;1420:1;1423:1;},CRTTTT
2023-10-10 00:46:09.080980,249,5,4,5,-1,{35:1;36:1;38:1;94:1;130:1;147:1;149:1;150:1;151:1;154:1;155:1;156:1;159:1;160:1;163:1;164:1;166:1;168:1;171:1;173:1;440:1;442:1;455:1;481:1;482:1;483:1;488:1;489:1;490:1;491:1;492:1;493:1;494:1;502:1;503:1;857:1;859:1;865:1;866:1;867:1;868:1;869:1;871:1;873:1;874:1;875:1;876:1;1723:1;1728:1;1729:1;1730:1;1731:1;1732:1;1733:1;1735:1;1736:1;1739:1;1740:1;1742:1;1743:1;1744:1;1748:1;1749:1;1756:1;1757:1;},CCCCRT
2023-10-10 00:46:10.081532,250,2,1,6,-1,{72:1;74:1;75:1;79:1;80:1;83:1;84:1;86:1;87:1;88:1;91:1;92:1;94:1;96:1;98:1;99:1;111:1;1504:1;1507:1;1508:1;1512:1;1513:1;1515:1;1517:1;1518:1;1519:1;1521:1;1523:1;1527:1;1528:1;1530:1;1531:1;1532:1;1533:1;1534:1;1535:1;1538:1;1539:1;1541:1;},CRTTTT
2023-10-10 00:46:11.081680,251,3,2,2,-1,{857:1;865:1;866:1;874:1;875:1;876:1;880:1;882:1;884:1;891:1;892:1;894:1;1256:1;1257:1;1259:1;1264:1;1267:1;1268:1;1269:1;1276:1;1278:1;1279:1;1280:1;1283:1;1284:1;1285:1;1287:1;1290:1;1292:1;1293:1;1294:1;1295:1;},CCRTTT
2023-10-10 00:46:12.080599,252,3,2,4,-1,{1370:1;1371:1;1376:1;1378:1;1379:1;1382:1;1383:1;1384:1;1385:1;1386:1;1387:1;1388:1;1391:1;1392:1;1395:1;1396:1;1399:1;1401:1;1402:1;1405:1;1406:1;1688:1;1690:1;1701:1;1720:1;1721:1;},HCCRTT
2023-10-10 00:46:13.080700,253,3,2,6,-1,{1929:1;1936:1;1941:1;1942:1;1944:1;1945:1;1948:1;1949:1;1958:1;1959:1;1961:1;1962:1;1965:1;1967:1;2024:1;2025:1;2027:1;2028:1;2030:1;2031:1;2032:1;2033:1;2034:1;2036:1;2039:1;},CCRTTT
2023-10-10 00:46:14.081150,254,4,3,3,-1,{240:1;242:1;243:1;244:1;248:1;249:1;250:1;251:1;252:1;254:1;256:1;258:1;260:1;261:1;264:1;266:1;269:1;270:1;271:1;276:1;277:1;278:1;739:1;740:1;741:1;742:1;743:1;762:1;764:1;772:1;773:1;774:1;775:1;1976:1;1984:1;1985:1;1987:1;1988:1;1989:1;1991:1;1993:1;1995:1;1996:1;1999:1;2000:1;2001:1;2002:1;2006:1;2007:1;2009:1;2014:1;2015:1;},CCCRTT
2023-10-10 00:46:15.084942,255,6,5,8,1,{57:1;65:1;66:1;70:1;71:1;73:1;75:1;79:1;81:1;82:1;84:1;85:1;86:1;87:1;89:1;95:1;102:1;103:1;680:1;682:1;684:1;685:1;686:1;694:1;695:1;704:1;717:1;718:1;1136:1;1137:1;1138:1;1360:1;1417:1;1424:1;1427:1;1428:1;1430:1;1431:1;1432:1;1434:1;1436:1;1438:1;1447:1;1452:1;1785:1;1786:1;1787:1;1906:1;1907:1;1908:1;1911:1;1913:1;1915:1;1916:1;1917:1;1919:1;1920:1;1924:1;1925:1;1926:1;1928:1;1930:1;1932:1;1934:1;1940:1;1941:1;1943:1;},CCHCCC
2023-10-10 00:46:16.082811,256,2,1,8,-1,{459:1;462:1;463:1;464:1;465:1;467:1;1432:1;1433:1;1441:1;1442:1;1444:1;1447:1;1448:1;1449:1;1450:1;1451:1;1457:1;1460:1;1461:1;1463:1;1470:1;1994:1;2001:1;2004:1;2005:1;2010:1;2014:1;2015:1;2016:1;2017:1;2028:1;2029:1;},CRTTTT
2023-10-10 00:46:17.082173,257,1,0,0,-1,{},RTTTTT
2023-10-10 00:46:18.081563,258,1,0,0,-1,{},RTTTTT
2023-10-10 00:46:19.081963,259,3,2,2,-1,{123:1;916:1;917:1;1489:1;1496:1;1498:1;1500:1;1502:1;1505:1;1506:1;1508:1;1509:1;1513:1;1516:1;1520:1;1521:1;1523:1;1527:1;1533:1;1534:1;1913:1;1915:1;1920:1;1921:1;1922:1;1924:1;1926:1;1928:1;1930:1;1938:1;1939:1;1940:1;1942:1;1945:1;1948:1;1950:1;1951:1;},CCRTTT
2023-10-10 00:46:20.083726,260,6,5,5,1,{97:1;98:1;101:1;656:1;666:1;669:1;670:1;673:1;674:1;679:1;680:1;686:1;689:1;690:1;691:1;692:1;693:1;694:1;1220:1;1837:1;1838:1;1866:1;1867:1;1896:1;1897:1;1898:1;1899:1;1907:1;1909:1;1910:1;1968:1;1969:1;},HCCCCC
2023-10-10 00:46:21.081869,261,4,3,5,-1,{52:1;56:1;57:1;59:1;61:1;62:1;69:1;513:1;514:1;515:1;517:1;1042:1;1043:1;1044:1;1049:1;1050:1;1053:1;1055:1;1056:1;1059:1;1060:1;1061:1;1063:1;1066:1;1067:1;1068:1;1070:1;1073:1;1075:1;1076:1;},CCCRTT
2023-10-10 00:46:22.082405,262,2,1,5,-1,{625:1;627:1;635:1;639:1;640:1;642:1;644:1;647:1;650:1;651:1;653:1;654:1;660:1;661:1;662:1;663:1;},CRTTTT
2023-10-10 00:46:23.084182,263,1,0,0,-1,{},RTTTTT
2023-10-10 00:46:24.082371,264,5,4,4,-1,{152:1;162:1;163:1;164:1;165:1;167:1;168:1;171:1;172:1;173:1;174:1;175:1;176:1;178:1;179:1;182:1;183:1;186:1;188:1;191:1;196:1;197:1;198:1;199:1;208:1;218:1;219:1;222:1;224:1;225:1;228:1;229:1;231:1;256:1;259:1;262:1;264:1;266:1;267:1;268:1;270:1;271:1;272:1;273:1;277:1;278:1;279:1;282:1;285:1;287:1;290:1;291:1;292:1;294:1;295:1;678:1;1193:1;1200:1;1201:1;1202:1;1203:1;1205:1;1209:1;1210:1;1211:1;1212:1;1215:1;1216:1;1217:1;1218:1;1223:1;1224:1;1225:1;1231:1;1239:1;1252:1;1385:1;1386:1;1388:1;1389:1;1390:1;1398:1;1399:1;1409:1;1422:1;1423:1;1816:1;},CCCCRT
2023-10-10 00:46:25.082210,265,1,0,4,-1,{},RTTTTT
2023-10-10 00:46:26.081236,266,1,0,0,-1,{},RTTTTT
