TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,ERRS,SLOTS
2023-10-03 21:31:02.786486,484,1,0,{},RTTTTT
2023-10-03 21:31:03.787425,485,1,0,{},RTTTTT
2023-10-03 21:31:04.786953,486,1,0,{},RTTTTT
2023-10-03 21:31:05.787246,487,1,0,{},RTTTTT
2023-10-03 21:31:06.786890,488,1,0,{},RTTTTT
2023-10-03 21:31:07.786728,489,1,0,{},RTTTTT
2023-10-03 21:31:08.786744,490,1,0,{},RTTTTT
2023-10-03 21:31:09.787617,491,1,0,{},RTTTTT
2023-10-03 21:31:10.786714,492,4,3,{1084:1;1264:1;1265:1;1266:1;1271:1;1273:1;1283:1;1284:1;1285:1;1288:1;1290:1;1291:1;1292:1;1294:1;1296:1;1306:1;1312:1;1313:1;1315:1;1316:1;1323:1;1327:1;1329:1;1330:1;1337:1;1340:1;1348:1;1356:1;1360:1;1365:1;1366:1;1368:1;1371:1;1375:1;1376:1;1377:1;1379:1;1380:1;1381:1;1386:1;1387:1;1389:1;1390:1;1391:1;1393:1;1400:1;1401:1;1403:1;1405:1;1406:1;1408:1;1409:1;1410:1;1411:1;1413:1;1414:1;1415:1;1417:1;1418:1;1421:1;1423:1;1428:1;1430:1;1439:1;1442:1;1443:1;1444:1;1446:1;1447:1;1452:1;1453:1;1454:1;1462:1;1463:1;1471:1;1479:1;1486:1;1491:1;1497:1;1501:1;1502:1;1514:1;1518:1;1519:1;1521:1;1523:1;1524:1;1526:1;1529:1;1531:1;1532:1;1533:1;1538:1;1541:1;1545:1;1546:1;1548:1;1551:1;1552:1;1554:1;1555:1;1556:1;1557:1;1558:1;1562:1;1566:1;1569:1;1570:1;1573:1;1574:1;1575:1;1576:1;1580:1;1583:1;1586:1;1588:1;1591:1;1592:1;1593:1;1598:1;1601:1;1604:1;1605:1;1606:1;1608:1;1610:1;1613:1;1614:1;1615:1;1616:1;1618:1;1619:1;1621:1;1623:1;1626:1;1629:1;1630:1;1631:1;1640:1;1643:1;1644:1;1645:1;1646:1;1647:1;1651:1;1652:1;1653:1;1655:1;1659:1;1661:1;1669:1;1670:1;1671:1;1673:1;1674:1;1678:1;1680:1;1681:1;1684:1;1685:1;1686:1;1689:1;1690:1;1691:1;1692:1;1696:1;1697:1;1699:1;1703:1;1706:1;1708:1;1709:1;1712:1;1713:1;1714:1;1718:1;1720:1;1722:1;1723:1;1724:1;1727:1;1731:1;1733:1;1734:1;1737:1;1739:1;1740:1;1743:1;1747:1;1749:1;1753:2;1754:1;1756:1;1757:1;1758:1;1759:1;1769:1;1771:1;1773:1;1781:1;1782:1;1785:1;1786:2;1787:1;1793:2;1795:1;1796:1;1801:1;1811:1;1816:1;1818:1;1819:1;1821:1;1822:1;1823:1;1829:1;1830:1;1831:1;1832:1;1834:1;1835:1;1839:1;1841:1;1844:1;1845:1;1847:1;1848:1;1853:1;1855:1;1856:1;1860:1;1861:1;1862:1;1865:1;1866:1;1867:1;1868:1;1869:1;1872:1;1873:1;1875:1;1876:1;1877:1;1883:1;1886:1;1912:1;1919:1;1924:1;1925:1;1939:1;1946:1;1947:1;1971:1;1981:1;1994:1;2003:1;2006:1;2008:1;2031:1;2033:1;2034:1;2037:1;},CCCRTT
2023-10-03 21:31:11.786487,493,1,0,{},RTTTTT
2023-10-03 21:31:12.786048,494,1,0,{},RTTTTT
2023-10-03 21:31:13.785742,495,1,0,{},RTTTTT
2023-10-03 21:31:14.787956,496,2,1,{1440:1;1448:1;1449:1;1450:1;1451:1;1452:1;1455:1;1456:1;1457:1;1459:1;1460:1;1463:1;1464:1;1471:1;1479:1;1481:1;1482:1;1484:1;1486:1;1487:1;1489:1;1490:1;1492:1;1500:1;1501:1;1503:1;1504:1;1508:1;1510:1;1512:1;1519:1;1520:1;1527:1;1529:1;1534:1;1535:1;1536:1;1538:1;1547:1;1548:1;1549:1;1550:1;1552:1;1553:1;1555:1;1559:1;1565:1;1568:1;1571:1;1575:1;1577:1;1579:1;1582:1;1583:1;1584:1;1585:1;1589:1;1591:1;1596:1;1605:1;1607:1;1609:1;1610:1;1611:1;1612:1;1618:1;1619:1;1625:1;1627:1;1628:1;1631:1;1633:1;1634:1;1641:1;1643:1;1646:1;1649:1;1650:1;1652:1;1655:1;1657:1;1660:1;1668:1;1669:1;1672:1;1673:1;1676:1;1679:1;1680:1;1682:1;1686:1;1691:1;1693:1;1703:1;1704:1;1710:1;1711:1;1716:1;1717:1;1718:1;1721:1;1723:1;1728:1;1729:1;1734:1;1735:1;1737:1;1739:1;1740:1;1741:1;1745:1;1746:1;1749:1;1751:1;1754:1;1763:1;1764:1;1765:1;1766:1;1768:1;1773:1;1774:1;1775:1;1776:1;1778:1;1779:1;1780:1;1782:1;1784:1;1787:1;1794:1;1798:1;1800:1;1804:1;1808:1;1810:1;1815:1;1816:1;1820:1;1821:1;1823:1;1824:1;1827:1;1832:1;1839:1;1841:1;1847:1;1848:1;1851:1;1854:1;1858:1;1865:1;1868:1;1873:1;1875:1;1877:1;1880:1;1881:1;1882:1;1883:1;1886:1;1887:1;1893:1;1894:1;1896:1;1899:1;1901:1;1904:1;1907:1;1908:1;1909:1;1910:1;1915:1;1916:1;1918:1;1929:1;1934:1;1938:1;1944:1;1945:1;1946:1;1947:1;1948:1;1954:1;1959:1;1961:1;1962:1;1966:1;1969:1;1970:1;1973:1;1974:1;1975:1;1978:1;1985:1;1986:1;1993:1;1996:1;1998:1;1999:1;2000:1;2001:1;2009:1;2011:1;2012:1;2015:1;2016:1;2018:1;2020:1;2022:1;2024:1;2025:1;2026:1;2031:1;2033:1;2034:1;2036:1;2038:1;2039:1;},CRTTTT
