Timestamp,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SCS_FLAG,ERRS,SLOTS
2023-10-03 22:18:28.131386,2,1,0,0,-1,{},RTTTTT
2023-10-03 22:18:29.131570,3,1,0,0,-1,{},RTTTTT
2023-10-03 22:18:30.130338,4,1,0,0,-1,{},RTTTTT
2023-10-03 22:18:31.129779,5,1,0,0,-1,{},RTTTTT
2023-10-03 22:18:32.132342,6,6,6,6,0,{147:1;148:1;153:1;154:1;155:1;159:1;160:1;162:1;167:1;168:1;169:1;173:1;175:1;176:1;191:1;205:1;206:1;208:1;209:1;211:1;213:1;214:1;218:1;222:1;223:1;224:1;225:1;229:1;230:1;233:2;236:1;247:1;248:1;249:1;252:1;254:1;257:1;259:1;265:1;266:1;268:1;270:1;271:1;283:1;291:1;293:2;297:1;298:1;302:1;303:2;306:2;310:1;311:1;312:1;314:1;315:1;318:1;320:1;321:1;323:1;325:1;326:1;327:1;330:1;337:1;338:1;341:1;342:1;346:1;349:1;351:1;352:1;353:1;356:1;361:1;362:1;364:1;366:1;368:1;371:1;372:1;375:1;376:1;378:2;383:2;384:2;387:1;388:1;389:1;390:1;394:1;395:2;399:1;400:2;401:1;403:1;405:1;406:1;411:1;412:1;414:1;415:1;417:1;418:1;419:1;420:1;422:1;423:1;424:1;430:1;431:1;437:1;438:1;441:1;443:1;445:1;447:1;449:1;450:1;451:1;452:1;453:1;454:1;456:2;457:2;459:1;460:1;461:1;462:1;465:1;466:3;468:1;469:1;470:2;471:1;472:1;473:2;476:1;477:1;478:2;480:2;481:2;482:1;483:2;485:1;488:1;490:1;491:1;492:2;493:2;496:1;497:1;498:1;499:2;500:4;501:2;502:1;503:1;504:1;505:1;506:2;507:2;508:1;509:1;510:2;512:2;513:1;514:1;515:1;518:1;519:1;520:2;521:2;522:1;523:2;524:1;526:1;530:3;531:1;532:1;533:1;534:1;535:1;536:1;537:2;539:1;540:1;541:2;542:1;543:1;544:2;545:1;547:2;549:1;550:2;553:1;555:1;559:1;562:2;564:3;565:1;566:2;567:1;568:1;570:2;571:1;572:1;574:2;575:1;576:1;577:1;578:1;580:2;582:2;583:1;584:2;585:2;586:2;587:2;593:2;594:2;595:2;597:1;600:1;602:2;606:1;609:2;610:1;611:1;612:2;613:1;615:1;616:2;617:1;619:1;620:1;621:1;622:2;623:1;624:2;627:2;628:1;629:1;630:2;632:1;633:2;635:2;636:1;639:1;640:1;641:2;642:2;643:1;645:1;646:1;647:1;648:2;651:1;652:1;653:2;656:1;657:1;658:1;659:1;660:1;664:2;665:2;666:1;670:1;671:2;673:1;674:1;675:1;676:1;677:1;678:2;679:2;680:1;685:2;686:1;687:1;691:1;692:3;693:2;694:1;698:1;699:2;701:1;703:1;704:1;705:1;706:1;710:1;714:2;715:2;716:2;717:1;718:1;719:1;721:1;724:1;725:1;728:1;730:1;735:3;740:1;744:1;745:1;747:1;748:2;750:2;752:1;754:1;756:2;757:1;759:1;760:1;761:1;763:1;764:1;767:1;768:2;770:1;771:1;773:1;775:1;777:1;778:1;781:1;783:1;784:2;787:1;788:1;789:2;790:2;791:1;793:1;794:2;796:1;797:1;798:2;800:1;803:1;807:1;809:1;810:1;813:1;814:1;816:1;818:1;821:1;822:1;824:1;826:2;828:1;833:2;835:1;837:2;838:1;840:1;841:1;842:1;843:1;844:1;845:2;848:1;849:1;850:1;851:1;853:1;855:2;856:1;859:1;860:2;861:2;862:1;864:1;866:1;868:1;869:1;870:2;876:1;878:1;880:1;882:1;884:1;885:2;887:1;888:1;889:2;890:1;891:1;892:1;896:1;897:1;899:2;900:2;901:1;905:1;907:1;909:1;910:1;912:1;913:1;914:1;916:1;921:1;923:1;925:1;926:1;929:1;931:1;933:1;936:1;937:1;938:1;939:1;941:1;942:1;944:1;945:1;946:1;947:1;948:1;952:1;955:1;957:1;959:1;960:1;963:1;964:1;965:1;967:1;968:1;972:1;975:1;977:1;984:1;989:1;994:1;995:1;997:1;998:1;999:1;1000:1;1001:1;1003:1;1007:1;1008:1;1010:1;1011:1;1012:1;1017:1;1018:1;1020:1;1022:1;1024:1;1028:1;1029:1;1034:1;1036:1;1037:1;1038:1;1039:1;1043:1;1046:1;1054:1;1063:1;1064:1;1066:1;1067:1;1068:1;1069:1;1070:1;1073:1;1074:1;1086:1;1262:1;1274:1;1284:1;1289:1;1294:1;1296:1;1299:1;1300:1;1304:1;1315:1;1339:1;1344:1;1353:1;1357:1;1373:1;1376:1;1383:1;1387:1;1396:1;1398:1;1399:1;1406:1;1410:1;1418:1;1431:1;1434:1;1439:1;1446:1;1453:2;1462:1;1465:1;1474:1;1477:1;1495:1;1497:1;1516:1;1523:1;1529:1;1530:1;1535:2;1548:1;1553:1;1556:1;1564:1;1578:1;1582:1;1584:1;1612:2;1617:1;1628:1;1642:1;1649:1;1654:1;1662:1;1667:1;1670:1;1683:1;1722:1;1753:1;},CCCCCC
2023-10-03 22:18:33.131098,7,1,0,6,-1,{},RTTTTT
2023-10-03 22:18:34.130733,8,1,0,0,-1,{},RTTTTT
2023-10-03 22:18:35.131930,9,1,0,0,-1,{},RTTTTT
2023-10-03 22:18:36.130605,10,2,1,1,-1,{309:1;316:1;320:1;322:1;323:1;324:1;325:1;326:1;334:1;335:1;336:1;337:1;338:1;339:1;342:1;343:1;344:1;345:1;346:1;348:1;350:1;354:1;355:1;356:1;360:1;363:1;368:1;369:1;371:1;373:1;374:1;375:1;378:1;380:1;383:1;388:1;396:1;397:1;399:1;406:1;407:1;409:1;412:1;414:1;420:1;423:1;427:1;428:1;430:1;431:1;436:1;438:1;439:1;441:1;442:1;444:1;448:1;451:1;453:1;460:1;464:1;469:1;470:1;472:1;473:1;474:1;476:1;478:1;479:1;481:1;482:1;485:1;490:1;491:1;497:1;499:1;502:1;503:1;506:1;507:1;511:1;521:1;526:1;529:1;532:1;536:1;538:1;540:1;541:1;544:1;558:1;561:1;563:1;565:1;568:1;571:1;574:1;579:1;580:1;585:1;586:1;588:1;594:1;595:1;597:1;598:1;604:1;606:1;613:1;617:1;620:1;621:1;624:1;629:1;630:1;632:1;633:1;636:1;639:1;640:1;646:1;649:1;651:1;655:1;657:1;658:1;666:1;667:1;674:1;685:1;688:1;689:1;691:1;692:1;695:1;699:1;701:1;714:1;720:1;724:1;725:1;727:1;731:1;732:1;736:1;740:1;742:1;743:1;745:1;749:1;753:1;755:1;762:1;763:1;765:1;767:1;768:1;772:1;773:1;774:1;775:1;776:1;781:1;782:1;794:1;802:1;804:1;812:1;813:1;817:1;818:1;820:1;827:1;828:1;},CRTTTT
2023-10-03 22:18:37.131364,11,1,0,0,-1,{},RTTTTT
