TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,ERRS,SLOTS
2023-10-10 00:00:01.849649,243,2,1,{1016:1;1018:1;1025:1;1026:1;1027:1;1030:1;1032:1;1034:1;1036:1;1037:1;1038:1;1041:1;1042:1;1044:1;1045:1;1046:1;1047:1;1049:1;1053:1;1054:1;1055:1;1061:1;1062:1;1064:1;1065:1;1066:1;1067:1;1068:1;1076:1;1082:1;1083:1;1085:1;1086:1;1087:1;1089:1;1090:1;1091:1;1092:1;1093:1;1095:1;1098:1;1100:1;1102:1;1103:1;1104:1;1105:1;1109:1;1110:1;1111:1;1112:1;1113:1;1116:1;1118:1;1119:1;1122:1;1123:1;1124:1;1126:1;1127:1;1128:1;1129:1;1131:1;1132:1;1134:1;1135:1;1138:1;1140:1;1141:1;1143:1;1145:1;1147:1;1148:1;1152:1;1155:1;1156:1;1157:1;1158:1;1160:1;1161:1;1163:1;1165:1;1175:1;1177:1;1178:1;1179:1;1183:1;1184:1;1185:1;1186:1;},CRTTTT
2023-10-10 00:00:02.849504,244,1,0,{},RTTTTT
2023-10-10 00:00:03.850530,245,1,0,{},RTTTTT
2023-10-10 00:00:04.849768,246,1,0,{},RTTTTT
2023-10-10 00:00:05.851556,247,1,0,{},RTTTTT
2023-10-10 00:00:06.853077,248,1,0,{},RTTTTT
2023-10-10 00:00:07.849663,249,1,0,{},RTTTTT
2023-10-10 00:00:08.849411,250,3,2,{120:1;122:1;129:1;130:1;133:1;134:1;138:1;139:1;140:1;141:1;142:1;143:1;144:1;145:1;146:1;147:1;148:1;151:1;152:1;154:1;155:1;157:1;159:1;165:1;166:1;167:1;473:1;474:1;475:1;480:1;486:1;488:1;492:1;493:1;495:1;498:1;499:1;503:1;504:1;506:1;509:1;510:1;511:1;512:1;516:1;518:1;519:1;521:1;523:1;524:1;528:1;529:1;530:1;531:1;534:1;536:1;538:1;541:1;543:1;547:1;549:1;550:1;552:1;553:1;554:1;556:1;559:1;562:1;564:1;567:1;571:1;574:1;575:1;576:1;582:1;585:1;587:1;588:1;589:1;591:1;592:1;593:1;594:1;596:1;597:1;599:1;600:1;601:1;602:1;605:1;609:1;611:1;614:1;615:1;616:1;617:1;619:1;622:1;630:1;631:1;},CCRTTT
2023-10-10 00:00:09.850097,251,1,0,{},RTTTTT
2023-10-10 00:00:10.850575,252,2,1,{704:1;706:1;712:1;713:1;714:1;718:1;719:1;720:1;721:1;722:1;725:1;727:1;733:1;734:1;740:1;741:1;742:1;743:1;745:1;750:1;753:1;755:1;756:1;758:1;759:1;760:1;762:1;763:1;764:1;766:1;768:1;771:1;773:1;774:1;775:1;777:1;778:1;780:1;783:1;784:1;785:1;789:1;791:1;792:1;793:1;794:1;796:1;798:1;799:1;800:1;803:1;804:1;805:1;808:1;818:1;822:1;824:1;825:1;826:1;829:1;834:1;835:1;837:1;840:1;841:1;844:1;846:1;847:1;850:1;851:1;861:1;},CRTTTT
2023-10-10 00:00:11.850343,253,2,1,{979:1;984:1;989:1;991:1;995:1;1005:1;1009:1;1011:1;1013:1;1015:1;1019:1;1020:1;1024:1;1026:1;1027:1;1028:1;1029:1;1031:1;1033:1;1039:1;1042:1;1043:1;1044:1;1046:1;1047:1;1050:1;1051:1;1053:1;1055:1;1056:1;1058:1;1062:1;1063:1;1064:1;1065:1;1067:1;1070:1;1071:1;1075:1;1078:1;1083:1;1084:1;1085:1;1086:1;1087:1;1089:1;1091:1;1095:1;1096:1;1097:1;1099:1;1100:1;1101:1;1102:1;1104:1;1107:1;1112:1;1113:1;1115:1;1116:1;1117:1;1118:1;1122:1;1124:1;1127:1;1133:1;},CRTTTT
2023-10-10 00:00:12.850790,254,1,0,{},RTTTTT
