TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,ERRS,SLOTS
2023-11-12 20:45:52.583934,1,1,0,{},..RTTT
2023-11-12 20:45:52.783555,2,1,0,{},RTTTTT
2023-11-12 20:45:52.983791,3,1,0,{},RTTTTT
2023-11-12 20:45:53.184152,4,1,0,{},RTTTTT
2023-11-12 20:45:53.383622,5,1,0,{},RTTTTT
2023-11-12 20:45:53.583653,6,1,0,{},RTTTTT
2023-11-12 20:45:53.783947,7,1,0,{},RTTTTT
2023-11-12 20:45:53.983678,8,1,0,{},RTTTTT
2023-11-12 20:45:54.183893,9,1,0,{},RTTTTT
2023-11-12 20:45:54.383635,10,1,0,{},RTTTTT
2023-11-12 20:45:54.584014,11,1,0,{},RTTTTT
2023-11-12 20:45:54.784113,12,1,0,{},RTTTTT
2023-11-12 20:45:54.983394,13,3,2,{818:1;841:1;842:1;844:1;848:1;849:1;861:1;862:1;868:1;875:1;882:1;883:1;886:1;887:1;888:1;899:1;900:1;904:1;906:1;917:1;918:1;943:1;965:1;966:1;969:1;970:1;974:1;976:1;977:1;978:1;979:1;984:1;990:1;991:1;997:1;998:1;1002:1;1010:1;1012:1;1038:1;1039:1;1041:1;1064:1;1068:1;1230:1;1256:1;},CCRTTT
2023-11-12 20:45:55.184050,14,1,0,{},RTTTTT
2023-11-12 20:45:55.386106,15,1,0,{},RTTTTT
2023-11-12 20:45:55.586176,16,1,0,{},RTTTTT
2023-11-12 20:45:55.784257,17,2,1,{40:1;41:1;489:1;514:1;557:1;573:1;686:1;712:1;},CRTTTT
2023-11-12 20:45:55.984334,18,1,0,{},RTTTTT
2023-11-12 20:45:56.183771,19,1,0,{},RTTTTT
2023-11-12 20:45:56.385719,20,1,0,{},RTTTTT
2023-11-12 20:45:56.584817,21,1,0,{},RTTTTT
2023-11-12 20:45:56.784273,22,1,0,{},RTTTTT
2023-11-12 20:45:56.984971,23,1,0,{},RTTTTT
2023-11-12 20:45:57.183651,24,2,1,{40:1;41:1;42:1;1261:1;1315:1;1334:1;1370:1;1371:1;1435:1;1458:1;1459:1;1467:1;1479:1;1509:1;},CRTTTT
2023-11-12 20:45:57.385144,25,2,1,{40:1;815:1;842:1;872:1;876:1;904:1;910:1;957:1;1033:1;1056:1;1059:1;1097:1;},CRTTTT
2023-11-12 20:45:57.584471,26,1,0,{},RTTTTT
2023-11-12 20:45:57.784741,27,1,0,{},RTTTTT
2023-11-12 20:45:57.985877,28,1,0,{},RTTTTT
2023-11-12 20:45:58.185058,29,1,0,{},RTTTTT
2023-11-12 20:45:58.384374,30,1,0,{},RTTTTT
2023-11-12 20:45:58.584976,31,1,0,{},RTTTTT
2023-11-12 20:45:58.784787,32,1,0,{},RTTTTT
2023-11-12 20:45:58.984205,33,1,0,{},RTTTTT
2023-11-12 20:45:59.184226,34,1,0,{},RTTTTT
2023-11-12 20:45:59.383738,35,1,0,{},RTTTTT
2023-11-12 20:45:59.583622,36,1,0,{},RTTTTT
2023-11-12 20:45:59.783985,37,1,0,{},RTTTTT
2023-11-12 20:45:59.983924,38,1,0,{},RTTTTT
2023-11-12 20:46:00.183704,39,1,0,{},RTTTTT
2023-11-12 20:46:00.383539,40,1,0,{},RTTTTT
2023-11-12 20:46:00.584041,41,1,0,{},RTTTTT
2023-11-12 20:46:00.784030,42,1,0,{},RTTTTT
2023-11-12 20:46:00.983579,43,1,0,{},RTTTTT
2023-11-12 20:46:01.183898,44,1,0,{},RTTTTT
2023-11-12 20:46:01.384887,45,1,0,{},RTTTTT
2023-11-12 20:46:01.584553,46,1,0,{},RTTTTT
2023-11-12 20:46:01.784485,47,1,0,{},RTTTTT
