TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,ERRS,SLOTS
2023-09-10 03:23:12.832940,1,2,1,{811:1;},...RTT
2023-09-10 03:23:13.831655,2,1,0,{},RTTTTT
2023-09-10 03:23:14.832504,3,1,0,{},RTTTTT
2023-09-10 03:23:15.832163,4,1,0,{},RTTTTT
2023-09-10 03:23:16.832352,5,1,0,{},RTTTTT
2023-09-10 03:23:17.830617,6,1,0,{},RTTTTT
2023-09-10 03:23:18.832685,7,1,0,{},RTTTTT
2023-09-10 03:23:19.830979,8,1,0,{},RTTTTT
2023-09-10 03:23:20.831252,9,1,0,{},RTTTTT
2023-09-10 03:23:21.831541,10,1,0,{},RTTTTT
2023-09-10 03:23:22.831015,11,1,0,{},RTTTTT
2023-09-10 03:23:23.833921,12,1,0,{},RTTTTT
2023-09-10 03:23:24.831961,13,1,0,{},RTTTTT
2023-09-10 03:23:25.832320,14,1,0,{},RTTTTT
2023-09-10 03:23:26.831590,15,1,0,{},RTTTTT
2023-09-10 03:23:27.832439,16,1,0,{},RTTTTT
2023-09-10 03:23:28.834063,17,1,0,{},RTTTTT
2023-09-10 03:23:29.832248,18,1,0,{},RTTTTT
2023-09-10 03:23:30.833429,19,2,1,{993:1;1014:1;1067:1;1090:1;1236:1;},CRTTTT
2023-09-10 03:23:31.832053,20,1,0,{},RTTTTT
2023-09-10 03:23:32.832164,21,1,0,{},RTTTTT
2023-09-10 03:23:33.831891,22,1,0,{},RTTTTT
2023-09-10 03:23:34.832758,23,1,0,{},HRTTTT
2023-09-10 03:23:35.834108,24,1,0,{},RTTTTT
