Timestamp,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SCS_FLAG,ERRS,SLOTS
2023-09-22 00:49:05.134740,3,1,0,0,-1,{},RTTTTT
2023-09-22 00:49:06.134278,4,2,1,1,-1,{1432:1;1434:1;1440:1;1441:1;1442:1;1443:1;1444:1;1446:1;1449:1;1457:1;1460:1;1462:1;1463:1;1464:1;1466:1;1469:1;1471:1;1479:1;},CRTTTT
2023-09-22 00:49:07.134460,5,2,1,2,-1,{1040:1;1041:1;1042:1;1043:1;1044:1;1046:1;1048:1;1051:1;1052:1;1053:1;1054:1;1055:1;1056:1;1057:1;1060:1;1062:1;1068:1;1070:1;1073:1;1074:1;1076:1;},CRTTTT
2023-09-22 00:49:08.137901,6,7,6,6,1,{448:1;449:1;450:1;456:1;458:1;480:1;481:1;482:1;484:1;486:1;487:1;495:1;689:1;690:1;696:1;698:1;710:1;712:1;713:1;722:1;725:1;726:1;732:1;733:1;734:1;735:1;768:1;801:1;803:1;813:1;815:1;1256:1;1258:1;1266:1;1267:1;1268:1;1270:1;1273:1;1274:1;1276:1;1277:1;1279:1;1281:1;1284:1;1286:1;1290:2;1292:1;1295:1;1652:1;1654:1;1657:1;1665:1;1667:1;1668:1;1670:1;1671:1;1673:1;1675:1;1676:1;1677:1;1678:1;1679:1;1683:1;1686:1;1687:1;1696:1;1707:1;1708:1;1709:1;1711:1;1720:1;1721:1;1979:1;1980:1;1982:1;1984:1;1988:1;1989:1;1990:1;1992:1;1994:1;1995:1;1997:1;1999:1;2001:1;2004:1;2005:1;2007:1;2010:1;2011:1;2012:1;2013:1;},CCCCCC
2023-09-22 00:49:09.135970,7,5,4,6,-1,{25:1;32:1;35:1;36:1;37:1;38:1;40:1;41:1;44:1;48:1;51:1;52:1;56:1;58:1;59:1;62:1;1145:1;1168:1;1171:1;1173:1;1175:1;1176:1;1178:1;1180:1;1181:1;1184:1;1186:1;1187:1;1188:1;1191:1;1192:1;1193:1;1195:1;1196:1;1197:1;1198:1;1199:1;1368:1;1369:1;1370:1;1371:1;1372:1;1373:1;1374:1;1383:1;1508:1;1528:1;1529:1;1531:1;1532:2;1536:1;1538:1;1543:1;1544:1;1548:1;1549:1;1550:1;1551:1;1552:1;1553:1;1555:1;1556:1;1557:1;1558:1;1561:1;1562:1;1565:1;1567:1;},CCCCRT
2023-09-22 00:49:10.137938,8,6,5,5,1,{167:1;314:1;712:1;714:1;715:1;720:1;721:1;723:1;725:1;726:1;727:1;728:1;730:1;738:1;748:1;749:1;750:1;751:1;754:1;757:1;758:1;759:1;760:1;763:1;765:1;767:1;769:1;770:1;773:1;775:1;778:1;779:1;781:1;787:1;788:1;789:1;790:1;1040:1;1050:1;1051:1;1052:1;1054:1;1064:1;1067:1;1075:1;1209:1;1211:1;1216:1;1219:1;1220:1;1221:1;1223:1;1224:1;1226:1;1228:1;1229:1;1233:1;1236:1;1237:1;1238:1;1239:1;1241:1;1242:1;1244:1;1245:1;1247:1;1640:1;1641:1;1642:1;1643:1;1645:1;1647:1;1649:1;1650:1;1651:1;1652:1;1653:1;1654:1;1655:1;1657:1;1660:1;1661:1;1662:1;1663:1;1665:1;1667:1;1670:1;1677:1;1678:1;1736:1;1737:1;1749:1;1750:1;1751:1;1756:1;1757:1;1760:1;1761:1;1762:1;1768:1;1769:1;1772:1;1773:1;1775:1;1780:1;1781:1;1782:1;1986:1;1987:1;1997:1;1998:1;1999:1;2022:1;2023:1;},CCHCCC
2023-09-22 00:49:11.134802,9,2,1,5,-1,{528:1;529:1;531:1;532:1;533:1;540:1;541:1;544:1;545:1;546:1;547:1;549:1;554:1;555:1;557:1;558:1;559:1;564:1;565:1;567:1;},CRTTTT
2023-09-22 00:49:12.136259,10,5,4,5,-1,{384:1;385:1;386:1;387:1;388:1;392:1;396:1;399:1;400:1;401:1;402:1;405:1;408:1;410:1;411:1;413:1;421:1;422:1;672:1;687:1;1392:1;1393:1;1396:1;1398:1;1407:1;1416:1;1418:2;1420:1;1421:1;1422:1;1602:1;1625:1;1627:1;1657:1;1658:1;1664:1;1665:1;1668:1;1670:1;1671:1;1672:1;1673:1;1674:1;1676:1;1679:1;1680:1;1681:1;1685:1;1689:1;1690:1;1691:1;1692:1;1695:1;1956:1;},CCHCCR
2023-09-22 00:49:13.135084,11,5,4,4,-1,{58:1;59:1;65:1;67:1;74:1;77:1;79:1;81:1;84:1;85:1;88:1;89:1;95:1;102:1;103:1;584:1;586:1;594:1;595:1;601:1;602:1;603:1;604:1;605:1;610:1;614:1;615:1;617:1;622:1;623:1;627:1;628:1;629:1;630:1;631:1;779:1;1766:1;1767:1;1800:1;1802:1;1809:1;1811:1;1812:1;1813:1;1818:1;1819:1;1822:1;1825:1;1827:1;1829:1;1832:2;1837:1;2019:1;2032:1;2034:1;},CCCCRT
2023-09-22 00:49:14.136362,12,2,1,5,-1,{232:1;234:1;237:1;239:1;243:1;245:1;248:1;250:1;252:1;254:1;258:1;261:1;262:1;1080:1;1083:1;1089:1;1090:1;1092:1;1093:1;1094:1;1095:1;1096:1;1098:1;1102:1;1105:1;1106:1;1111:1;1114:1;1117:1;},CRTTTT
