Timestamp,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SCS_FLAG,ERRS,SLOTS
2023-09-10 15:39:15.151025,2,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:16.151658,3,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:17.150443,4,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:18.151221,5,2,1,1,-1,{930:1;955:1;982:1;1060:1;1118:1;},CRTTTT
2023-09-10 15:39:19.150961,6,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:20.152343,7,2,1,1,-1,{754:1;936:1;941:1;965:1;},CRTTTT
2023-09-10 15:39:21.152072,8,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:22.151610,9,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:23.152064,10,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:24.152214,11,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:25.152987,12,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:26.152259,13,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:27.151279,14,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:28.152144,15,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:29.151267,16,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:30.152030,17,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:31.151151,18,1,0,0,-1,{},HRTTTT
2023-09-10 15:39:32.151430,19,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:33.150792,20,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:34.151401,21,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:35.151254,22,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:36.151573,23,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:37.151461,24,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:38.150881,25,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:39.151581,26,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:40.151599,27,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:41.151006,28,2,1,1,-1,{171:1;184:1;191:1;251:1;256:1;264:1;271:1;290:1;291:1;373:1;},CRTTTT
2023-09-10 15:39:42.151372,29,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:43.154334,30,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:44.151784,31,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:45.152261,32,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:46.152213,33,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:47.153962,34,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:48.151953,35,2,1,1,-1,{1316:1;},CRTTTT
2023-09-10 15:39:49.152019,36,1,0,1,-1,{},RTTTTT
2023-09-10 15:39:50.151891,37,2,1,2,-1,{8:1;23:1;121:1;128:1;},CRTTTT
2023-09-10 15:39:51.151087,38,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:52.151759,39,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:53.151838,40,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:54.150947,41,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:55.151000,42,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:56.150768,43,2,1,1,-1,{917:1;925:1;933:1;1001:1;1008:1;1047:1;1056:1;1071:1;},CRTTTT
2023-09-10 15:39:57.150809,44,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:58.150579,45,1,0,0,-1,{},RTTTTT
2023-09-10 15:39:59.153625,46,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:00.151038,47,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:01.150906,48,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:02.152184,49,2,1,1,-1,{459:1;485:1;524:1;608:1;624:1;645:1;},CRTTTT
2023-09-10 15:40:03.150984,50,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:04.151443,51,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:05.151007,52,2,1,1,-1,{1827:1;1835:1;1848:1;1869:1;1935:1;1970:1;1971:1;2022:1;},CRTTTT
2023-09-10 15:40:06.151522,53,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:07.151468,54,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:08.150201,55,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:09.150708,56,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:10.150235,57,2,1,1,-1,{22:1;27:1;},CRTTTT
2023-09-10 15:40:11.150179,58,1,0,1,-1,{},RTTTTT
2023-09-10 15:40:12.150405,59,2,1,1,-1,{427:1;448:1;475:1;478:1;488:1;493:1;499:1;500:1;503:1;520:1;535:1;562:1;570:1;634:1;670:1;1554:1;1597:1;1652:1;1835:1;},CRTTTT
2023-09-10 15:40:13.150734,60,1,0,1,-1,{},RTTTTT
2023-09-10 15:40:14.150543,61,1,0,1,-1,{},RTTTTT
2023-09-10 15:40:15.150595,62,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:16.150775,63,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:17.150771,64,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:18.151008,65,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:19.150542,66,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:20.151057,67,2,1,1,-1,{98:1;261:1;262:1;306:1;351:1;},CRTTTT
2023-09-10 15:40:21.150597,68,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:22.151255,69,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:23.151557,70,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:24.151017,71,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:25.151183,72,2,1,1,-1,{1991:1;},CRTTTT
2023-09-10 15:40:26.151808,73,1,0,1,-1,{},RTTTTT
2023-09-10 15:40:27.150802,74,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:28.151361,75,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:29.151244,76,2,1,1,-1,{1883:1;1884:1;1906:1;1968:1;1983:1;},CRTTTT
2023-09-10 15:40:30.150039,77,2,1,1,-1,{9:1;11:1;12:1;17:1;19:1;22:1;25:1;34:1;37:1;41:1;43:1;47:1;49:1;53:1;54:1;59:1;61:1;65:1;69:1;71:1;72:1;75:1;79:1;81:1;85:1;89:1;94:1;97:1;101:1;103:1;105:1;108:1;112:1;115:1;119:1;120:1;125:1;131:1;134:1;138:1;143:1;144:1;147:1;150:1;155:1;162:1;165:1;170:1;173:1;176:1;181:1;195:1;198:1;205:1;210:1;214:1;224:1;226:1;228:1;233:1;236:1;243:1;251:1;256:1;261:1;263:1;270:1;273:1;278:1;281:1;286:1;291:1;293:1;296:1;300:1;302:1;306:1;309:1;313:1;317:1;319:1;321:1;326:1;328:1;347:1;350:1;355:1;359:1;362:1;371:1;375:1;377:1;379:1;390:1;392:1;399:1;405:1;409:1;415:1;420:1;422:1;426:1;430:1;433:1;435:1;439:1;443:1;447:1;449:1;453:1;457:1;463:1;465:1;471:1;472:1;479:1;481:1;484:1;488:1;490:1;499:1;504:1;508:1;511:1;513:1;516:1;521:1;523:1;526:1;530:1;534:1;540:1;543:1;546:1;557:1;559:1;561:1;567:1;573:1;575:1;579:1;581:1;583:1;584:1;588:1;590:1;594:1;602:1;607:1;611:1;620:1;626:1;628:1;637:1;640:1;645:1;650:1;653:1;657:1;662:1;669:1;673:1;677:1;683:1;686:1;693:1;697:1;700:1;702:1;705:1;711:1;716:1;721:1;726:1;730:1;734:1;736:1;740:1;743:1;745:1;747:1;750:1;752:1;754:1;756:1;759:1;762:1;765:1;769:1;772:1;774:1;778:1;780:1;787:1;791:1;795:1;799:1;804:1;809:1;815:1;816:1;820:1;827:1;828:1;837:1;840:1;844:1;847:1;852:1;860:1;863:1;864:1;869:1;871:1;873:1;880:1;886:1;891:1;894:1;896:1;900:1;902:1;905:1;907:1;912:1;915:1;917:1;920:1;926:1;930:1;932:1;938:1;945:1;947:1;949:1;951:1;954:1;957:1;963:1;969:1;975:1;979:1;983:1;986:1;989:1;995:1;998:1;1000:1;1006:1;1010:1;1013:1;1017:1;1020:1;1025:1;1028:1;1031:1;1036:1;1040:1;1043:1;1046:1;1049:1;1052:1;1059:1;1062:1;1070:1;1077:1;1079:1;1081:1;1093:1;1097:1;1103:1;1105:1;1109:1;1112:1;1115:1;1120:1;1123:1;1128:1;1131:1;1134:1;1138:1;1144:1;1147:1;1150:1;1154:1;1162:1;1164:1;1170:1;1172:1;1174:1;1177:1;1185:1;1187:1;1190:1;1194:1;1199:1;1203:1;1207:1;1208:1;1212:1;1215:1;1216:1;1222:1;1225:1;1234:1;1239:1;1241:1;1245:1;1249:1;1252:1;1257:1;1268:1;1272:1;1275:1;1279:1;1283:1;1285:1;1288:1;1292:1;1295:1;1298:1;1306:1;1310:1;1313:1;1316:1;1319:1;1324:1;1326:1;1332:1;1336:1;1338:1;1343:1;1345:1;1347:1;1349:1;1352:1;1354:1;1359:1;1362:1;1364:1;1372:1;1374:1;1377:1;1382:1;1387:1;1389:1;1391:1;1392:1;1395:1;1397:1;1400:1;1410:1;1412:1;1419:1;1421:1;1428:1;1430:1;1434:1;1438:1;1443:1;1445:1;1449:1;1453:1;1462:1;1465:1;1466:1;1471:1;1475:1;1482:1;1486:1;1491:1;1495:1;1496:1;1498:1;1500:1;1503:1;1506:1;1509:1;1513:1;1515:1;1518:1;1520:1;1530:1;1533:1;1537:1;1540:1;1547:1;1550:1;1552:1;1557:1;1559:1;1564:1;1568:1;1573:1;1576:1;1586:1;1590:1;1596:1;1600:1;1603:1;1605:1;1608:1;1611:1;1613:1;1618:1;1624:1;1630:1;1635:1;1637:1;1644:1;1647:1;1652:1;1655:1;1657:1;1661:1;1663:1;1664:1;1666:1;1669:1;1678:1;1682:1;1685:1;1689:1;1692:1;1696:1;1699:1;1703:1;1715:1;1717:1;1722:1;1725:1;1731:1;1735:1;1737:1;1741:1;1743:1;1744:1;1750:1;1756:1;1758:1;1764:1;1769:1;1771:1;1773:1;1776:1;1778:1;1783:1;1787:1;1790:1;1792:1;1794:1;1797:1;1801:1;1805:1;1810:1;1813:1;1815:1;1819:1;1828:1;1833:1;1839:1;1840:1;1843:1;1847:1;1848:1;1856:1;1859:1;1866:1;1869:1;1873:1;1875:1;1878:1;1881:1;1884:1;1892:1;1894:1;1896:1;1899:1;1907:1;1914:1;1919:1;1923:1;1926:1;1932:1;1938:1;1942:1;1945:1;1947:1;1954:1;1956:1;1958:1;1961:1;1967:1;1970:1;1974:1;1981:1;1984:1;1986:1;1995:1;2002:1;2004:1;2007:1;2010:1;2013:1;2015:1;2018:1;2022:1;2025:1;2027:1;2034:1;},CRTTTT
2023-09-10 15:40:31.150478,78,1,0,1,-1,{},RTTTTT
2023-09-10 15:40:32.150902,79,1,0,1,-1,{},RTTTTT
2023-09-10 15:40:33.151152,80,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:34.150789,81,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:35.151262,82,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:36.150703,83,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:37.151227,84,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:38.150888,85,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:39.151575,86,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:40.152157,87,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:41.152675,88,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:42.150987,89,2,1,1,-1,{23:1;47:1;72:1;87:1;89:1;90:1;98:1;99:1;102:1;103:1;125:1;150:1;151:1;152:1;163:1;170:1;171:1;173:1;174:1;194:1;207:1;214:1;219:1;220:1;225:1;236:1;237:1;248:1;},CRTTTT
2023-09-10 15:40:43.151268,90,1,0,1,-1,{},RTTTTT
2023-09-10 15:40:44.151515,91,1,0,1,-1,{},RTTTTT
2023-09-10 15:40:45.151838,92,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:46.152481,93,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:47.151492,94,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:48.151023,95,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:49.151300,96,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:50.151517,97,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:51.150489,98,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:52.151978,99,1,0,0,-1,{},HRTTTT
2023-09-10 15:40:53.151479,100,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:54.151723,101,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:55.151484,102,2,1,1,-1,{1062:1;1086:1;1102:1;1128:1;1129:1;1136:1;1139:1;1159:1;1168:1;1173:1;1183:1;1199:1;1203:1;1207:1;1210:1;1220:1;1240:1;1241:1;1246:1;1301:1;1302:1;1306:1;1324:1;},CRTTTT
2023-09-10 15:40:56.151124,103,1,0,1,-1,{},RTTTTT
2023-09-10 15:40:57.151196,104,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:58.150811,105,1,0,0,-1,{},RTTTTT
2023-09-10 15:40:59.151277,106,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:00.151420,107,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:01.151170,108,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:02.152338,109,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:03.152059,110,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:04.151478,111,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:05.151751,112,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:06.151840,113,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:07.151642,114,2,1,1,-1,{1386:1;1387:1;1402:1;1419:1;1431:1;},CRTTTT
2023-09-10 15:41:08.152139,115,1,0,1,-1,{},RTTTTT
2023-09-10 15:41:09.152079,116,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:10.151905,117,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:11.151468,118,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:12.152081,119,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:13.152770,120,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:14.151682,121,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:15.150587,122,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:16.152156,123,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:17.151048,124,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:18.150893,125,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:19.150989,126,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:20.151196,127,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:21.151344,128,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:22.150714,129,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:23.151214,130,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:24.152111,131,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:25.151339,132,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:26.152864,133,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:27.152335,134,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:28.150660,135,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:29.151348,136,2,1,1,-1,{579:1;586:1;589:1;595:1;598:1;602:1;607:1;619:1;620:1;622:1;623:1;627:1;629:1;633:1;636:1;637:1;638:1;639:1;640:1;643:1;649:1;650:1;651:1;652:1;654:1;656:1;659:1;662:1;663:1;664:1;669:1;674:1;678:1;679:1;691:1;699:1;700:1;703:1;709:1;712:1;713:1;714:1;722:1;723:1;726:1;729:1;738:1;744:1;750:1;751:1;753:1;760:1;764:1;771:1;772:1;773:1;781:1;782:1;786:1;788:1;789:1;791:1;793:1;803:1;},CRTTTT
2023-09-10 15:41:30.151286,137,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:31.150683,138,2,1,1,-1,{769:1;779:1;785:1;787:1;790:1;791:1;792:1;794:1;796:1;797:1;800:1;803:1;804:1;807:1;813:1;816:1;817:1;818:1;820:1;823:1;824:1;825:1;826:1;828:1;829:1;830:1;831:1;832:1;833:1;835:1;836:1;837:1;839:1;840:1;841:1;842:1;843:1;844:1;845:1;846:1;850:1;852:1;853:1;854:1;857:1;858:1;859:1;860:1;864:1;865:1;870:1;872:1;873:1;875:1;876:1;879:1;880:1;881:1;882:1;889:1;890:1;893:1;896:1;900:1;902:1;903:1;905:1;906:1;907:1;910:1;914:1;917:1;919:1;922:1;923:1;929:1;930:1;931:1;934:1;935:1;936:1;937:1;938:1;940:1;941:1;944:1;946:1;949:1;952:1;953:1;956:1;960:1;961:1;964:1;965:1;974:1;979:1;981:1;987:1;988:1;989:1;992:1;997:1;998:1;999:1;1000:1;1001:1;1003:1;1004:1;1005:1;1006:1;1013:1;1014:1;1015:1;1018:1;1021:1;1022:1;1023:1;1024:1;1025:1;1026:1;1028:1;1031:1;1032:1;1038:1;1039:1;1047:1;1050:1;1052:1;1053:1;1054:1;1058:1;1059:1;1060:1;1062:1;1063:1;1066:1;1067:1;1068:1;1070:1;1075:1;1077:1;1079:1;},CRTTTT
2023-09-10 15:41:32.150832,139,1,0,1,-1,{},RTTTTT
2023-09-10 15:41:33.151176,140,2,1,1,-1,{8:1;14:1;15:1;16:1;17:1;18:1;19:1;20:1;23:1;24:1;26:1;27:1;29:1;30:1;31:1;32:1;34:1;37:1;39:1;40:1;41:1;43:1;44:1;45:1;47:1;48:1;53:1;55:1;56:1;57:1;60:1;64:1;65:1;67:1;68:1;70:1;71:1;72:1;77:1;78:1;82:1;84:1;85:1;88:1;91:1;92:1;93:1;94:1;98:1;99:1;100:1;101:1;102:1;105:1;106:1;107:1;108:1;109:1;111:1;115:1;116:1;118:1;119:1;120:1;121:1;122:1;123:1;124:1;127:1;128:1;129:1;131:1;133:1;135:1;136:1;137:1;138:1;139:1;140:1;141:1;145:1;147:1;149:1;150:1;151:1;154:1;157:1;158:1;159:1;160:1;161:1;162:1;166:1;167:1;169:1;170:1;171:1;172:1;173:1;174:1;181:1;182:1;194:1;195:1;198:1;200:1;204:1;205:1;206:1;207:1;209:1;211:1;213:1;216:1;218:1;220:1;222:1;223:1;229:1;230:1;232:1;233:1;234:1;235:1;237:1;241:1;242:1;243:1;245:1;247:1;256:1;257:1;261:1;262:1;263:1;264:1;266:1;268:1;271:1;272:1;282:1;283:1;285:1;290:1;291:1;292:1;303:1;310:1;316:1;317:1;318:1;},CRTTTT
2023-09-10 15:41:34.151008,141,1,0,1,-1,{},RTTTTT
2023-09-10 15:41:35.150946,142,2,1,2,-1,{1328:1;1329:1;1346:1;1351:1;1361:1;1362:1;1363:1;1366:1;1367:1;1369:1;1371:1;1375:1;1376:1;1379:1;1384:1;1388:1;1392:1;1394:1;1398:1;1400:1;1401:1;1403:1;1408:1;1415:1;1416:1;1420:1;1428:1;1429:1;1430:1;1431:1;1432:1;1433:1;1435:1;1436:1;1439:1;1440:1;1444:1;1446:1;1447:1;1450:1;1451:1;1453:1;1460:1;1461:1;1462:1;1463:1;1465:1;1466:1;1467:1;1472:1;1474:1;1475:1;1477:1;1478:1;1479:1;1480:1;1482:1;1483:1;1487:1;1491:1;1496:1;1497:1;1498:1;1500:1;1503:1;1504:1;1506:1;1507:1;1509:1;1510:1;1511:1;1512:1;1513:1;1514:1;1515:1;1523:1;1524:1;1531:1;1534:1;1535:1;1538:1;1540:1;1542:1;1543:1;1548:1;1551:1;1553:1;1554:1;1555:1;1556:1;1559:1;1560:1;1563:1;1566:1;1568:1;1569:1;1571:1;1572:1;1573:1;1574:1;1575:1;1576:1;1587:1;1593:1;1594:1;1598:1;1602:1;1603:1;1605:1;1606:1;1607:1;1611:1;1614:1;1616:1;1617:1;1623:1;1626:1;1627:1;1629:1;1630:1;1631:1;1632:1;1647:1;},CRTTTT
2023-09-10 15:41:36.151399,143,2,1,1,-1,{1802:1;1834:1;1856:1;1890:1;1891:1;1926:1;1943:1;1983:1;},CRTTTT
2023-09-10 15:41:37.151356,144,1,0,1,-1,{},RTTTTT
2023-09-10 15:41:38.152109,145,1,0,1,-1,{},RTTTTT
2023-09-10 15:41:39.150906,146,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:40.151631,147,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:41.151081,148,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:42.151166,149,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:43.151105,150,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:44.151892,151,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:45.151315,152,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:46.151138,153,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:47.151014,154,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:48.151549,155,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:49.150855,156,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:50.151629,157,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:51.150596,158,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:52.152180,159,2,1,1,-1,{897:1;898:1;899:1;904:1;906:1;907:1;908:1;909:1;910:1;915:1;916:1;917:1;919:1;921:1;922:1;925:1;929:1;930:1;933:1;935:1;936:1;937:1;938:1;941:1;943:1;945:1;948:1;951:1;952:1;953:1;954:1;956:1;958:1;962:1;969:1;971:1;974:1;977:1;978:1;979:1;983:1;985:1;989:1;991:1;992:1;994:1;995:1;996:1;999:1;1001:1;1003:1;1004:1;1005:1;1007:1;1009:1;1015:1;1016:1;1017:1;1020:1;1024:1;1025:1;1026:1;1027:1;1031:1;1038:1;1039:1;1040:1;1042:1;1045:1;1046:1;1047:1;1052:1;1053:1;1055:1;1056:1;1059:1;1061:1;1065:1;1067:1;1068:1;1070:1;1072:1;1073:1;1074:1;1076:1;1077:1;1079:1;1086:1;1088:1;1089:1;1090:1;1091:1;1092:1;1096:1;1099:1;1100:1;1102:1;1105:1;1109:1;1110:1;1113:1;1114:1;1115:1;1116:1;1117:1;1118:1;1120:1;1131:1;1132:1;1135:1;1136:1;1140:1;1146:1;1147:1;1148:1;1149:1;1152:1;1156:1;1157:1;1161:1;1162:1;1167:1;1171:1;1175:1;1176:1;1177:1;1179:1;1182:1;1184:1;1185:1;1186:1;1188:1;1189:1;1190:1;1191:1;1194:1;1195:1;1196:1;1197:1;1199:1;1206:1;1207:1;},CRTTTT
2023-09-10 15:41:53.151257,160,1,0,1,-1,{},RTTTTT
2023-09-10 15:41:54.151270,161,1,0,0,-1,{},RTTTTT
2023-09-10 15:41:55.151478,162,1,0,0,-1,{},RTTTTT
