Timestamp,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SCS_FLAG,ERRS,SLOTS
2023-12-09 22:33:43.048140,2,2,1,1,-1,{808:1;810:1;811:1;812:1;813:1;814:1;815:1;824:1;825:1;828:1;831:1;836:1;837:1;840:1;842:1;843:1;857:1;858:1;871:1;873:1;874:1;875:1;},CRTTTT
2023-12-09 22:33:44.048427,3,1,0,1,-1,{},RTTTTT
2023-12-09 22:33:45.048570,4,1,0,1,-1,{},RTTTTT
2023-12-09 22:33:46.049000,5,3,2,3,-1,{508:1;511:1;513:1;515:1;516:1;518:1;519:1;520:1;527:1;530:1;531:1;542:1;546:1;547:1;548:1;549:1;551:1;552:1;554:1;555:1;556:1;559:1;560:1;562:1;563:1;565:1;566:1;567:1;568:1;569:1;570:1;571:1;574:1;578:1;579:1;580:1;581:1;583:1;957:1;958:1;960:1;961:1;963:1;966:1;982:1;},CCRTTT
2023-12-09 22:33:47.049035,6,1,0,0,-1,{},RTTTTT
2023-12-09 22:33:48.047824,7,1,0,0,-1,{},RTTTTT
2023-12-09 22:33:49.048704,8,1,0,0,-1,{},RTTTTT
2023-12-09 22:33:50.048491,9,1,0,0,-1,{},RTTTTT
2023-12-09 22:33:51.048998,10,2,1,1,-1,{57:1;58:1;61:1;62:1;80:1;83:1;84:1;85:1;87:1;89:1;90:1;91:1;92:1;93:1;95:1;96:1;97:1;98:1;102:1;103:1;105:1;112:1;114:1;116:1;117:1;119:1;124:1;126:1;},CRTTTT
2023-12-09 22:33:52.048802,11,1,0,0,-1,{},RTTTTT
2023-12-09 22:33:53.048849,12,1,0,0,-1,{},RTTTTT
2023-12-09 22:33:54.049903,13,1,0,0,-1,{},RTTTTT
2023-12-09 22:33:55.049801,14,1,0,0,-1,{},HRTTTT
2023-12-09 22:33:56.049324,15,2,1,1,-1,{834:1;835:1;838:1;842:1;844:1;845:1;846:1;852:1;853:1;854:1;855:1;856:1;857:1;859:1;861:1;863:1;865:1;867:1;868:1;869:1;874:1;876:1;880:1;883:1;889:1;890:1;892:1;895:1;896:1;897:1;898:1;899:1;902:1;906:1;907:1;908:1;911:1;913:1;914:1;915:1;916:1;917:1;918:1;919:1;920:1;924:1;928:1;932:1;935:1;},CRTTTT
2023-12-09 22:33:57.049206,16,1,0,1,-1,{},RTTTTT
2023-12-09 22:33:58.049537,17,1,0,0,-1,{},RTTTTT
2023-12-09 22:33:59.048919,18,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:00.048961,19,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:01.050313,20,2,1,1,-1,{598:1;608:1;609:1;610:1;625:1;626:1;628:1;631:1;812:1;813:1;},CRTTTT
2023-12-09 22:34:02.049557,21,1,0,1,-1,{},RTTTTT
2023-12-09 22:34:03.049687,22,1,0,1,-1,{},RTTTTT
2023-12-09 22:34:04.049541,23,3,2,2,-1,{69:1;70:1;92:1;93:1;95:1;356:1;361:1;379:1;804:1;807:1;813:1;815:1;817:1;818:1;819:1;820:1;822:1;823:1;828:1;829:1;830:1;831:1;836:1;837:1;838:1;839:1;840:1;843:1;848:1;849:1;852:1;853:1;855:1;862:1;864:1;867:1;869:1;870:1;871:1;875:1;877:1;878:1;},CCRTTT
2023-12-09 22:34:05.049097,24,1,0,2,-1,{},RTTTTT
2023-12-09 22:34:06.049265,25,1,0,2,-1,{},RTTTTT
2023-12-09 22:34:07.051160,26,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:08.048733,27,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:09.049464,28,3,2,2,-1,{246:1;247:1;252:1;256:1;257:1;258:1;259:1;272:1;275:1;276:1;277:1;279:1;296:1;298:1;299:1;301:1;302:1;303:1;460:1;461:1;462:1;463:1;469:1;470:1;525:1;736:1;737:1;738:1;744:1;745:1;748:1;749:1;750:1;756:1;757:1;758:1;759:1;761:1;763:1;774:1;775:1;792:1;793:1;796:1;797:1;},CCRTTT
2023-12-09 22:34:10.050051,29,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:11.049120,30,3,2,2,-1,{656:1;657:1;659:1;665:1;667:1;876:1;879:1;892:1;900:1;902:1;919:1;920:1;923:1;},CCRTTT
2023-12-09 22:34:12.049853,31,2,1,3,-1,{},CRTTTT
2023-12-09 22:34:13.049745,32,2,1,1,-1,{761:1;762:1;763:1;784:1;785:1;786:1;789:1;790:1;812:1;814:1;},HCRTTT
2023-12-09 22:34:14.049582,33,2,1,2,-1,{668:1;669:1;670:1;677:1;706:1;707:1;712:1;715:1;720:1;721:1;725:1;726:1;727:1;728:1;731:1;733:1;734:1;737:1;739:1;},CRTTTT
2023-12-09 22:34:15.049748,34,1,0,2,-1,{},RTTTTT
2023-12-09 22:34:16.049979,35,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:17.049072,36,1,0,0,-1,{},HRTTTT
2023-12-09 22:34:18.049727,37,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:19.049741,38,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:20.050027,39,2,1,1,-1,{656:1;658:1;661:1;662:1;663:1;682:1;700:1;703:1;},CRTTTT
2023-12-09 22:34:21.049225,40,1,0,1,-1,{},RTTTTT
2023-12-09 22:34:22.050169,41,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:23.049451,42,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:24.049859,43,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:25.050290,44,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:26.050125,45,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:27.050564,46,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:28.049742,47,2,1,1,-1,{25:1;26:1;28:1;31:1;},CRTTTT
2023-12-09 22:34:29.049588,48,1,0,1,-1,{},RTTTTT
2023-12-09 22:34:30.050702,49,1,0,1,-1,{},RTTTTT
2023-12-09 22:34:31.050601,50,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:32.050254,51,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:33.049550,52,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:34.050467,53,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:35.050078,54,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:36.049504,55,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:37.049609,56,2,1,1,-1,{196:1;197:1;198:1;199:1;240:1;242:1;},CRTTTT
2023-12-09 22:34:38.050232,57,1,0,1,-1,{},RTTTTT
2023-12-09 22:34:39.049252,58,2,1,2,-1,{942:1;960:1;963:1;973:1;974:1;975:1;985:1;986:1;996:1;998:1;},CRTTTT
2023-12-09 22:34:40.049784,59,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:41.053993,60,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:42.051709,61,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:43.050110,62,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:44.050128,63,1,0,0,-1,{},RTTTTT
2023-12-09 22:34:45.050383,64,1,0,0,-1,{},RTTTTT
