TIMESTAMP,SLOTS
[2023-07-20 18:58:04],RTTTTT
[2023-07-20 18:58:04],RTTTTT
[2023-07-20 18:58:04],CRTTTT
[2023-07-20 18:58:05],CCRTTT
[2023-07-20 18:58:05],CCCCHC
[2023-07-20 18:58:06],CHCCCC
[2023-07-20 18:58:07],CRTTTT
[2023-07-20 18:58:08],RTTTTT
[2023-07-20 18:58:09],RTTTTT
[2023-07-20 18:58:10],CRTTTT
[2023-07-20 18:58:11],RTTTTT
[2023-07-20 18:58:12],RTTTTT
[2023-07-20 18:58:13],RTTTTT
[2023-07-20 18:58:14],RTTTTT
[2023-07-20 18:58:15],HRTTTT
[2023-07-20 18:58:16],RTTTTT
[2023-07-20 18:58:17],RTTTTT
[2023-07-20 18:58:18],CHHCCE
[2023-07-20 18:58:19],HRTTTT
[2023-07-20 18:58:20],RTTTTT
[2023-07-20 18:58:21],RTTTTT
[2023-07-20 18:58:22],RTTTTT
[2023-07-20 18:58:23],HRTTTT
[2023-07-20 18:58:24],HRTTTT
[2023-07-20 18:58:25],CCRTTT
[2023-07-20 18:58:26],RTTTTT
[2023-07-20 18:58:27],RTTTTT
[2023-07-20 18:58:28],RTTTTT
[2023-07-20 18:58:29],RTTTTT
[2023-07-20 18:58:30],RTTTTT
[2023-07-20 18:58:31],RTTTTT
[2023-07-20 18:58:32],CCCHHE
[2023-07-20 18:58:33],HHHCHE
[2023-07-20 18:58:34],RTTTTT
[2023-07-20 18:58:35],HCHHCC
[2023-07-20 18:58:36],RTTTTT
[2023-07-20 18:58:37],CRTTTT
[2023-07-20 18:58:38],RTTTTT
[2023-07-20 18:58:39],RTTTTT
[2023-07-20 18:58:40],RTTTTT
[2023-07-20 18:58:41],RTTTTT
[2023-07-20 18:58:42],CRTTTT
[2023-07-20 18:58:43],RTTTTT
[2023-07-20 18:58:44],RTTTTT
[2023-07-20 18:58:45],RTTTTT
[2023-07-20 18:58:46],RTTTTT
[2023-07-20 18:58:47],CRTTTT
[2023-07-20 18:58:48],RTTTTT
[2023-07-20 18:58:49],RTTTTT
[2023-07-20 18:58:50],RTTTTT
[2023-07-20 18:58:51],CRTTTT
[2023-07-20 18:58:52],CRTTTT
[2023-07-20 18:58:53],RTTTTT
[2023-07-20 18:58:54],RTTTTT
[2023-07-20 18:58:55],CCRTTT
[2023-07-20 18:58:56],CCHHCC
[2023-07-20 18:58:57],RTTTTT
