TIMESTAMP,SLOTS
[2023-07-20 19:00:20],RTTTTT
[2023-07-20 19:00:21],RTTTTT
[2023-07-20 19:00:22],RTTTTT
[2023-07-20 19:00:23],RTTTTT
[2023-07-20 19:00:24],RTTTTT
[2023-07-20 19:00:25],HRTTTT
[2023-07-20 19:00:26],RTTTTT
[2023-07-20 19:00:27],RTTTTT
[2023-07-20 19:00:28],CRTTTT
[2023-07-20 19:00:29],RTTTTT
[2023-07-20 19:00:30],CCRTTT
[2023-07-20 19:00:31],RTTTTT
[2023-07-20 19:00:32],RTTTTT
[2023-07-20 19:00:33],HRTTTT
[2023-07-20 19:00:34],CHRTTT
[2023-07-20 19:00:35],RTTTTT
[2023-07-20 19:00:36],RTTTTT
[2023-07-20 19:00:37],RTTTTT
[2023-07-20 19:00:38],RTTTTT
[2023-07-20 19:00:39],CRTTTT
[2023-07-20 19:00:40],RTTTTT
[2023-07-20 19:00:41],CRTTTT
[2023-07-20 19:00:42],RTTTTT
[2023-07-20 19:00:43],RTTTTT
[2023-07-20 19:00:44],CCCCCC
[2023-07-20 19:00:45],RTTTTT
[2023-07-20 19:00:46],RTTTTT
[2023-07-20 19:00:47],RTTTTT
[2023-07-20 19:00:48],RTTTTT
[2023-07-20 19:00:49],RTTTTT
[2023-07-20 19:00:50],CRTTTT
[2023-07-20 19:00:51],CHRTTT
[2023-07-20 19:00:52],RTTTTT
[2023-07-20 19:00:53],CRTTTT
[2023-07-20 19:00:54],RTTTTT
[2023-07-20 19:00:55],RTTTTT
[2023-07-20 19:00:56],RTTTTT
[2023-07-20 19:00:57],RTTTTT
[2023-07-20 19:00:58],CCRTTT
[2023-07-20 19:00:59],RTTTTT
[2023-07-20 19:01:00],RTTTTT
[2023-07-20 19:01:01],RTTTTT
[2023-07-20 19:01:02],RTTTTT
[2023-07-20 19:01:03],RTTTTT
[2023-07-20 19:01:04],RTTTTT
[2023-07-20 19:01:05],RTTTTT
[2023-07-20 19:01:06],RTTTTT
[2023-07-20 19:01:07],RTTTTT
[2023-07-20 19:01:08],RTTTTT
[2023-07-20 19:01:09],CRTTTT
[2023-07-20 19:01:10],RTTTTT
[2023-07-20 19:01:11],RTTTTT
[2023-07-20 19:01:12],RTTTTT
[2023-07-20 19:01:13],RTTTTT
[2023-07-20 19:01:14],RTTTTT
[2023-07-20 19:01:15],RTTTTT
[2023-07-20 19:01:16],RTTTTT
[2023-07-20 19:01:17],RTTTTT
[2023-07-20 19:01:18],RTTTTT
[2023-07-20 19:01:19],RTTTTT
[2023-07-20 19:01:20],RTTTTT
[2023-07-20 19:01:21],RTTTTT
[2023-07-20 19:01:22],RTTTTT
[2023-07-20 19:01:23],CRTTTT
[2023-07-20 19:01:24],RTTTTT
[2023-07-20 19:01:25],RTTTTT
[2023-07-20 19:01:26],RTTTTT
[2023-07-20 19:01:27],CCRTTT
[2023-07-20 19:01:28],RTTTTT
[2023-07-20 19:01:29],CRTTTT
[2023-07-20 19:01:30],RTTTTT
[2023-07-20 19:01:31],RTTTTT
