TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SUCCESS_FLAG,ERRORS,SLOTS
[2023-07-20 18:48:41],1,1,0,0,-1,{},..RTTT
[2023-07-20 18:48:42],2,1,0,0,-1,{},RTTTTT
[2023-07-20 18:48:43],3,1,0,0,-1,{},RTTTTT
[2023-07-20 18:48:44],4,1,0,0,-1,{},RTTTTT
[2023-07-20 18:48:45],5,1,0,0,-1,{},RTTTTT
[2023-07-20 18:48:46],6,1,0,0,-1,{},RTTTTT
[2023-07-20 18:48:47],7,1,0,0,-1,{},RTTTTT
[2023-07-20 18:48:48],8,1,0,0,-1,{},RTTTTT
[2023-07-20 18:48:49],9,1,0,0,-1,{},RTTTTT
[2023-07-20 18:48:50],10,1,0,0,-1,{},RTTTTT
[2023-07-20 18:48:51],11,1,0,0,-1,{},RTTTTT
[2023-07-20 18:48:52],12,1,0,0,-1,{},RTTTTT
[2023-07-20 18:48:53],13,1,0,0,-1,{},RTTTTT
[2023-07-20 18:48:54],14,3,2,2,-1,{143:1;144:1;145:1;147:1;149:1;150:1;151:1;168:1;169:1;170:1;185:1;187:1;196:1;197:1;199:1;224:1;226:1;227:1;940:1;948:1;949:1;951:1;954:1;955:1;958:1;959:1;961:1;963:1;965:1;969:1;972:1;973:1;974:1;975:1;976:1;977:1;981:1;983:1;984:1;986:1;987:1;990:1;996:1;997:1;998:1;},CMCMRT
[2023-07-20 18:48:55],15,1,0,2,-1,{},RTTTTT
[2023-07-20 18:48:56],16,1,0,2,-1,{},RTTTTT
[2023-07-20 18:48:57],17,1,0,0,-1,{},RTTTTT
[2023-07-20 18:48:58],18,2,1,1,-1,{641:1;647:1;648:1;650:1;652:1;661:1;670:1;672:1;673:1;676:1;678:1;679:1;684:1;685:1;686:1;687:1;691:1;694:1;699:1;714:1;715:1;720:1;721:1;724:1;},CMRTTT
[2023-07-20 18:48:59],19,2,1,2,-1,{878:1;885:1;886:1;887:1;898:1;902:1;930:1;931:1;933:1;935:1;952:1;954:1;955:1;},CMRTTT
[2023-07-20 18:49:00],20,1,0,0,-1,{},RTTTTT
[2023-07-20 18:49:01],21,1,0,0,-1,{},RTTTTT
[2023-07-20 18:49:02],22,1,0,0,-1,{},RTTTTT
[2023-07-20 18:49:03],23,1,0,0,-1,{},RTTTTT
[2023-07-20 18:49:04],24,1,0,0,-1,{},RTTTTT
[2023-07-20 18:49:05],25,1,0,0,-1,{},RTTTTT
[2023-07-20 18:49:06],26,1,0,0,-1,{},RTTTTT
[2023-07-20 18:49:07],27,1,0,0,-1,{},RTTTTT
[2023-07-20 18:49:08],28,2,1,1,-1,{120:1;122:1;124:1;127:1;},HCMRTT
[2023-07-20 18:49:09],29,1,0,0,-1,{},RTTTTT
[2023-07-20 18:49:10],30,1,0,0,-1,{},RTTTTT
[2023-07-20 18:49:11],31,2,1,1,-1,{436:1;438:1;439:1;},CMRTTT
[2023-07-20 18:49:12],32,1,0,0,-1,{},RTTTTT
[2023-07-20 18:49:13],33,1,0,0,-1,{},RTTTTT
[2023-07-20 18:49:14],34,4,3,3,1,{12:1;13:1;14:1;18:1;19:1;20:1;22:1;23:1;25:1;26:1;30:1;31:1;32:1;34:1;35:1;39:1;40:1;42:1;44:1;49:1;51:1;52:1;53:1;686:1;687:1;695:1;701:1;703:1;707:1;713:1;715:1;716:1;717:1;719:1;725:1;726:1;727:1;730:1;737:1;738:1;739:1;740:1;742:1;743:1;746:1;747:1;748:1;749:1;750:1;751:1;752:1;761:1;762:1;763:1;764:1;768:1;769:1;801:1;802:1;803:1;804:1;808:1;809:1;811:1;813:1;814:1;815:1;817:1;818:1;821:1;825:1;828:1;829:1;831:1;833:1;835:1;836:1;837:1;838:1;839:1;840:1;843:1;844:1;846:1;847:1;848:1;850:1;861:1;864:1;868:1;871:1;872:1;873:1;874:1;875:1;876:1;878:1;881:1;882:1;883:1;884:1;885:1;886:1;},CMCMCM
[2023-07-20 18:49:15],35,1,0,0,-1,{},RTTTTT
[2023-07-20 18:49:16],36,1,0,0,-1,{},RTTTTT
[2023-07-20 18:49:17],37,1,0,0,-1,{},RTTTTT
[2023-07-20 18:49:18],38,1,0,0,-1,{},RTTTTT
[2023-07-20 18:49:19],39,2,1,1,-1,{796:1;797:1;799:1;800:1;801:1;803:1;804:1;805:1;806:1;829:1;830:1;831:1;840:1;841:1;842:1;843:1;847:1;},CMRTTT
[2023-07-20 18:49:20],40,1,0,1,-1,{},RTTTTT
[2023-07-20 18:49:21],41,1,0,0,-1,{},RTTTTT
[2023-07-20 18:49:22],42,1,0,0,-1,{},RTTTTT
[2023-07-20 18:49:23],43,1,0,0,-1,{},RTTTTT
[2023-07-20 18:49:24],44,1,0,0,-1,{},RTTTTT
[2023-07-20 18:49:25],45,1,0,0,-1,{},RTTTTT
[2023-07-20 18:49:26],46,2,1,1,-1,{389:1;390:1;392:1;396:1;397:1;398:1;401:1;402:1;403:1;409:1;410:1;411:1;412:1;421:1;426:1;427:1;433:1;435:1;436:1;444:1;448:1;453:1;454:1;456:1;457:1;458:1;459:1;461:1;462:1;466:1;468:1;469:1;471:1;475:1;478:1;},CMRTTT
[2023-07-20 18:49:27],47,1,0,0,-1,{},RTTTTT
