TIMESTAMP,SLOTS
[2023-07-20 19:01:44],..RTTT
[2023-07-20 19:01:45],CRTTTT
[2023-07-20 19:01:45],CRTTTT
[2023-07-20 19:01:46],RTTTTT
[2023-07-20 19:01:47],RTTTTT
[2023-07-20 19:01:48],CRTTTT
[2023-07-20 19:01:49],RTTTTT
[2023-07-20 19:01:50],CCRTTT
[2023-07-20 19:01:51],RTTTTT
[2023-07-20 19:01:52],RTTTTT
[2023-07-20 19:01:53],RTTTTT
[2023-07-20 19:01:54],RTTTTT
[2023-07-20 19:01:55],RTTTTT
[2023-07-20 19:01:56],RTTTTT
[2023-07-20 19:01:57],CRTTTT
[2023-07-20 19:01:58],RTTTTT
[2023-07-20 19:01:59],CRTTTT
[2023-07-20 19:02:00],RTTTTT
[2023-07-20 19:02:01],CRTTTT
[2023-07-20 19:02:02],RTTTTT
[2023-07-20 19:02:03],RTTTTT
[2023-07-20 19:02:04],RTTTTT
[2023-07-20 19:02:05],RTTTTT
[2023-07-20 19:02:06],HRTTTT
[2023-07-20 19:02:07],RTTTTT
[2023-07-20 19:02:08],RTTTTT
[2023-07-20 19:02:09],CCCRTT
[2023-07-20 19:02:10],RTTTTT
[2023-07-20 19:02:11],RTTTTT
[2023-07-20 19:02:12],RTTTTT
[2023-07-20 19:02:13],RTTTTT
[2023-07-20 19:02:14],RTTTTT
[2023-07-20 19:02:15],CCCRTT
[2023-07-20 19:02:16],RTTTTT
[2023-07-20 19:02:17],RTTTTT
[2023-07-20 19:02:18],CRTTTT
[2023-07-20 19:02:19],RTTTTT
[2023-07-20 19:02:20],RTTTTT
[2023-07-20 19:02:21],RTTTTT
[2023-07-20 19:02:22],RTTTTT
[2023-07-20 19:02:23],CCRTTT
[2023-07-20 19:02:24],RTTTTT
[2023-07-20 19:02:25],RTTTTT
[2023-07-20 19:02:26],RTTTTT
[2023-07-20 19:02:27],RTTTTT
[2023-07-20 19:02:28],RTTTTT
[2023-07-20 19:02:29],RTTTTT
[2023-07-20 19:02:30],RTTTTT
[2023-07-20 19:02:31],RTTTTT
[2023-07-20 19:02:32],RTTTTT
[2023-07-20 19:02:33],CHRTTT
[2023-07-20 19:02:34],RTTTTT
[2023-07-20 19:02:35],RTTTTT
[2023-07-20 19:02:36],RTTTTT
[2023-07-20 19:02:37],RTTTTT
[2023-07-20 19:02:38],RTTTTT
[2023-07-20 19:02:39],RTTTTT
[2023-07-20 19:02:40],HRTTTT
[2023-07-20 19:02:41],CCRTTT
[2023-07-20 19:02:42],RTTTTT
