TIMESTAMP,SLOTS
[2023-07-20 18:37:12],RTTTTT
[2023-07-20 18:37:13],RTTTTT
[2023-07-20 18:37:14],RTTTTT
[2023-07-20 18:37:15],CCRTTT
[2023-07-20 18:37:16],RTTTTT
[2023-07-20 18:37:17],RTTTTT
[2023-07-20 18:37:18],CHHHCC
[2023-07-20 18:37:19],RTTTTT
[2023-07-20 18:37:20],CCHHCC
[2023-07-20 18:37:21],CCCHCC
[2023-07-20 18:37:22],CCHCCC
[2023-07-20 18:37:23],RTTTTT
[2023-07-20 18:37:24],RTTTTT
[2023-07-20 18:37:25],CHCCCC
[2023-07-20 18:37:26],CRTTTT
[2023-07-20 18:37:27],RTTTTT
[2023-07-20 18:37:28],RTTTTT
[2023-07-20 18:37:29],RTTTTT
[2023-07-20 18:37:30],CCCHCC
[2023-07-20 18:37:31],RTTTTT
[2023-07-20 18:37:32],HRTTTT
[2023-07-20 18:37:33],RTTTTT
[2023-07-20 18:37:34],CRTTTT
[2023-07-20 18:37:35],RTTTTT
[2023-07-20 18:37:36],CHRTTT
[2023-07-20 18:37:37],CHHCHE
[2023-07-20 18:37:38],HRTTTT
[2023-07-20 18:37:39],RTTTTT
[2023-07-20 18:37:40],RTTTTT
[2023-07-20 18:37:41],CHCHHE
[2023-07-20 18:37:42],RTTTTT
[2023-07-20 18:37:43],RTTTTT
[2023-07-20 18:37:44],CCHRTT
[2023-07-20 18:37:45],RTTTTT
[2023-07-20 18:37:46],RTTTTT
[2023-07-20 18:37:47],RTTTTT
[2023-07-20 18:37:48],CRTTTT
[2023-07-20 18:37:49],RTTTTT
[2023-07-20 18:37:50],CRTTTT
[2023-07-20 18:37:51],RTTTTT
[2023-07-20 18:37:52],RTTTTT
[2023-07-20 18:37:53],RTTTTT
[2023-07-20 18:37:54],RTTTTT
[2023-07-20 18:37:55],CCCRTT
[2023-07-20 18:37:56],HRTTTT
[2023-07-20 18:37:57],HRTTTT
[2023-07-20 18:37:58],CRTTTT
[2023-07-20 18:37:59],RTTTTT
[2023-07-20 18:38:00],RTTTTT
[2023-07-20 18:38:01],CCCHCC
[2023-07-20 18:38:02],CRTTTT
[2023-07-20 18:38:03],RTTTTT
[2023-07-20 18:38:04],RTTTTT
[2023-07-20 18:38:05],CCCHHE
[2023-07-20 18:38:06],CCRTTT
[2023-07-20 18:38:07],RTTTTT
[2023-07-20 18:38:08],RTTTTT
[2023-07-20 18:38:09],RTTTTT
[2023-07-20 18:38:10],RTTTTT
[2023-07-20 18:38:11],RTTTTT
[2023-07-20 18:38:12],CCCCCC
[2023-07-20 18:38:13],RTTTTT
[2023-07-20 18:38:14],CRTTTT
