TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SUCCESS_FLAG,ERRORS,SLOTS
[2023-07-20 18:34:10],1,2,1,0,-1,{},..RTTT
[2023-07-20 18:34:11],2,1,0,0,-1,{},RTTTTT
[2023-07-20 18:34:11],3,2,1,1,-1,{96:1;97:1;99:1;100:1;102:1;103:1;104:1;107:1;112:1;113:1;116:1;117:1;118:1;119:1;124:1;125:1;129:1;130:1;131:1;132:1;134:1;135:1;156:1;157:1;158:1;160:1;161:1;162:1;163:1;173:1;174:1;175:1;177:1;178:1;181:1;182:1;},CMHRTT
[2023-07-20 18:34:12],4,1,0,1,-1,{},RTTTTT
[2023-07-20 18:34:12],5,1,0,0,-1,{},RTTTTT
[2023-07-20 18:34:13],6,1,0,0,-1,{},RTTTTT
[2023-07-20 18:34:13],7,2,1,1,-1,{553:1;554:1;555:1;576:1;578:1;},CMRTTT
[2023-07-20 18:34:13],8,1,0,1,-1,{},RTTTTT
[2023-07-20 18:34:14],9,1,0,1,-1,{},RTTTTT
[2023-07-20 18:34:14],10,3,3,3,0,{55:1;102:1;104:1;107:1;110:2;113:2;115:2;116:1;117:1;118:1;119:1;120:1;124:1;125:2;126:1;127:2;128:2;129:2;130:2;131:2;132:1;133:1;134:1;135:1;136:1;137:1;139:2;142:1;144:2;145:1;146:1;147:2;149:1;152:1;153:1;155:1;159:1;160:1;162:1;163:1;170:1;171:1;177:1;178:1;181:1;182:1;189:1;190:1;289:1;290:1;291:1;292:1;295:1;298:1;299:1;301:1;302:1;303:1;304:1;306:1;310:1;312:1;316:1;317:1;318:1;319:1;320:1;321:1;322:1;323:1;324:1;325:1;332:1;335:1;336:1;338:1;340:1;341:1;342:1;343:1;344:1;345:1;347:1;348:1;352:1;354:1;358:1;545:1;546:1;547:1;582:1;584:1;592:1;593:1;594:1;595:1;628:1;796:1;798:1;799:1;800:1;820:1;821:1;823:1;824:1;827:1;828:1;833:1;835:1;836:1;837:1;838:1;839:1;842:1;843:1;846:1;853:1;854:1;855:1;856:1;857:1;859:1;860:1;},CMCMCM
[2023-07-20 18:34:15],11,1,0,3,-1,{},RTTTTT
[2023-07-20 18:34:15],12,1,0,3,-1,{},RTTTTT
[2023-07-20 18:34:16],13,1,0,0,-1,{},RTTTTT
[2023-07-20 18:34:17],14,1,0,0,-1,{},RTTTTT
[2023-07-20 18:34:18],15,1,0,0,-1,{},RTTTTT
[2023-07-20 18:34:19],16,1,0,0,-1,{},RTTTTT
[2023-07-20 18:34:20],17,1,0,0,-1,{},RTTTTT
[2023-07-20 18:34:21],18,1,0,0,-1,{},RTTTTT
[2023-07-20 18:34:22],19,2,1,1,-1,{12:1;17:1;19:1;20:1;21:1;25:1;26:1;27:1;33:1;35:1;39:1;40:1;44:1;45:1;47:1;51:1;52:1;53:1;54:1;55:1;60:1;64:1;65:1;66:1;67:1;68:1;72:1;73:1;74:1;75:1;76:1;78:1;79:1;80:1;204:1;206:1;207:1;210:1;211:1;212:1;214:1;215:1;219:1;228:1;229:1;231:1;232:1;233:1;234:1;},CMRTTT
[2023-07-20 18:34:23],20,3,2,3,-1,{377:1;379:1;381:1;382:1;384:1;385:1;387:1;388:1;389:1;390:1;392:1;393:1;395:1;398:1;399:1;403:1;404:1;408:1;409:1;410:1;414:1;415:1;417:1;418:1;420:1;421:1;422:1;424:1;426:1;429:1;431:1;437:1;441:1;443:1;444:1;445:1;448:1;450:1;451:1;453:1;454:1;455:1;456:1;457:1;458:1;460:1;461:1;463:1;465:1;908:1;909:1;910:1;911:1;916:1;917:1;921:1;922:1;923:1;924:1;928:1;931:1;932:1;933:1;938:1;939:1;941:1;942:1;943:1;948:1;949:1;950:1;954:1;955:1;956:1;957:1;959:1;960:1;961:1;962:1;963:1;964:1;966:1;967:1;968:1;971:1;972:1;973:1;974:1;977:1;978:1;979:1;},CMCMRT
[2023-07-20 18:34:24],21,1,0,3,-1,{},RTTTTT
[2023-07-20 18:34:25],22,1,0,0,-1,{},RTTTTT
[2023-07-20 18:34:26],23,2,1,1,-1,{964:1;966:1;967:1;971:1;972:1;974:1;975:1;976:1;977:1;985:1;988:1;989:1;991:1;994:1;},CMRTTT
[2023-07-20 18:34:27],24,2,1,2,-1,{},CMRTTT
[2023-07-20 18:34:28],25,1,0,0,-1,{},RTTTTT
[2023-07-20 18:34:29],26,1,0,0,-1,{},RTTTTT
[2023-07-20 18:34:30],27,2,1,1,-1,{116:1;119:1;120:1;121:1;123:1;133:1;134:1;136:1;138:1;140:1;143:1;149:1;151:1;152:1;155:1;180:1;181:1;182:1;186:1;194:1;195:1;204:1;},CMRTTT
[2023-07-20 18:34:31],28,1,0,0,-1,{},RTTTTT
