TIMESTAMP,SLOTS
[2023-07-20 19:32:05],..RTTT
[2023-07-20 19:32:06],CCRTTT
[2023-07-20 19:32:07],CCCRTT
[2023-07-20 19:32:08],CCCCCR
[2023-07-20 19:32:09],CCRTTT
[2023-07-20 19:32:10],CCRTTT
[2023-07-20 19:32:11],CRTTTT
[2023-07-20 19:32:12],RTTTTT
[2023-07-20 19:32:13],CCCCCE
[2023-07-20 19:32:14],RTTTTT
[2023-07-20 19:32:15],CRTTTT
[2023-07-20 19:32:16],CRTTTT
[2023-07-20 19:32:17],CRTTTT
[2023-07-20 19:32:18],CCRTTT
[2023-07-20 19:32:19],CCRTTT
[2023-07-20 19:32:20],RTTTTT
[2023-07-20 19:32:21],CRTTTT
[2023-07-20 19:32:22],CRTTTT
[2023-07-20 19:32:23],CHCCCC
[2023-07-20 19:32:24],RTTTTT
[2023-07-20 19:32:25],CHHHCR
[2023-07-20 19:32:26],CCCCCC
[2023-07-20 19:32:27],RTTTTT
[2023-07-20 19:32:28],CCCRTT
[2023-07-20 19:32:29],RTTTTT
[2023-07-20 19:32:30],RTTTTT
[2023-07-20 19:32:31],CCCCCC
[2023-07-20 19:32:32],CRTTTT
[2023-07-20 19:32:33],RTTTTT
[2023-07-20 19:32:34],CCCCCR
[2023-07-20 19:32:35],CCRTTT
[2023-07-20 19:32:36],CCCCRT
[2023-07-20 19:32:37],RTTTTT
[2023-07-20 19:32:38],CRTTTT
[2023-07-20 19:32:39],RTTTTT
[2023-07-20 19:32:40],CCCCHR
[2023-07-20 19:32:41],CCRTTT
[2023-07-20 19:32:42],CCRTTT
[2023-07-20 19:32:43],HCCHRT
[2023-07-20 19:32:44],CRTTTT
[2023-07-20 19:32:45],CCCRTT
[2023-07-20 19:32:46],RTTTTT
[2023-07-20 19:32:47],RTTTTT
[2023-07-20 19:32:48],CCCRTT
[2023-07-20 19:32:49],CCRTTT
[2023-07-20 19:32:50],RTTTTT
[2023-07-20 19:32:51],CCRTTT
[2023-07-20 19:32:52],CCCRTT
[2023-07-20 19:32:53],CCRTTT
[2023-07-20 19:32:54],CRTTTT
[2023-07-20 19:32:55],RTTTTT
[2023-07-20 19:32:56],CCCCRT
[2023-07-20 19:32:57],CCCRTT
[2023-07-20 19:32:58],CCCCCR
[2023-07-20 19:32:59],RTTTTT
[2023-07-20 19:33:00],CRTTTT
[2023-07-20 19:33:01],CRTTTT
[2023-07-20 19:33:02],RTTTTT
