TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,SLOTS
[2023-07-31 13:27:58],1,1,0,SLTS:.RTTTT
[2023-07-31 13:27:59],2,1,0,SLTS:RTTTTT
[2023-07-31 13:28:00],3,1,0,SLTS:RTTTTT
[2023-07-31 13:28:01],4,1,0,SLTS:RTTTTT
[2023-07-31 13:28:02],5,1,0,SLTS:RTTTTT
[2023-07-31 13:28:03],6,1,0,SLTS:RTTTTT
[2023-07-31 13:28:04],7,1,0,SLTS:RTTTTT
[2023-07-31 13:28:05],8,1,0,SLTS:RTTTTT
[2023-07-31 13:28:06],9,2,1,SLTS:HCHRTT
[2023-07-31 13:28:07],10,1,0,SLTS:RTTTTT
[2023-07-31 13:28:08],11,2,1,SLTS:CRTTTT
[2023-07-31 13:28:09],12,1,0,SLTS:RTTTTT
[2023-07-31 13:28:10],13,1,0,SLTS:RTTTTT
[2023-07-31 13:28:11],14,1,0,SLTS:RTTTTT
[2023-07-31 13:28:12],15,1,0,SLTS:RTTTTT
[2023-07-31 13:28:13],16,1,0,SLTS:RTTTTT
[2023-07-31 13:28:14],17,1,0,SLTS:RTTTTT
[2023-07-31 13:28:15],18,2,1,SLTS:CRTTTT
[2023-07-31 13:28:16],19,5,4,SLTS:CCCCHR
[2023-07-31 13:28:17],20,1,0,SLTS:RTTTTT
[2023-07-31 13:28:18],21,1,0,SLTS:RTTTTT
[2023-07-31 13:28:19],22,2,1,SLTS:CHRTTT
[2023-07-31 13:28:20],23,1,0,SLTS:RTTTTT
[2023-07-31 13:28:21],24,2,1,SLTS:CRTTTT
[2023-07-31 13:28:22],25,1,0,SLTS:HRTTTT
[2023-07-31 13:28:23],26,1,0,SLTS:RTTTTT
[2023-07-31 13:28:24],27,1,0,SLTS:HHHHHR
[2023-07-31 13:28:25],28,1,0,SLTS:RTTTTT
[2023-07-31 13:28:26],29,1,0,SLTS:RTTTTT
[2023-07-31 13:28:27],30,1,0,SLTS:RTTTTT
[2023-07-31 13:28:28],31,1,0,SLTS:RTTTTT
[2023-07-31 13:28:29],32,1,0,SLTS:RTTTTT
[2023-07-31 13:28:30],33,1,0,SLTS:RTTTTT
[2023-07-31 13:28:31],34,1,0,SLTS:RTTTTT
[2023-07-31 13:28:32],35,2,1,SLTS:CRTTTT
[2023-07-31 13:28:33],36,1,0,SLTS:RTTTTT
[2023-07-31 13:28:34],37,2,1,SLTS:CRTTTT
[2023-07-31 13:28:35],38,1,0,SLTS:RTTTTT
[2023-07-31 13:28:36],39,1,0,SLTS:RTTTTT
[2023-07-31 13:28:37],40,1,0,SLTS:RTTTTT
[2023-07-31 13:28:38],41,1,0,SLTS:HRTTTT
[2023-07-31 13:28:39],42,3,2,SLTS:CHCRTT
[2023-07-31 13:28:40],43,1,0,SLTS:RTTTTT
[2023-07-31 13:28:41],44,1,0,SLTS:RTTTTT
[2023-07-31 13:28:42],45,1,0,SLTS:RTTTTT
[2023-07-31 13:28:43],46,2,1,SLTS:HCRTTT
[2023-07-31 13:28:44],47,1,0,SLTS:RTTTTT
[2023-07-31 13:28:45],48,3,2,SLTS:CCHRTT
[2023-07-31 13:28:46],49,2,1,SLTS:CRTTTT
[2023-07-31 13:28:47],50,2,1,SLTS:CRTTTT
[2023-07-31 13:28:48],51,1,0,SLTS:RTTTTT
[2023-07-31 13:28:49],52,1,0,SLTS:RTTTTT
[2023-07-31 13:28:50],53,2,1,SLTS:CRTTTT
[2023-07-31 13:28:51],54,1,0,SLTS:RTTTTT
[2023-07-31 13:28:52],55,1,0,SLTS:RTTTTT
[2023-07-31 13:28:53],56,1,0,SLTS:HHRTTT
[2023-07-31 13:28:54],57,1,0,SLTS:RTTTTT
[2023-07-31 13:28:55],58,1,0,SLTS:RTTTTT
[2023-07-31 13:28:56],59,1,0,SLTS:RTTTTT
[2023-07-31 13:28:57],60,1,0,SLTS:RTTTTT
[2023-07-31 13:28:58],61,1,0,SLTS:RTTTTT
[2023-07-31 13:28:59],62,1,0,SLTS:HHRTTT
[2023-07-31 13:29:00],63,1,0,SLTS:RTTTTT
[2023-07-31 13:29:01],64,2,1,SLTS:CRTTTT
[2023-07-31 13:29:02],65,1,0,SLTS:RTTTTT
[2023-07-31 13:29:03],66,1,0,SLTS:RTTTTT
[2023-07-31 13:29:04],67,1,0,SLTS:RTTTTT
[2023-07-31 13:29:05],68,1,0,SLTS:RTTTTT
[2023-07-31 13:29:06],69,2,1,SLTS:CRTTTT
[2023-07-31 13:29:07],70,1,0,SLTS:RTTTTT
[2023-07-31 13:29:08],71,2,1,SLTS:CRTTTT
[2023-07-31 13:29:09],72,1,0,SLTS:HRTTTT
[2023-07-31 13:29:10],73,1,0,SLTS:RTTTTT
[2023-07-31 13:29:11],74,2,1,SLTS:CRTTTT
[2023-07-31 13:29:12],75,1,0,SLTS:RTTTTT
[2023-07-31 13:29:13],76,1,0,SLTS:RTTTTT
[2023-07-31 13:29:14],77,2,1,SLTS:CHHRTT
[2023-07-31 13:29:15],78,1,0,SLTS:RTTTTT
[2023-07-31 13:29:16],79,1,0,SLTS:RTTTTT
[2023-07-31 13:29:17],80,1,0,SLTS:RTTTTT
[2023-07-31 13:29:18],81,2,1,SLTS:CRTTTT
[2023-07-31 13:29:19],82,2,1,SLTS:CRTTTT
[2023-07-31 13:29:20],83,1,0,SLTS:RTTTTT
[2023-07-31 13:29:21],84,2,1,SLTS:HHCRTT
[2023-07-31 13:29:22],85,3,2,SLTS:CCHHRT
[2023-07-31 13:29:23],86,1,0,SLTS:RTTTTT
[2023-07-31 13:29:24],87,1,0,SLTS:HRTTTT
[2023-07-31 13:29:25],88,1,0,SLTS:RTTTTT
[2023-07-31 13:29:26],89,3,2,SLTS:CCRTTT
[2023-07-31 13:29:27],90,3,3,SLTS:HCCCHE
[2023-07-31 13:29:28],91,2,1,SLTS:CRTTTT
[2023-07-31 13:29:29],92,1,0,SLTS:HHHHHR
[2023-07-31 13:29:30],93,1,0,SLTS:RTTTTT
