TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,SLOTS
[2023-07-31 13:25:15],1,1,0,SLTS:RTTTTT
[2023-07-31 13:25:16],2,1,0,SLTS:RTTTTT
[2023-07-31 13:25:17],3,1,0,SLTS:RTTTTT
[2023-07-31 13:25:18],4,1,0,SLTS:RTTTTT
[2023-07-31 13:25:19],5,1,0,SLTS:RTTTTT
[2023-07-31 13:25:20],6,1,0,SLTS:HRTTTT
[2023-07-31 13:25:21],7,1,0,SLTS:RTTTTT
[2023-07-31 13:25:22],8,1,0,SLTS:RTTTTT
[2023-07-31 13:25:23],9,1,0,SLTS:RTTTTT
[2023-07-31 13:25:24],10,1,0,SLTS:HRTTTT
[2023-07-31 13:25:25],11,1,0,SLTS:RTTTTT
[2023-07-31 13:25:26],12,1,0,SLTS:RTTTTT
[2023-07-31 13:25:27],13,1,1,SLTS:HHHHHC
[2023-07-31 13:25:28],14,1,0,SLTS:RTTTTT
[2023-07-31 13:25:29],15,1,0,SLTS:RTTTTT
[2023-07-31 13:25:30],16,2,1,SLTS:CRTTTT
[2023-07-31 13:25:31],17,1,0,SLTS:RTTTTT
[2023-07-31 13:25:32],18,1,0,SLTS:HHRTTT
[2023-07-31 13:25:33],19,2,1,SLTS:CRTTTT
[2023-07-31 13:25:34],20,1,0,SLTS:RTTTTT
[2023-07-31 13:25:35],21,1,0,SLTS:RTTTTT
[2023-07-31 13:25:36],22,2,1,SLTS:CRTTTT
[2023-07-31 13:25:37],23,1,0,SLTS:RTTTTT
[2023-07-31 13:25:38],24,1,0,SLTS:RTTTTT
[2023-07-31 13:25:39],25,1,0,SLTS:RTTTTT
[2023-07-31 13:25:40],26,1,0,SLTS:RTTTTT
[2023-07-31 13:25:41],27,1,0,SLTS:RTTTTT
[2023-07-31 13:25:42],28,1,0,SLTS:HRTTTT
[2023-07-31 13:25:43],29,1,0,SLTS:RTTTTT
[2023-07-31 13:25:44],30,1,0,SLTS:RTTTTT
[2023-07-31 13:25:45],31,1,0,SLTS:RTTTTT
[2023-07-31 13:25:46],32,2,1,SLTS:CRTTTT
[2023-07-31 13:25:47],33,3,2,SLTS:CCRTTT
[2023-07-31 13:25:48],34,1,0,SLTS:RTTTTT
[2023-07-31 13:25:49],35,1,0,SLTS:RTTTTT
[2023-07-31 13:25:50],36,2,1,SLTS:CRTTTT
[2023-07-31 13:25:51],37,1,0,SLTS:RTTTTT
[2023-07-31 13:25:52],38,1,0,SLTS:RTTTTT
[2023-07-31 13:25:53],39,1,0,SLTS:HRTTTT
[2023-07-31 13:25:54],40,1,0,SLTS:RTTTTT
[2023-07-31 13:25:55],41,3,2,SLTS:CHCRTT
[2023-07-31 13:25:56],42,1,0,SLTS:RTTTTT
[2023-07-31 13:25:57],43,1,0,SLTS:RTTTTT
[2023-07-31 13:25:58],44,1,0,SLTS:HRTTTT
[2023-07-31 13:25:59],45,1,0,SLTS:RTTTTT
[2023-07-31 13:26:00],46,1,0,SLTS:RTTTTT
[2023-07-31 13:26:01],47,1,0,SLTS:RTTTTT
[2023-07-31 13:26:02],48,1,0,SLTS:RTTTTT
[2023-07-31 13:26:03],49,1,0,SLTS:RTTTTT
[2023-07-31 13:26:04],50,1,0,SLTS:HRTTTT
[2023-07-31 13:26:05],51,1,0,SLTS:RTTTTT
[2023-07-31 13:26:06],52,1,0,SLTS:HRTTTT
[2023-07-31 13:26:07],53,1,0,SLTS:RTTTTT
[2023-07-31 13:26:08],54,2,1,SLTS:CHRTTT
[2023-07-31 13:26:09],55,2,1,SLTS:CRTTTT
[2023-07-31 13:26:10],56,1,0,SLTS:RTTTTT
[2023-07-31 13:26:11],57,1,0,SLTS:RTTTTT
[2023-07-31 13:26:12],58,1,0,SLTS:RTTTTT
[2023-07-31 13:26:13],59,1,0,SLTS:RTTTTT
[2023-07-31 13:26:14],60,1,0,SLTS:RTTTTT
[2023-07-31 13:26:15],61,1,0,SLTS:RTTTTT
[2023-07-31 13:26:16],62,1,0,SLTS:RTTTTT
[2023-07-31 13:26:17],63,1,0,SLTS:HRTTTT
[2023-07-31 13:26:18],64,1,0,SLTS:RTTTTT
[2023-07-31 13:26:19],65,1,0,SLTS:HHHHHR
[2023-07-31 13:26:20],66,1,0,SLTS:RTTTTT
[2023-07-31 13:26:21],67,1,0,SLTS:HRTTTT
[2023-07-31 13:26:22],68,1,0,SLTS:RTTTTT
[2023-07-31 13:26:23],69,1,0,SLTS:RTTTTT
[2023-07-31 13:26:24],70,2,1,SLTS:CRTTTT
[2023-07-31 13:26:25],71,1,0,SLTS:RTTTTT
[2023-07-31 13:26:26],72,5,4,SLTS:CCCCRT
[2023-07-31 13:26:27],73,1,0,SLTS:RTTTTT
[2023-07-31 13:26:28],74,1,0,SLTS:RTTTTT
[2023-07-31 13:26:29],75,1,0,SLTS:RTTTTT
[2023-07-31 13:26:30],76,1,0,SLTS:RTTTTT
[2023-07-31 13:26:31],77,1,0,SLTS:RTTTTT
[2023-07-31 13:26:32],78,1,0,SLTS:RTTTTT
[2023-07-31 13:26:33],79,1,0,SLTS:RTTTTT
[2023-07-31 13:26:34],80,1,0,SLTS:HRTTTT
[2023-07-31 13:26:35],81,1,0,SLTS:RTTTTT
[2023-07-31 13:26:36],82,1,0,SLTS:RTTTTT
[2023-07-31 13:26:37],83,1,0,SLTS:RTTTTT
[2023-07-31 13:26:38],84,1,0,SLTS:RTTTTT
[2023-07-31 13:26:39],85,2,1,SLTS:CHHRTT
[2023-07-31 13:26:40],86,1,0,SLTS:RTTTTT
[2023-07-31 13:26:41],87,1,0,SLTS:RTTTTT
[2023-07-31 13:26:42],88,1,0,SLTS:RTTTTT
[2023-07-31 13:26:43],89,1,0,SLTS:RTTTTT
[2023-07-31 13:26:44],90,1,0,SLTS:RTTTTT
[2023-07-31 13:26:45],91,1,0,SLTS:RTTTTT
[2023-07-31 13:26:46],92,1,0,SLTS:RTTTTT
[2023-07-31 13:26:47],93,1,0,SLTS:RTTTTT
[2023-07-31 13:26:48],94,1,0,SLTS:RTTTTT
[2023-07-31 13:26:49],95,3,2,SLTS:HHCCRT
[2023-07-31 13:26:50],96,1,0,SLTS:RTTTTT
[2023-07-31 13:26:51],97,2,1,SLTS:CRTTTT
