TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SUCCESS_FLAG,ERRORS,SLOTS
[2023-07-31 13:08:56],1,1,0,0,-1,{},RTTTTT
[2023-07-31 13:08:56],2,1,0,0,-1,{},RTTTTT
[2023-07-31 13:08:57],3,1,0,0,-1,{},RTTTTT
[2023-07-31 13:08:57],4,1,0,0,-1,{},RTTTTT
[2023-07-31 13:08:58],5,1,0,0,-1,{},RTTTTT
[2023-07-31 13:08:58],6,1,0,0,-1,{},RTTTTT
[2023-07-31 13:08:59],7,1,0,0,-1,{},RTTTTT
[2023-07-31 13:09:00],8,1,0,0,-1,{},RTTTTT
[2023-07-31 13:09:01],9,1,0,0,-1,{},RTTTTT
[2023-07-31 13:09:02],10,1,0,0,-1,{},RTTTTT
[2023-07-31 13:09:03],11,1,0,0,-1,{},HRTTTT
[2023-07-31 13:09:04],12,1,0,0,-1,{},RTTTTT
[2023-07-31 13:09:05],13,1,0,0,-1,{},HHRTTT
[2023-07-31 13:09:06],14,1,0,0,-1,{},RTTTTT
[2023-07-31 13:09:07],15,1,0,0,-1,{},RTTTTT
[2023-07-31 13:09:08],16,1,0,0,-1,{},RTTTTT
[2023-07-31 13:09:09],17,1,0,0,-1,{},RTTTTT
[2023-07-31 13:09:10],18,1,0,0,-1,{},RTTTTT
[2023-07-31 13:09:11],19,3,3,3,0,{8:1;9:1;10:1;15:1;17:1;18:1;20:1;21:1;23:1;24:1;26:1;29:1;34:1;37:1;38:1;42:1;45:1;47:2;49:1;51:1;53:1;54:1;55:1;56:1;58:1;61:1;62:1;64:1;67:1;68:1;71:1;74:1;77:1;80:1;84:1;87:1;91:1;95:1;97:1;98:1;103:1;104:1;106:1;108:1;110:1;113:1;117:1;120:1;122:1;124:1;126:1;128:1;129:1;132:1;134:1;137:2;141:1;145:1;148:1;150:1;151:1;154:1;156:1;158:1;159:1;163:1;165:1;167:1;169:1;170:1;177:1;180:1;182:1;184:1;187:1;188:1;193:1;197:1;199:1;},CMCMCM
[2023-07-31 13:09:12],20,1,0,0,-1,{},RTTTTT
[2023-07-31 13:09:13],21,2,1,1,-1,{145:1;162:1;},CMRTTT
[2023-07-31 13:09:14],22,1,0,0,-1,{},RTTTTT
[2023-07-31 13:09:15],23,2,1,1,-1,{22:1;23:1;128:1;159:1;186:1;},CMRTTT
[2023-07-31 13:09:16],24,1,0,1,-1,{},RTTTTT
[2023-07-31 13:09:17],25,1,0,0,-1,{},RTTTTT
[2023-07-31 13:09:18],26,1,0,0,-1,{},RTTTTT
[2023-07-31 13:09:19],27,1,0,0,-1,{},RTTTTT
[2023-07-31 13:09:20],28,1,0,0,-1,{},RTTTTT
[2023-07-31 13:09:21],29,1,0,0,-1,{},RTTTTT
[2023-07-31 13:09:22],30,2,1,1,-1,{11:1;135:1;},CMRTTT
[2023-07-31 13:09:23],31,1,0,0,-1,{},RTTTTT
[2023-07-31 13:09:24],32,1,0,0,-1,{},RTTTTT
[2023-07-31 13:09:25],33,1,0,0,-1,{},RTTTTT
[2023-07-31 13:09:26],34,1,0,0,-1,{},RTTTTT
[2023-07-31 13:09:27],35,1,0,0,-1,{},HRTTTT
[2023-07-31 13:09:28],36,2,1,1,-1,{171:1;176:1;},CMRTTT
[2023-07-31 13:09:29],37,1,0,0,-1,{},HHHRTT
[2023-07-31 13:09:30],38,1,0,0,-1,{},RTTTTT
