TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,SLOTS
[2023-07-31 13:56:55],2,2,1,SLTS:...RTT
[2023-07-31 13:56:55],3,1,0,SLTS:RTTTTT
[2023-07-31 13:56:55],4,1,0,SLTS:RTTTTT
[2023-07-31 13:56:56],5,1,0,SLTS:HHHHHR
[2023-07-31 13:56:56],6,1,0,SLTS:RTTTTT
[2023-07-31 13:56:57],7,1,0,SLTS:HRTTTT
[2023-07-31 13:56:58],8,1,0,SLTS:RTTTTT
[2023-07-31 13:56:59],9,1,0,SLTS:RTTTTT
[2023-07-31 13:57:00],10,1,0,SLTS:RTTTTT
[2023-07-31 13:57:01],11,1,0,SLTS:RTTTTT
[2023-07-31 13:57:02],12,1,0,SLTS:RTTTTT
[2023-07-31 13:57:03],13,1,0,SLTS:RTTTTT
[2023-07-31 13:57:04],14,2,1,SLTS:HHHCHR
[2023-07-31 13:57:05],15,1,0,SLTS:RTTTTT
[2023-07-31 13:57:06],16,2,1,SLTS:CRTTTT
[2023-07-31 13:57:07],17,1,0,SLTS:HRTTTT
[2023-07-31 13:57:08],18,2,1,SLTS:CRTTTT
[2023-07-31 13:57:09],19,2,1,SLTS:CRTTTT
[2023-07-31 13:57:10],20,1,0,SLTS:RTTTTT
[2023-07-31 13:57:11],21,1,0,SLTS:RTTTTT
[2023-07-31 13:57:12],22,1,0,SLTS:RTTTTT
[2023-07-31 13:57:13],23,2,1,SLTS:CRTTTT
[2023-07-31 13:57:14],24,1,0,SLTS:RTTTTT
[2023-07-31 13:57:15],25,1,0,SLTS:RTTTTT
[2023-07-31 13:57:16],26,2,1,SLTS:CRTTTT
[2023-07-31 13:57:17],27,1,0,SLTS:RTTTTT
[2023-07-31 13:57:18],28,3,2,SLTS:CHCRTT
[2023-07-31 13:57:19],29,1,0,SLTS:RTTTTT
[2023-07-31 13:57:20],30,1,0,SLTS:RTTTTT
[2023-07-31 13:57:21],31,1,0,SLTS:RTTTTT
[2023-07-31 13:57:22],32,1,0,SLTS:RTTTTT
[2023-07-31 13:57:23],33,4,3,SLTS:CHCCRT
[2023-07-31 13:57:24],34,1,0,SLTS:RTTTTT
[2023-07-31 13:57:25],35,2,1,SLTS:HCRTTT
[2023-07-31 13:57:26],36,4,3,SLTS:CCCRTT
[2023-07-31 13:57:27],37,1,0,SLTS:RTTTTT
[2023-07-31 13:57:28],38,3,2,SLTS:HCCRTT
[2023-07-31 13:57:29],39,1,0,SLTS:RTTTTT
[2023-07-31 13:57:30],40,2,1,SLTS:CRTTTT
[2023-07-31 13:57:31],41,3,2,SLTS:CCRTTT
[2023-07-31 13:57:32],42,1,0,SLTS:RTTTTT
[2023-07-31 13:57:33],43,1,0,SLTS:RTTTTT
[2023-07-31 13:57:34],44,0,0,SLTS:HHHHHE
[2023-07-31 13:57:35],45,2,1,SLTS:CRTTTT
[2023-07-31 13:57:36],46,1,0,SLTS:RTTTTT
[2023-07-31 13:57:37],47,2,1,SLTS:HCHRTT
[2023-07-31 13:57:38],48,4,3,SLTS:CCCRTT
[2023-07-31 13:57:39],49,1,0,SLTS:RTTTTT
[2023-07-31 13:57:40],50,1,0,SLTS:RTTTTT
[2023-07-31 13:57:41],51,3,2,SLTS:CCRTTT
[2023-07-31 13:57:42],52,2,1,SLTS:CRTTTT
[2023-07-31 13:57:43],53,2,1,SLTS:CHRTTT
[2023-07-31 13:57:44],54,2,1,SLTS:CRTTTT
[2023-07-31 13:57:45],55,1,0,SLTS:HRTTTT
[2023-07-31 13:57:46],56,1,0,SLTS:RTTTTT
[2023-07-31 13:57:47],57,4,3,SLTS:CCCHRT
[2023-07-31 13:57:48],58,2,1,SLTS:CRTTTT
[2023-07-31 13:57:49],59,3,2,SLTS:CCRTTT
[2023-07-31 13:57:50],60,2,1,SLTS:CRTTTT
[2023-07-31 13:57:51],61,1,0,SLTS:RTTTTT
[2023-07-31 13:57:52],62,2,1,SLTS:CRTTTT
[2023-07-31 13:57:53],63,1,0,SLTS:HRTTTT
[2023-07-31 13:57:54],64,1,0,SLTS:RTTTTT
[2023-07-31 13:57:55],65,2,1,SLTS:CRTTTT
[2023-07-31 13:57:56],66,2,1,SLTS:CRTTTT
[2023-07-31 13:57:57],67,1,0,SLTS:RTTTTT
[2023-07-31 13:57:58],68,3,2,SLTS:CCHHHR
[2023-07-31 13:57:59],69,2,1,SLTS:CRTTTT
[2023-07-31 13:58:00],70,1,0,SLTS:RTTTTT
[2023-07-31 13:58:01],71,1,0,SLTS:HRTTTT
[2023-07-31 13:58:02],72,4,3,SLTS:CCCRTT
[2023-07-31 13:58:03],73,1,0,SLTS:RTTTTT
[2023-07-31 13:58:04],74,1,0,SLTS:RTTTTT
[2023-07-31 13:58:05],75,2,1,SLTS:HHCRTT
[2023-07-31 13:58:06],76,3,2,SLTS:CCRTTT
[2023-07-31 13:58:07],77,1,0,SLTS:RTTTTT
[2023-07-31 13:58:08],78,1,0,SLTS:RTTTTT
[2023-07-31 13:58:09],79,2,1,SLTS:CRTTTT
[2023-07-31 13:58:10],80,2,1,SLTS:CRTTTT
[2023-07-31 13:58:11],81,1,0,SLTS:RTTTTT
