TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,SLOTS
[2023-07-31 15:42:42],2,1,0,SLTS:RTTTTT
[2023-07-31 15:42:43],3,1,0,SLTS:HHHRTT
[2023-07-31 15:42:44],4,1,0,SLTS:RTTTTT
[2023-07-31 15:42:45],5,1,0,SLTS:RTTTTT
[2023-07-31 15:42:46],6,1,0,SLTS:RTTTTT
[2023-07-31 15:42:47],7,1,0,SLTS:RTTTTT
[2023-07-31 15:42:48],8,1,0,SLTS:RTTTTT
[2023-07-31 15:42:49],9,1,0,SLTS:RTTTTT
[2023-07-31 15:42:50],10,1,0,SLTS:RTTTTT
[2023-07-31 15:42:51],11,4,4,SLTS:CHCCCE
[2023-07-31 15:42:52],12,2,1,SLTS:CRTTTT
[2023-07-31 15:42:53],13,2,1,SLTS:CRTTTT
[2023-07-31 15:42:54],14,1,0,SLTS:RTTTTT
[2023-07-31 15:42:55],15,5,5,SLTS:CCHCCC
[2023-07-31 15:42:56],16,1,0,SLTS:RTTTTT
[2023-07-31 15:42:57],17,1,0,SLTS:HRTTTT
[2023-07-31 15:42:58],18,2,1,SLTS:CRTTTT
[2023-07-31 15:42:59],19,1,0,SLTS:RTTTTT
[2023-07-31 15:43:00],20,2,1,SLTS:CHRTTT
[2023-07-31 15:43:01],21,2,1,SLTS:CRTTTT
[2023-07-31 15:43:02],22,2,1,SLTS:CRTTTT
[2023-07-31 15:43:03],23,1,0,SLTS:RTTTTT
[2023-07-31 15:43:04],24,2,1,SLTS:CRTTTT
[2023-07-31 15:43:05],25,1,0,SLTS:HHRTTT
[2023-07-31 15:43:06],26,4,4,SLTS:CCHCHC
[2023-07-31 15:43:07],27,2,1,SLTS:CRTTTT
[2023-07-31 15:43:08],28,4,4,SLTS:CHCHCC
[2023-07-31 15:43:09],29,2,1,SLTS:CHRTTT
[2023-07-31 15:43:10],30,1,0,SLTS:RTTTTT
[2023-07-31 15:43:11],31,1,0,SLTS:RTTTTT
[2023-07-31 15:43:12],32,4,4,SLTS:CHCCCE
[2023-07-31 15:43:13],33,1,0,SLTS:RTTTTT
[2023-07-31 15:43:14],34,1,0,SLTS:RTTTTT
[2023-07-31 15:43:15],35,1,0,SLTS:RTTTTT
[2023-07-31 15:43:16],36,1,0,SLTS:RTTTTT
[2023-07-31 15:43:17],37,1,0,SLTS:RTTTTT
[2023-07-31 15:43:18],38,1,0,SLTS:RTTTTT
[2023-07-31 15:43:19],39,1,0,SLTS:RTTTTT
[2023-07-31 15:43:20],40,1,0,SLTS:RTTTTT
[2023-07-31 15:43:21],41,1,0,SLTS:RTTTTT
[2023-07-31 15:43:22],42,1,0,SLTS:RTTTTT
[2023-07-31 15:43:23],43,1,0,SLTS:HRTTTT
[2023-07-31 15:43:24],44,1,0,SLTS:RTTTTT
[2023-07-31 15:43:25],45,1,0,SLTS:HHRTTT
[2023-07-31 15:43:26],46,1,0,SLTS:RTTTTT
[2023-07-31 15:43:27],47,1,0,SLTS:RTTTTT
[2023-07-31 15:43:28],48,1,0,SLTS:RTTTTT
[2023-07-31 15:43:29],49,1,0,SLTS:RTTTTT
[2023-07-31 15:43:30],50,1,0,SLTS:RTTTTT
[2023-07-31 15:43:31],51,1,0,SLTS:RTTTTT
[2023-07-31 15:43:32],52,1,0,SLTS:HHHHRT
[2023-07-31 15:43:33],53,1,0,SLTS:RTTTTT
[2023-07-31 15:43:34],54,1,0,SLTS:RTTTTT
[2023-07-31 15:43:35],55,1,0,SLTS:RTTTTT
[2023-07-31 15:43:36],56,1,0,SLTS:RTTTTT
[2023-07-31 15:43:37],57,1,0,SLTS:RTTTTT
[2023-07-31 15:43:38],58,1,0,SLTS:RTTTTT
[2023-07-31 15:43:39],59,1,0,SLTS:RTTTTT
[2023-07-31 15:43:40],60,1,0,SLTS:RTTTTT
[2023-07-31 15:43:41],61,1,0,SLTS:HRTTTT
[2023-07-31 15:43:42],62,4,4,SLTS:CCHCHC
[2023-07-31 15:43:43],63,1,0,SLTS:RTTTTT
[2023-07-31 15:43:44],64,1,0,SLTS:RTTTTT
[2023-07-31 15:43:45],65,1,0,SLTS:RTTTTT
[2023-07-31 15:43:46],66,3,2,SLTS:HCCRTT
[2023-07-31 15:43:47],67,1,0,SLTS:HHHRTT
[2023-07-31 15:43:48],68,1,0,SLTS:RTTTTT
[2023-07-31 15:43:49],69,1,0,SLTS:HRTTTT
[2023-07-31 15:43:50],70,1,0,SLTS:RTTTTT
[2023-07-31 15:43:51],71,1,0,SLTS:HRTTTT
[2023-07-31 15:43:52],72,1,0,SLTS:RTTTTT
[2023-07-31 15:43:53],73,1,0,SLTS:HHRTTT
[2023-07-31 15:43:54],74,1,0,SLTS:RTTTTT
[2023-07-31 15:43:55],75,4,4,SLTS:CHHCCC
[2023-07-31 15:43:56],76,1,0,SLTS:RTTTTT
[2023-07-31 15:43:57],77,1,0,SLTS:HRTTTT
[2023-07-31 15:43:58],78,2,1,SLTS:CHRTTT
[2023-07-31 15:43:59],79,1,0,SLTS:RTTTTT
[2023-07-31 15:44:00],80,1,0,SLTS:RTTTTT
[2023-07-31 15:44:01],81,1,0,SLTS:RTTTTT
[2023-07-31 15:44:02],82,1,0,SLTS:RTTTTT
[2023-07-31 15:44:03],83,1,0,SLTS:RTTTTT
[2023-07-31 15:44:04],84,1,0,SLTS:RTTTTT
[2023-07-31 15:44:05],85,1,0,SLTS:RTTTTT
[2023-07-31 15:44:06],86,1,0,SLTS:RTTTTT
[2023-07-31 15:44:07],87,1,0,SLTS:RTTTTT
[2023-07-31 15:44:08],88,1,0,SLTS:RTTTTT
[2023-07-31 15:44:09],89,1,0,SLTS:RTTTTT
[2023-07-31 15:44:10],90,1,0,SLTS:RTTTTT
[2023-07-31 15:44:11],91,1,0,SLTS:RTTTTT
[2023-07-31 15:44:12],92,1,0,SLTS:RTTTTT
[2023-07-31 15:44:13],93,1,0,SLTS:RTTTTT
[2023-07-31 15:44:14],94,1,0,SLTS:RTTTTT
[2023-07-31 15:44:15],95,1,0,SLTS:RTTTTT
[2023-07-31 15:44:16],96,1,0,SLTS:RTTTTT
[2023-07-31 15:44:17],97,1,0,SLTS:RTTTTT
[2023-07-31 15:44:18],98,1,0,SLTS:RTTTTT
[2023-07-31 15:44:19],99,1,0,SLTS:RTTTTT
[2023-07-31 15:44:20],100,2,1,SLTS:CRTTTT
[2023-07-31 15:44:21],101,4,4,SLTS:CHCCHC
[2023-07-31 15:44:22],102,1,0,SLTS:RTTTTT
[2023-07-31 15:44:23],103,4,4,SLTS:CHCCCE
[2023-07-31 15:44:24],104,1,0,SLTS:RTTTTT
[2023-07-31 15:44:25],105,1,0,SLTS:RTTTTT
[2023-07-31 15:44:26],106,4,4,SLTS:CHCHCC
[2023-07-31 15:44:27],107,1,0,SLTS:RTTTTT
[2023-07-31 15:44:28],108,1,0,SLTS:RTTTTT
[2023-07-31 15:44:29],109,1,0,SLTS:RTTTTT
[2023-07-31 15:44:30],110,1,0,SLTS:RTTTTT
[2023-07-31 15:44:31],111,1,0,SLTS:RTTTTT
