TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SUCCESS_FLAG,ERRORS,SLOTS
[2023-07-31 12:42:48],1,1,0,0,-1,{},.RTTTT
[2023-07-31 12:42:49],2,1,0,0,-1,{},RTTTTT
[2023-07-31 12:42:50],3,1,0,0,-1,{},RTTTTT
[2023-07-31 12:42:51],4,1,0,0,-1,{},RTTTTT
[2023-07-31 12:42:52],5,1,0,0,-1,{},RTTTTT
[2023-07-31 12:42:53],6,1,0,0,-1,{},RTTTTT
[2023-07-31 12:42:54],7,1,0,0,-1,{},RTTTTT
[2023-07-31 12:42:55],8,1,0,0,-1,{},RTTTTT
[2023-07-31 12:42:56],9,1,0,0,-1,{},RTTTTT
[2023-07-31 12:42:57],10,1,0,0,-1,{},RTTTTT
[2023-07-31 12:42:58],11,1,0,0,-1,{},RTTTTT
[2023-07-31 12:42:59],12,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:00],13,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:01],14,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:02],15,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:03],16,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:04],17,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:05],18,3,2,2,-1,{17:1;26:1;27:1;35:1;36:1;40:1;64:1;76:1;85:1;86:1;90:1;91:1;97:1;99:1;100:1;106:1;111:1;120:1;121:1;129:1;135:1;},CCHRTT
[2023-07-31 12:43:06],19,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:07],20,1,0,0,-1,{},HRTTTT
[2023-07-31 12:43:08],21,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:09],22,1,0,0,-1,{},HRTTTT
[2023-07-31 12:43:10],23,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:11],24,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:12],25,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:13],26,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:14],27,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:15],28,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:16],29,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:17],30,2,1,1,-1,{40:1;41:1;42:1;44:1;46:1;48:1;51:1;52:1;56:1;58:1;64:1;65:1;67:1;69:1;70:1;73:1;80:1;81:1;84:1;89:1;93:1;97:1;99:1;104:1;105:1;107:1;109:1;111:1;112:1;114:1;118:1;119:1;122:1;123:1;126:1;127:1;130:1;131:1;132:1;134:1;},CEHRTT
[2023-07-31 12:43:18],31,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:19],32,2,1,1,-1,{12:1;30:1;},CHHRTT
[2023-07-31 12:43:20],33,1,0,1,-1,{},RTTTTT
[2023-07-31 12:43:21],34,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:22],35,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:23],36,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:24],37,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:25],38,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:26],39,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:27],40,1,0,0,-1,{},HRTTTT
[2023-07-31 12:43:28],41,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:29],42,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:30],43,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:31],44,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:32],45,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:33],46,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:34],47,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:35],48,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:36],49,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:37],50,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:38],51,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:39],52,1,0,0,-1,{},HRTTTT
[2023-07-31 12:43:40],53,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:41],54,1,1,1,-1,{16:1;19:1;22:1;23:1;24:1;25:1;27:1;28:1;29:1;30:1;31:1;32:1;33:1;35:1;36:1;40:1;41:1;42:1;43:1;46:1;48:1;51:1;52:1;57:1;58:1;59:1;64:1;66:1;67:1;71:1;72:1;73:1;74:1;79:1;81:1;84:1;88:1;91:1;92:1;94:1;96:1;97:1;100:1;104:1;107:1;108:1;109:1;111:1;112:1;113:1;114:1;115:1;118:1;119:1;120:1;121:1;123:1;126:1;127:1;128:1;130:1;132:1;135:1;},CEHHHE
[2023-07-31 12:43:42],55,1,0,1,-1,{},RTTTTT
[2023-07-31 12:43:43],56,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:44],57,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:45],58,1,0,0,-1,{},HRTTTT
[2023-07-31 12:43:46],59,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:47],60,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:48],61,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:49],62,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:50],63,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:51],64,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:52],65,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:53],66,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:54],67,2,1,1,-1,{9:1;10:1;15:1;17:1;18:1;20:1;21:1;25:1;26:1;28:1;30:1;34:1;38:1;39:1;42:1;44:1;45:1;47:1;49:1;53:1;55:1;56:1;58:1;59:1;62:1;64:1;66:1;67:1;72:1;76:1;77:1;82:1;83:1;85:1;87:1;88:1;89:1;91:1;94:1;95:1;97:1;100:1;102:1;103:1;107:1;108:1;109:1;111:1;115:1;116:1;123:1;128:1;130:1;131:1;134:1;},CEHRTT
[2023-07-31 12:43:55],68,1,0,1,-1,{},RTTTTT
[2023-07-31 12:43:56],69,1,0,1,-1,{},RTTTTT
[2023-07-31 12:43:57],70,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:58],71,1,0,0,-1,{},RTTTTT
[2023-07-31 12:43:59],72,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:00],73,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:01],74,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:02],75,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:03],76,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:04],77,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:05],78,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:06],79,0,0,0,-1,{},HHHHHE
[2023-07-31 12:44:07],80,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:08],81,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:09],82,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:10],83,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:11],84,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:12],85,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:13],86,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:14],87,1,0,0,-1,{},HRTTTT
[2023-07-31 12:44:15],88,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:16],89,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:17],90,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:18],91,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:19],92,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:20],93,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:21],94,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:22],95,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:23],96,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:24],97,1,0,0,-1,{},HRTTTT
[2023-07-31 12:44:25],98,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:26],99,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:27],100,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:28],101,0,0,0,-1,{},HHHHHE
[2023-07-31 12:44:29],102,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:30],103,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:31],104,2,1,1,-1,{41:1;42:1;43:1;48:1;55:1;56:1;57:1;58:1;60:1;61:1;62:1;63:1;68:1;71:1;76:1;77:1;83:1;85:1;87:1;91:1;92:1;93:1;94:1;96:1;98:1;100:1;102:1;105:1;106:1;110:1;112:1;115:1;116:1;121:1;129:1;130:1;},CERTTT
[2023-07-31 12:44:32],105,1,0,1,-1,{},RTTTTT
[2023-07-31 12:44:33],106,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:34],107,1,0,0,-1,{},HRTTTT
[2023-07-31 12:44:35],108,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:36],109,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:37],110,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:38],111,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:39],112,2,1,1,-1,{27:1;},CRTTTT
[2023-07-31 12:44:40],113,1,0,1,-1,{},RTTTTT
[2023-07-31 12:44:41],114,0,0,1,-1,{},HHHHHE
[2023-07-31 12:44:42],115,1,0,1,-1,{},HRTTTT
[2023-07-31 12:44:43],116,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:44],117,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:45],118,2,1,1,-1,{104:1;105:1;},CRTTTT
[2023-07-31 12:44:46],119,1,0,1,-1,{},RTTTTT
[2023-07-31 12:44:47],120,1,0,1,-1,{},RTTTTT
[2023-07-31 12:44:48],121,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:49],122,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:50],123,1,1,1,-1,{8:1;10:1;17:1;18:1;20:1;21:1;25:1;26:1;30:1;34:1;37:1;39:1;41:1;43:1;47:1;49:1;50:1;53:1;55:1;56:1;57:1;60:1;65:1;68:1;70:1;72:1;74:1;79:1;80:1;83:1;85:1;91:1;92:1;94:1;96:1;97:1;98:1;100:1;101:1;104:1;107:1;108:1;110:1;112:1;114:1;116:1;119:1;124:1;126:1;129:1;131:1;134:1;135:1;},HHHCEE
[2023-07-31 12:44:51],124,1,0,1,-1,{},RTTTTT
[2023-07-31 12:44:52],125,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:53],126,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:54],127,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:55],128,1,0,0,-1,{},RTTTTT
[2023-07-31 12:44:56],129,1,0,0,-1,{},RTTTTT
