TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,SLOTS
[2023-08-07 14:02:56],2,1,0,SLTS:RTTTTT
[2023-08-07 14:02:57],3,1,0,SLTS:RTTTTT
[2023-08-07 14:02:57],4,5,4,SLTS:CCCCRT
[2023-08-07 14:02:57],5,1,0,SLTS:RTTTTT
[2023-08-07 14:02:58],6,1,0,SLTS:RTTTTT
[2023-08-07 14:02:59],7,6,6,SLTS:CCCCCC
[2023-08-07 14:03:00],8,2,1,SLTS:CRTTTT
[2023-08-07 14:03:01],9,3,2,SLTS:CCRTTT
[2023-08-07 14:03:02],10,6,5,SLTS:CCCCCR
[2023-08-07 14:03:03],11,2,1,SLTS:CRTTTT
[2023-08-07 14:03:04],12,1,0,SLTS:RTTTTT
[2023-08-07 14:03:05],13,1,0,SLTS:RTTTTT
[2023-08-07 14:03:06],14,2,1,SLTS:CRTTTT
[2023-08-07 14:03:07],15,1,0,SLTS:RTTTTT
[2023-08-07 14:03:08],16,1,0,SLTS:RTTTTT
[2023-08-07 14:03:09],17,5,4,SLTS:CCCCRT
[2023-08-07 14:03:10],18,1,0,SLTS:RTTTTT
[2023-08-07 14:03:11],19,3,2,SLTS:CCRTTT
[2023-08-07 14:03:12],20,1,0,SLTS:RTTTTT
[2023-08-07 14:03:13],21,1,0,SLTS:RTTTTT
[2023-08-07 14:03:14],22,1,0,SLTS:RTTTTT
[2023-08-07 14:03:15],23,2,1,SLTS:CRTTTT
[2023-08-07 14:03:16],24,2,1,SLTS:CRTTTT
[2023-08-07 14:03:17],25,1,0,SLTS:RTTTTT
[2023-08-07 14:03:18],26,3,2,SLTS:CCRTTT
[2023-08-07 14:03:19],27,2,1,SLTS:HCRTTT
[2023-08-07 14:03:20],28,1,0,SLTS:RTTTTT
[2023-08-07 14:03:21],29,1,0,SLTS:RTTTTT
[2023-08-07 14:03:22],30,1,0,SLTS:RTTTTT
[2023-08-07 14:03:23],31,4,3,SLTS:CCCRTT
[2023-08-07 14:03:24],32,1,0,SLTS:RTTTTT
[2023-08-07 14:03:25],33,6,6,SLTS:CCCCCC
[2023-08-07 14:03:26],34,2,1,SLTS:CRTTTT
[2023-08-07 14:03:27],35,2,1,SLTS:CRTTTT
[2023-08-07 14:03:28],36,3,2,SLTS:CCRTTT
[2023-08-07 14:03:29],37,2,1,SLTS:CRTTTT
[2023-08-07 14:03:30],38,6,6,SLTS:CCCCCC
[2023-08-07 14:03:31],39,4,3,SLTS:CCCRTT
[2023-08-07 14:03:32],40,6,6,SLTS:CCCCCC
[2023-08-07 14:03:33],41,6,5,SLTS:CCCCCR
[2023-08-07 14:03:34],42,5,4,SLTS:CCCCRT
[2023-08-07 14:03:35],43,1,0,SLTS:RTTTTT
[2023-08-07 14:03:36],44,6,6,SLTS:CCCCCC
[2023-08-07 14:03:37],45,6,6,SLTS:CCCCCC
[2023-08-07 14:03:38],46,6,6,SLTS:CCCCCC
[2023-08-07 14:03:39],47,2,1,SLTS:CRTTTT
[2023-08-07 14:03:40],48,1,0,SLTS:RTTTTT
[2023-08-07 14:03:41],49,2,1,SLTS:CRTTTT
[2023-08-07 14:03:42],50,2,1,SLTS:CHHRTT
[2023-08-07 14:03:43],51,3,2,SLTS:CCRTTT
[2023-08-07 14:03:44],52,6,6,SLTS:CCCCCC
[2023-08-07 14:03:45],53,4,3,SLTS:CCCRTT
[2023-08-07 14:03:46],54,1,0,SLTS:RTTTTT
[2023-08-07 14:03:47],55,3,2,SLTS:CCRTTT
[2023-08-07 14:03:48],56,3,2,SLTS:CCRTTT
[2023-08-07 14:03:49],57,2,1,SLTS:CRTTTT
[2023-08-07 14:03:50],58,3,2,SLTS:CCRTTT
[2023-08-07 14:03:51],59,5,4,SLTS:CCCCRT
[2023-08-07 14:03:52],60,1,0,SLTS:RTTTTT
[2023-08-07 14:03:53],61,3,2,SLTS:CCRTTT
[2023-08-07 14:03:54],62,1,0,SLTS:RTTTTT
[2023-08-07 14:03:55],63,1,0,SLTS:RTTTTT
[2023-08-07 14:03:56],64,3,2,SLTS:CCRTTT
[2023-08-07 14:03:57],65,5,5,SLTS:CCCHCC
[2023-08-07 14:03:58],66,2,1,SLTS:CRTTTT
[2023-08-07 14:03:59],67,2,1,SLTS:CRTTTT
