TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,SLOTS
[2023-08-07 13:59:03],2,1,0,SLTS:RTTTTT
[2023-08-07 13:59:03],3,1,0,SLTS:RTTTTT
[2023-08-07 13:59:04],4,1,0,SLTS:RTTTTT
[2023-08-07 13:59:04],5,1,0,SLTS:RTTTTT
[2023-08-07 13:59:05],6,1,0,SLTS:RTTTTT
[2023-08-07 13:59:05],7,2,1,SLTS:CRTTTT
[2023-08-07 13:59:06],8,1,0,SLTS:RTTTTT
[2023-08-07 13:59:06],9,1,0,SLTS:RTTTTT
[2023-08-07 13:59:06],10,1,0,SLTS:RTTTTT
[2023-08-07 13:59:07],11,1,0,SLTS:RTTTTT
[2023-08-07 13:59:07],12,1,0,SLTS:RTTTTT
[2023-08-07 13:59:08],13,1,0,SLTS:RTTTTT
[2023-08-07 13:59:08],14,1,0,SLTS:RTTTTT
[2023-08-07 13:59:09],15,1,0,SLTS:RTTTTT
[2023-08-07 13:59:09],16,1,0,SLTS:RTTTTT
[2023-08-07 13:59:09],17,1,0,SLTS:RTTTTT
[2023-08-07 13:59:10],18,1,0,SLTS:RTTTTT
[2023-08-07 13:59:10],19,1,0,SLTS:RTTTTT
[2023-08-07 13:59:11],20,1,0,SLTS:RTTTTT
[2023-08-07 13:59:11],21,1,0,SLTS:RTTTTT
[2023-08-07 13:59:12],22,1,0,SLTS:RTTTTT
[2023-08-07 13:59:12],23,1,0,SLTS:RTTTTT
[2023-08-07 13:59:12],24,1,0,SLTS:RTTTTT
[2023-08-07 13:59:13],25,2,1,SLTS:CRTTTT
[2023-08-07 13:59:13],26,1,0,SLTS:RTTTTT
[2023-08-07 13:59:14],27,1,0,SLTS:RTTTTT
[2023-08-07 13:59:14],28,1,0,SLTS:RTTTTT
[2023-08-07 13:59:15],29,1,0,SLTS:RTTTTT
[2023-08-07 13:59:15],30,1,0,SLTS:RTTTTT
[2023-08-07 13:59:15],31,1,0,SLTS:RTTTTT
[2023-08-07 13:59:16],32,1,0,SLTS:RTTTTT
[2023-08-07 13:59:16],33,1,0,SLTS:RTTTTT
[2023-08-07 13:59:17],34,1,0,SLTS:RTTTTT
[2023-08-07 13:59:17],35,1,0,SLTS:RTTTTT
[2023-08-07 13:59:18],36,1,0,SLTS:RTTTTT
[2023-08-07 13:59:18],37,1,0,SLTS:RTTTTT
[2023-08-07 13:59:18],38,1,0,SLTS:RTTTTT
[2023-08-07 13:59:19],39,1,0,SLTS:RTTTTT
[2023-08-07 13:59:19],40,1,0,SLTS:RTTTTT
[2023-08-07 13:59:20],41,1,0,SLTS:RTTTTT
[2023-08-07 13:59:20],42,1,0,SLTS:RTTTTT
[2023-08-07 13:59:21],43,1,0,SLTS:RTTTTT
[2023-08-07 13:59:21],44,1,0,SLTS:RTTTTT
[2023-08-07 13:59:21],45,1,0,SLTS:RTTTTT
[2023-08-07 13:59:22],46,1,0,SLTS:RTTTTT
[2023-08-07 13:59:22],47,2,1,SLTS:CRTTTT
[2023-08-07 13:59:23],48,1,0,SLTS:RTTTTT
[2023-08-07 13:59:23],49,1,0,SLTS:RTTTTT
[2023-08-07 13:59:24],50,1,0,SLTS:RTTTTT
[2023-08-07 13:59:25],51,1,0,SLTS:RTTTTT
[2023-08-07 13:59:26],52,1,0,SLTS:RTTTTT
[2023-08-07 13:59:27],53,1,0,SLTS:RTTTTT
[2023-08-07 13:59:28],54,1,0,SLTS:RTTTTT
[2023-08-07 13:59:29],55,1,0,SLTS:RTTTTT
[2023-08-07 13:59:30],56,2,1,SLTS:CRTTTT
[2023-08-07 13:59:31],57,1,0,SLTS:RTTTTT
[2023-08-07 13:59:32],58,1,0,SLTS:RTTTTT
[2023-08-07 13:59:33],59,1,0,SLTS:RTTTTT
[2023-08-07 13:59:34],60,1,0,SLTS:RTTTTT
[2023-08-07 13:59:35],61,1,0,SLTS:RTTTTT
[2023-08-07 13:59:36],62,1,0,SLTS:RTTTTT
[2023-08-07 13:59:37],63,1,0,SLTS:RTTTTT
[2023-08-07 13:59:38],64,1,0,SLTS:RTTTTT
[2023-08-07 13:59:39],65,2,1,SLTS:CRTTTT
[2023-08-07 13:59:40],66,1,0,SLTS:RTTTTT
[2023-08-07 13:59:41],67,1,0,SLTS:RTTTTT
[2023-08-07 13:59:42],68,1,0,SLTS:RTTTTT
[2023-08-07 13:59:43],69,1,0,SLTS:RTTTTT
[2023-08-07 13:59:44],70,1,0,SLTS:RTTTTT
[2023-08-07 13:59:45],71,1,0,SLTS:RTTTTT
