TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,SLOTS
[2023-08-07 13:36:25],1,1,0,SLTS:RTTTTT
[2023-08-07 13:36:26],2,2,1,SLTS:HCRTTT
[2023-08-07 13:36:27],3,1,0,SLTS:RTTTTT
[2023-08-07 13:36:28],4,1,0,SLTS:RTTTTT
[2023-08-07 13:36:29],5,2,1,SLTS:CRTTTT
[2023-08-07 13:36:30],6,1,0,SLTS:RTTTTT
[2023-08-07 13:36:31],7,1,0,SLTS:RTTTTT
[2023-08-07 13:36:32],8,1,0,SLTS:RTTTTT
[2023-08-07 13:36:33],9,4,3,SLTS:CCCHRT
[2023-08-07 13:36:34],10,1,0,SLTS:RTTTTT
[2023-08-07 13:36:35],11,1,0,SLTS:RTTTTT
[2023-08-07 13:36:36],12,1,0,SLTS:RTTTTT
[2023-08-07 13:36:37],13,2,1,SLTS:CRTTTT
[2023-08-07 13:36:38],14,1,0,SLTS:RTTTTT
[2023-08-07 13:36:39],15,1,0,SLTS:RTTTTT
[2023-08-07 13:36:40],16,1,0,SLTS:RTTTTT
[2023-08-07 13:36:41],17,1,0,SLTS:RTTTTT
[2023-08-07 13:36:42],18,1,0,SLTS:RTTTTT
[2023-08-07 13:36:43],19,2,1,SLTS:CRTTTT
[2023-08-07 13:36:44],20,1,0,SLTS:RTTTTT
[2023-08-07 13:36:45],21,1,0,SLTS:RTTTTT
[2023-08-07 13:36:46],22,1,0,SLTS:RTTTTT
[2023-08-07 13:36:47],23,1,0,SLTS:RTTTTT
[2023-08-07 13:36:48],24,1,0,SLTS:RTTTTT
[2023-08-07 13:36:49],25,2,1,SLTS:CRTTTT
[2023-08-07 13:36:50],26,1,0,SLTS:RTTTTT
[2023-08-07 13:36:51],27,1,0,SLTS:HRTTTT
[2023-08-07 13:36:52],28,2,1,SLTS:CRTTTT
[2023-08-07 13:36:53],29,1,0,SLTS:RTTTTT
[2023-08-07 13:36:54],30,2,1,SLTS:CRTTTT
[2023-08-07 13:36:55],31,2,1,SLTS:CRTTTT
[2023-08-07 13:36:56],32,1,0,SLTS:RTTTTT
[2023-08-07 13:36:57],33,2,1,SLTS:CRTTTT
[2023-08-07 13:36:58],34,1,0,SLTS:HRTTTT
[2023-08-07 13:36:59],35,6,5,SLTS:CCCCCR
[2023-08-07 13:37:00],36,1,0,SLTS:RTTTTT
[2023-08-07 13:37:01],37,2,1,SLTS:CRTTTT
[2023-08-07 13:37:02],38,1,0,SLTS:RTTTTT
[2023-08-07 13:37:03],39,1,0,SLTS:RTTTTT
[2023-08-07 13:37:04],40,1,0,SLTS:HRTTTT
[2023-08-07 13:37:05],41,1,0,SLTS:RTTTTT
[2023-08-07 13:37:06],42,1,0,SLTS:RTTTTT
[2023-08-07 13:37:07],43,1,0,SLTS:RTTTTT
[2023-08-07 13:37:08],44,1,0,SLTS:RTTTTT
[2023-08-07 13:37:09],45,2,1,SLTS:CRTTTT
[2023-08-07 13:37:10],46,1,0,SLTS:RTTTTT
[2023-08-07 13:37:11],47,2,1,SLTS:CRTTTT
[2023-08-07 13:37:12],48,1,0,SLTS:RTTTTT
[2023-08-07 13:37:13],49,1,0,SLTS:RTTTTT
[2023-08-07 13:37:14],50,4,4,SLTS:HCCCCE
[2023-08-07 13:37:15],51,5,4,SLTS:CCHCCR
[2023-08-07 13:37:16],52,1,0,SLTS:RTTTTT
[2023-08-07 13:37:17],53,1,0,SLTS:RTTTTT
[2023-08-07 13:37:18],54,2,1,SLTS:CRTTTT
[2023-08-07 13:37:19],55,1,0,SLTS:RTTTTT
[2023-08-07 13:37:20],56,2,1,SLTS:CRTTTT
[2023-08-07 13:37:21],57,2,1,SLTS:CRTTTT
[2023-08-07 13:37:22],58,2,1,SLTS:CRTTTT
[2023-08-07 13:37:23],59,1,0,SLTS:RTTTTT
[2023-08-07 13:37:24],60,4,3,SLTS:CCCRTT
[2023-08-07 13:37:25],61,1,0,SLTS:RTTTTT
[2023-08-07 13:37:26],62,2,1,SLTS:CRTTTT
[2023-08-07 13:37:27],63,2,1,SLTS:HCRTTT
[2023-08-07 13:37:28],64,3,2,SLTS:HHHCCR
[2023-08-07 13:37:29],65,2,1,SLTS:CRTTTT
[2023-08-07 13:37:30],66,3,2,SLTS:CCRTTT
[2023-08-07 13:37:31],67,2,1,SLTS:CRTTTT
[2023-08-07 13:37:32],68,2,1,SLTS:CHHHRT
[2023-08-07 13:37:33],69,2,1,SLTS:CRTTTT
[2023-08-07 13:37:34],70,2,1,SLTS:HHCRTT
[2023-08-07 13:37:35],71,3,3,SLTS:HHCCCE
[2023-08-07 13:37:36],72,3,2,SLTS:CCRTTT
[2023-08-07 13:37:37],73,3,2,SLTS:HHCCRT
[2023-08-07 13:37:38],74,2,1,SLTS:HCRTTT
[2023-08-07 13:37:39],75,3,2,SLTS:HHCCRT
[2023-08-07 13:37:40],76,2,1,SLTS:CRTTTT
[2023-08-07 13:37:41],77,1,0,SLTS:HHRTTT
[2023-08-07 13:37:42],78,1,0,SLTS:HRTTTT
[2023-08-07 13:37:43],79,4,3,SLTS:CCCHRT
[2023-08-07 13:37:44],80,1,0,SLTS:HHHRTT
