TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,SLOTS
[2023-08-07 13:41:16],2,3,2,SLTS:..RTTT
[2023-08-07 13:41:17],3,1,0,SLTS:RTTTTT
[2023-08-07 13:41:18],4,2,1,SLTS:CHRTTT
[2023-08-07 13:41:19],5,2,1,SLTS:HCRTTT
[2023-08-07 13:41:20],6,2,1,SLTS:CRTTTT
[2023-08-07 13:41:21],7,1,0,SLTS:RTTTTT
[2023-08-07 13:41:22],8,2,1,SLTS:CRTTTT
[2023-08-07 13:41:23],9,2,1,SLTS:CRTTTT
[2023-08-07 13:41:24],10,3,2,SLTS:CCRTTT
[2023-08-07 13:41:25],11,1,0,SLTS:RTTTTT
[2023-08-07 13:41:26],12,2,1,SLTS:CHRTTT
[2023-08-07 13:41:27],13,1,0,SLTS:RTTTTT
[2023-08-07 13:41:28],14,1,0,SLTS:RTTTTT
[2023-08-07 13:41:29],15,5,4,SLTS:CCHCCR
[2023-08-07 13:41:30],16,1,0,SLTS:RTTTTT
[2023-08-07 13:41:31],17,3,2,SLTS:CCRTTT
[2023-08-07 13:41:32],18,3,2,SLTS:CCHRTT
[2023-08-07 13:41:33],19,4,4,SLTS:HCHCCC
[2023-08-07 13:41:34],20,1,0,SLTS:HRTTTT
[2023-08-07 13:41:35],21,4,3,SLTS:CCCRTT
[2023-08-07 13:41:36],22,1,0,SLTS:RTTTTT
[2023-08-07 13:41:37],23,6,5,SLTS:CCCCCR
[2023-08-07 13:41:38],24,3,2,SLTS:CCHRTT
[2023-08-07 13:41:39],25,3,2,SLTS:CCRTTT
[2023-08-07 13:41:40],26,1,0,SLTS:RTTTTT
[2023-08-07 13:41:41],27,2,1,SLTS:CRTTTT
[2023-08-07 13:41:42],28,1,0,SLTS:RTTTTT
[2023-08-07 13:41:43],29,2,1,SLTS:HCRTTT
[2023-08-07 13:41:44],30,3,2,SLTS:CCRTTT
[2023-08-07 13:41:45],31,1,0,SLTS:RTTTTT
[2023-08-07 13:41:46],32,1,0,SLTS:RTTTTT
