TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SUCCESS_FLAG,ERRORS,SLOTS
[2023-08-08 14:26:47],1,3,2,0,-1,{},....RT
[2023-08-08 14:26:48],2,2,1,1,-1,{},CMRTTT
[2023-08-08 14:26:49],3,1,0,1,-1,{},RTTTTT
[2023-08-08 14:26:50],4,1,0,1,-1,{},RTTTTT
[2023-08-08 14:26:51],5,3,3,4,0,{},CMCMCM
[2023-08-08 14:26:52],6,2,2,2,-1,{},CMHHCM
[2023-08-08 14:26:53],7,3,3,5,0,{},CMCMCM
[2023-08-08 14:26:54],8,3,3,3,0,{},CMCMCM
[2023-08-08 14:26:55],9,1,0,3,-1,{},RTTTTT
[2023-08-08 14:26:56],10,1,0,3,-1,{},RTTTTT
[2023-08-08 14:26:57],11,3,3,3,0,{},CMHCMC
[2023-08-08 14:26:58],12,3,3,6,0,{},CMCMCM
[2023-08-08 14:26:59],13,3,3,9,0,{},CMCMCM
[2023-08-08 14:27:00],14,3,3,12,0,{},CMCMCM
[2023-08-08 14:27:01],15,3,3,3,0,{},CMCMCM
[2023-08-08 14:27:02],16,4,3,3,1,{},CMCMCM
[2023-08-08 14:27:03],17,1,0,0,-1,{},RTTTTT
[2023-08-08 14:27:04],18,3,3,3,0,{},CMCMHC
[2023-08-08 14:27:05],19,3,3,6,0,{},HCMCMC
[2023-08-08 14:27:06],20,3,2,8,-1,{},CMCMRT
[2023-08-08 14:27:07],21,2,1,1,-1,{},CMRTTT
[2023-08-08 14:27:08],22,3,3,4,0,{},CMCMCM
[2023-08-08 14:27:09],23,2,2,2,-1,{},CMHCME
[2023-08-08 14:27:10],24,2,1,3,-1,{},HCMRTT
[2023-08-08 14:27:11],25,3,3,6,0,{},CMCMCM
[2023-08-08 14:27:12],26,3,2,2,-1,{},CMCMRT
[2023-08-08 14:27:13],27,3,3,3,0,{},CMCMCM
[2023-08-08 14:27:14],28,2,1,4,-1,{},HHCMRT
[2023-08-08 14:27:15],29,3,3,3,0,{},CMCMHC
[2023-08-08 14:27:16],30,3,3,6,0,{},CMCMCM
[2023-08-08 14:27:17],31,3,3,9,0,{},CMCMCM
[2023-08-08 14:27:18],32,2,2,11,0,{},CMHHCM
[2023-08-08 14:27:19],33,3,2,13,-1,{},CMHCMR
[2023-08-08 14:27:20],34,1,0,0,-1,{},RTTTTT
[2023-08-08 14:27:21],35,2,2,2,-1,{},CMCMHE
[2023-08-08 14:27:22],36,3,3,5,0,{},CMCMCM
[2023-08-08 14:27:23],37,1,0,5,-1,{},RTTTTT
[2023-08-08 14:27:24],38,4,3,3,1,{},CMCMHC
[2023-08-08 14:27:25],39,6,5,3,-1,{},CCCCCR
[2023-08-08 14:27:26],40,5,4,3,1,{},CCHHCC
[2023-08-08 14:27:27],41,6,5,3,1,{},CCHCCC
[2023-08-08 14:27:28],42,2,1,3,-1,{},CHRTTT
[2023-08-08 14:27:29],43,2,1,1,-1,{},CMRTTT
[2023-08-08 14:27:30],44,2,1,1,-1,{},CMRTTT
[2023-08-08 14:27:31],45,1,0,1,-1,{},RTTTTT
[2023-08-08 14:27:32],46,3,3,4,0,{},CMCMCM
[2023-08-08 14:27:33],47,3,3,3,0,{},CMHCMC
[2023-08-08 14:27:34],48,1,0,3,-1,{},RTTTTT
[2023-08-08 14:27:35],49,1,0,3,-1,{},RTTTTT
[2023-08-08 14:27:36],50,3,3,3,0,{},CMCMCM
[2023-08-08 14:27:37],51,3,3,6,0,{},CMCMCM
[2023-08-08 14:27:38],52,3,2,8,-1,{},CMCMRT
[2023-08-08 14:27:39],53,2,1,1,-1,{},CMRTTT
[2023-08-08 14:27:40],54,3,2,3,1,{},HCMCME
[2023-08-08 14:27:41],55,2,1,3,-1,{},HCRTTT
[2023-08-08 14:27:42],56,1,0,0,-1,{},RTTTTT
[2023-08-08 14:27:43],57,3,2,2,-1,{},CMCMRT
[2023-08-08 14:27:44],58,2,2,4,0,{},HHCMCM
[2023-08-08 14:27:45],59,2,1,1,-1,{},CMRTTT
[2023-08-08 14:27:46],60,2,2,2,-1,{},CMCMHE
[2023-08-08 14:27:47],61,2,1,3,-1,{},CMRTTT
[2023-08-08 14:27:48],62,3,3,3,0,{},HCMCMC
[2023-08-08 14:27:49],63,2,1,4,-1,{},HCMHRT
[2023-08-08 14:27:50],64,1,0,4,-1,{},RTTTTT
[2023-08-08 14:27:51],65,3,3,3,0,{},CMCMHC
[2023-08-08 14:27:52],66,2,1,4,-1,{},CMRTTT
[2023-08-08 14:27:53],67,1,0,4,-1,{},RTTTTT
[2023-08-08 14:27:54],68,3,3,3,0,{},CMCMCM
[2023-08-08 14:27:55],69,2,1,4,-1,{},HCMRTT
[2023-08-08 14:27:56],70,2,1,5,-1,{},CMRTTT
[2023-08-08 14:27:57],71,1,0,0,-1,{},HHRTTT
[2023-08-08 14:27:58],72,1,0,0,-1,{},RTTTTT
[2023-08-08 14:27:59],73,3,3,3,0,{},CMCMHC
[2023-08-08 14:28:00],74,3,3,3,0,{},CMCMCM
[2023-08-08 14:28:01],75,4,3,6,1,{},CMCMCM
[2023-08-08 14:28:02],76,6,5,6,1,{},CCCCHC
[2023-08-08 14:28:03],77,3,2,6,-1,{},HCCRTT
[2023-08-08 14:28:04],78,2,1,1,-1,{},CMHRTT
[2023-08-08 14:28:05],79,3,3,4,0,{},CMCMCM
[2023-08-08 14:28:06],80,2,1,1,-1,{},CMRTTT
[2023-08-08 14:28:07],81,2,1,2,-1,{},HCMHRT
[2023-08-08 14:28:08],82,3,3,5,0,{},CMCMCM
[2023-08-08 14:28:09],83,1,0,0,-1,{},RTTTTT
[2023-08-08 14:28:10],84,1,0,0,-1,{},RTTTTT
[2023-08-08 14:28:11],85,2,2,2,-1,{},CMHCME
[2023-08-08 14:28:12],86,2,1,3,-1,{},HCMRTT
[2023-08-08 14:28:13],87,3,3,3,0,{},CMCMCM
[2023-08-08 14:28:14],88,3,3,6,0,{},CMCMCM
[2023-08-08 14:28:15],89,4,3,3,1,{},CMCMCM
[2023-08-08 14:28:16],90,4,3,3,-1,{},CCCRTT
[2023-08-08 14:28:17],91,4,3,3,1,{},HCHCCE
[2023-08-08 14:28:18],92,2,1,3,-1,{},HCRTTT
[2023-08-08 14:28:19],93,3,3,3,0,{},CMCMCM
[2023-08-08 14:28:20],94,1,0,3,-1,{},RTTTTT
[2023-08-08 14:28:21],95,3,3,3,0,{},CMCMCM
[2023-08-08 14:28:22],96,3,3,6,0,{},CMHCMC
[2023-08-08 14:28:23],97,3,2,8,-1,{},CMCMRT
[2023-08-08 14:28:24],98,3,3,3,0,{},CMCMCM
[2023-08-08 14:28:25],99,3,3,6,0,{},HCMCMC
[2023-08-08 14:28:26],100,2,1,7,-1,{},CMRTTT
[2023-08-08 14:28:27],101,2,2,2,-1,{},HCMCME
[2023-08-08 14:28:28],102,1,0,2,-1,{},RTTTTT
[2023-08-08 14:28:29],103,3,2,4,-1,{},CMHCMR
[2023-08-08 14:28:30],104,3,3,3,0,{},CMCMCM
[2023-08-08 14:28:31],105,3,3,6,0,{},CMHCMC
[2023-08-08 14:28:32],106,3,3,9,0,{},CMCMCM
[2023-08-08 14:28:33],107,1,0,9,-1,{},HRTTTT
[2023-08-08 14:28:34],108,1,0,0,-1,{},HRTTTT
[2023-08-08 14:28:35],109,3,3,3,0,{},CMCMCM
[2023-08-08 14:28:36],110,2,2,2,-1,{},HHCMCM
[2023-08-08 14:28:37],111,3,2,4,-1,{},HCMCMR
[2023-08-08 14:28:38],112,2,1,5,-1,{},CMRTTT
[2023-08-08 14:28:39],113,1,0,0,-1,{},RTTTTT
[2023-08-08 14:28:40],114,1,0,0,-1,{},RTTTTT
[2023-08-08 14:28:41],115,4,3,3,1,{},CMCMCM
[2023-08-08 14:28:42],116,3,3,3,0,{},CMHCMC
[2023-08-08 14:28:43],117,4,3,6,1,{},CMCMCM
[2023-08-08 14:28:44],118,3,2,6,-1,{},CCHRTT
[2023-08-08 14:28:45],119,3,3,3,0,{},CMCMCM
[2023-08-08 14:28:46],120,4,3,6,1,{},CMCMCM
[2023-08-08 14:28:47],121,4,3,6,-1,{},CCCRTT
[2023-08-08 14:28:48],122,1,0,0,-1,{},RTTTTT
[2023-08-08 14:28:49],123,3,3,3,0,{},CMCMHC
[2023-08-08 14:28:50],124,2,1,4,-1,{},CMRTTT
[2023-08-08 14:28:51],125,1,0,0,-1,{},RTTTTT
[2023-08-08 14:28:52],126,4,3,3,1,{},CMCMCM
[2023-08-08 14:28:53],127,2,1,3,-1,{},CHRTTT
[2023-08-08 14:28:54],128,2,1,1,-1,{},CMRTTT
[2023-08-08 14:28:55],129,3,3,4,0,{},CMHCMC
[2023-08-08 14:28:56],130,3,3,7,0,{},CMCMCM
[2023-08-08 14:28:57],131,2,1,8,-1,{},CMRTTT
[2023-08-08 14:28:58],132,4,3,3,1,{},CMHCMC
[2023-08-08 14:28:59],133,3,2,3,-1,{},CCRTTT
[2023-08-08 14:29:00],134,4,3,3,1,{},CMCMCM
[2023-08-08 14:29:01],135,2,1,3,-1,{},CRTTTT
[2023-08-08 14:29:02],136,1,0,3,-1,{},RTTTTT
[2023-08-08 14:29:03],137,2,1,1,-1,{},CMRTTT
[2023-08-08 14:29:04],138,3,3,4,0,{},CMHCMC
[2023-08-08 14:29:05],139,3,3,7,0,{},HCMCMC
[2023-08-08 14:29:06],140,3,3,10,0,{},CMCMCM
[2023-08-08 14:29:07],141,3,3,3,0,{},HCMCMC
[2023-08-08 14:29:08],142,2,2,5,0,{},HHCMCM
[2023-08-08 14:29:09],143,3,3,8,0,{},CMCMCM
[2023-08-08 14:29:10],144,1,0,0,-1,{},RTTTTT
[2023-08-08 14:29:11],145,3,2,2,-1,{},CMCMRT
[2023-08-08 14:29:12],146,1,0,0,-1,{},HHRTTT
[2023-08-08 14:29:13],147,2,2,2,-1,{},CMHCME
[2023-08-08 14:29:14],148,3,3,5,0,{},CMCMCM
