TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,SLOTS
[2023-08-08 14:32:33],2,2,1,SLTS:..RTTT
[2023-08-08 14:32:33],3,1,0,SLTS:RTTTTT
[2023-08-08 14:32:33],4,1,0,SLTS:RTTTTT
[2023-08-08 14:32:34],5,3,2,SLTS:CCRTTT
[2023-08-08 14:32:34],6,3,2,SLTS:CCRTTT
[2023-08-08 14:32:35],7,4,3,SLTS:CCCHRT
[2023-08-08 14:32:36],8,4,3,SLTS:CCCRTT
[2023-08-08 14:32:37],9,5,4,SLTS:CCCCRT
[2023-08-08 14:32:38],10,2,1,SLTS:HCRTTT
[2023-08-08 14:32:39],11,4,3,SLTS:CCCRTT
[2023-08-08 14:32:40],12,3,2,SLTS:CCRTTT
[2023-08-08 14:32:41],13,3,2,SLTS:CCRTTT
[2023-08-08 14:32:42],14,5,5,SLTS:CCCHCC
[2023-08-08 14:32:43],15,1,0,SLTS:RTTTTT
[2023-08-08 14:32:44],16,5,5,SLTS:HCCCCC
[2023-08-08 14:32:45],17,6,6,SLTS:CCCCCC
[2023-08-08 14:32:46],18,2,1,SLTS:CRTTTT
[2023-08-08 14:32:47],19,6,5,SLTS:CCCCCR
[2023-08-08 14:32:48],20,5,5,SLTS:CCCCHC
[2023-08-08 14:32:49],21,1,0,SLTS:HRTTTT
[2023-08-08 14:32:50],22,2,1,SLTS:CRTTTT
[2023-08-08 14:32:51],23,1,0,SLTS:RTTTTT
[2023-08-08 14:32:52],24,6,6,SLTS:CCCCCC
[2023-08-08 14:32:53],25,5,4,SLTS:CCCCHR
[2023-08-08 14:32:54],26,2,1,SLTS:CHRTTT
[2023-08-08 14:32:55],27,1,0,SLTS:RTTTTT
[2023-08-08 14:32:56],28,4,3,SLTS:CCCRTT
[2023-08-08 14:32:57],29,4,4,SLTS:HCHCCC
[2023-08-08 14:32:58],30,6,5,SLTS:CCCCCR
[2023-08-08 14:32:59],31,3,2,SLTS:CCRTTT
[2023-08-08 14:33:00],32,4,3,SLTS:CCHCRT
[2023-08-08 14:33:01],33,1,0,SLTS:RTTTTT
[2023-08-08 14:33:02],34,5,4,SLTS:CCCCRT
[2023-08-08 14:33:03],35,3,2,SLTS:CCRTTT
[2023-08-08 14:33:04],36,3,2,SLTS:CCRTTT
[2023-08-08 14:33:05],37,3,2,SLTS:CCRTTT
[2023-08-08 14:33:06],38,2,1,SLTS:CRTTTT
[2023-08-08 14:33:07],39,2,1,SLTS:CRTTTT
[2023-08-08 14:33:08],40,1,0,SLTS:RTTTTT
[2023-08-08 14:33:09],41,4,3,SLTS:CCCRTT
[2023-08-08 14:33:10],42,1,0,SLTS:RTTTTT
[2023-08-08 14:33:11],43,4,4,SLTS:CHCCCE
[2023-08-08 14:33:12],44,5,5,SLTS:CCHCCC
[2023-08-08 14:33:13],45,1,0,SLTS:RTTTTT
[2023-08-08 14:33:14],46,5,4,SLTS:CCCCRT
[2023-08-08 14:33:15],47,2,1,SLTS:CHRTTT
[2023-08-08 14:33:16],48,1,0,SLTS:RTTTTT
[2023-08-08 14:33:17],49,1,0,SLTS:RTTTTT
[2023-08-08 14:33:18],50,1,0,SLTS:RTTTTT
[2023-08-08 14:33:19],51,5,5,SLTS:HCCCCC
[2023-08-08 14:33:20],52,3,2,SLTS:CCRTTT
[2023-08-08 14:33:21],53,1,0,SLTS:RTTTTT
[2023-08-08 14:33:22],54,1,0,SLTS:RTTTTT
[2023-08-08 14:33:23],55,1,0,SLTS:RTTTTT
[2023-08-08 14:33:24],56,3,2,SLTS:HCCRTT
[2023-08-08 14:33:25],57,1,0,SLTS:RTTTTT
[2023-08-08 14:33:26],58,6,6,SLTS:CCCCCC
[2023-08-08 14:33:27],59,3,2,SLTS:HHCCHR
[2023-08-08 14:33:28],60,5,4,SLTS:CCCCRT
[2023-08-08 14:33:29],61,1,0,SLTS:RTTTTT
[2023-08-08 14:33:30],62,4,3,SLTS:CCCRTT
[2023-08-08 14:33:31],63,1,0,SLTS:RTTTTT
