TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,SLOTS
[2023-08-08 14:45:11],2,1,0,SLTS:RTTTTT
[2023-08-08 14:45:12],3,1,0,SLTS:RTTTTT
[2023-08-08 14:45:12],4,1,0,SLTS:HHRTTT
[2023-08-08 14:45:13],5,1,0,SLTS:RTTTTT
[2023-08-08 14:45:13],6,1,0,SLTS:RTTTTT
[2023-08-08 14:45:14],7,2,1,SLTS:CRTTTT
[2023-08-08 14:45:14],8,1,0,SLTS:RTTTTT
[2023-08-08 14:45:15],9,1,0,SLTS:RTTTTT
[2023-08-08 14:45:16],10,2,1,SLTS:CRTTTT
[2023-08-08 14:45:17],11,1,0,SLTS:RTTTTT
[2023-08-08 14:45:18],12,1,0,SLTS:RTTTTT
[2023-08-08 14:45:19],13,1,0,SLTS:RTTTTT
[2023-08-08 14:45:20],14,1,0,SLTS:RTTTTT
[2023-08-08 14:45:21],15,1,0,SLTS:RTTTTT
[2023-08-08 14:45:22],16,1,0,SLTS:RTTTTT
[2023-08-08 14:45:23],17,1,0,SLTS:RTTTTT
[2023-08-08 14:45:24],18,2,1,SLTS:CRTTTT
[2023-08-08 14:45:25],19,3,2,SLTS:CCRTTT
[2023-08-08 14:45:26],20,1,0,SLTS:RTTTTT
[2023-08-08 14:45:27],21,1,0,SLTS:RTTTTT
[2023-08-08 14:45:28],22,1,0,SLTS:RTTTTT
[2023-08-08 14:45:29],23,1,0,SLTS:RTTTTT
[2023-08-08 14:45:30],24,1,0,SLTS:HRTTTT
[2023-08-08 14:45:31],25,2,1,SLTS:CHRTTT
[2023-08-08 14:45:32],26,2,1,SLTS:CRTTTT
[2023-08-08 14:45:33],27,1,0,SLTS:RTTTTT
[2023-08-08 14:45:34],28,1,0,SLTS:RTTTTT
[2023-08-08 14:45:35],29,1,0,SLTS:HRTTTT
[2023-08-08 14:45:36],30,1,0,SLTS:RTTTTT
[2023-08-08 14:45:37],31,2,1,SLTS:HHCRTT
[2023-08-08 14:45:38],32,1,0,SLTS:RTTTTT
[2023-08-08 14:45:39],33,2,1,SLTS:CRTTTT
[2023-08-08 14:45:40],34,1,0,SLTS:RTTTTT
[2023-08-08 14:45:41],35,1,0,SLTS:RTTTTT
[2023-08-08 14:45:42],36,1,0,SLTS:RTTTTT
[2023-08-08 14:45:43],37,1,0,SLTS:RTTTTT
[2023-08-08 14:45:44],38,1,0,SLTS:RTTTTT
[2023-08-08 14:45:45],39,2,1,SLTS:HHCRTT
[2023-08-08 14:45:46],40,1,0,SLTS:RTTTTT
[2023-08-08 14:45:47],41,1,0,SLTS:HHRTTT
[2023-08-08 14:45:48],42,1,0,SLTS:RTTTTT
[2023-08-08 14:45:49],43,3,2,SLTS:CCRTTT
[2023-08-08 14:45:50],44,2,1,SLTS:CRTTTT
