TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SUCCESS_FLAG,ERRORS,SLOTS
[2023-08-09 16:05:26],1,1,0,0,-1,{},RTTTTT
[2023-08-09 16:05:27],2,2,1,1,-1,{224:1;229:1;232:1;233:1;234:1;235:1;236:1;238:1;239:1;240:1;241:1;245:1;255:1;672:1;674:1;675:1;677:1;682:1;683:1;684:1;687:1;688:1;692:1;695:1;696:1;697:1;699:1;701:1;702:1;703:1;707:1;709:1;711:1;715:1;717:1;718:1;},CMRTTT
[2023-08-09 16:05:28],3,2,1,2,-1,{448:1;461:1;462:1;467:1;468:1;470:1;528:1;529:1;537:1;542:1;544:1;546:1;547:1;549:1;551:1;553:1;554:1;556:1;559:1;561:1;563:1;564:1;566:1;568:1;570:1;572:1;575:1;},CMRTTT
[2023-08-09 16:05:29],4,1,0,2,-1,{},RTTTTT
[2023-08-09 16:05:30],5,3,3,5,0,{384:1;392:1;393:1;397:1;398:1;400:1;401:1;402:1;404:1;405:1;406:1;407:1;408:1;409:1;410:1;411:1;412:1;413:1;415:1;416:1;419:1;420:1;424:1;426:1;427:1;431:1;665:1;666:1;673:1;675:1;679:1;683:1;684:1;685:1;686:1;687:1;784:1;786:1;799:1;802:1;805:1;807:1;808:1;809:1;812:1;813:1;823:1;827:1;828:1;833:1;843:1;844:1;845:1;846:1;847:1;848:1;849:1;850:1;852:1;853:1;854:1;857:1;858:1;859:1;860:1;861:1;864:1;867:1;870:1;871:1;905:1;908:1;917:1;921:1;929:1;931:1;934:1;935:1;937:1;938:1;941:1;943:1;944:1;945:1;946:1;947:1;948:1;949:1;950:1;976:1;978:1;979:1;980:1;985:1;986:1;987:1;989:1;992:1;993:1;996:1;998:1;},CMCMCM
[2023-08-09 16:05:31],6,1,0,5,-1,{},RTTTTT
[2023-08-09 16:05:32],7,2,1,1,-1,{600:1;601:1;610:1;611:1;614:1;615:1;617:1;618:1;625:1;626:1;628:1;630:1;632:1;635:1;636:1;637:1;638:1;641:1;642:1;643:1;646:1;647:1;653:1;654:1;},CMRTTT
[2023-08-09 16:05:33],8,2,1,1,-1,{780:1;781:1;785:1;787:1;790:1;791:1;793:1;796:1;799:1;802:1;803:1;804:1;805:1;806:1;807:1;811:1;812:1;814:1;815:1;819:1;},CMRTTT
[2023-08-09 16:05:34],9,1,0,1,-1,{},RTTTTT
[2023-08-09 16:05:35],10,1,0,1,-1,{},RTTTTT
[2023-08-09 16:05:36],11,3,2,2,-1,{272:1;273:1;274:1;275:1;278:1;279:1;281:1;282:1;283:1;286:1;287:1;289:1;291:1;293:1;294:1;295:1;296:1;297:1;298:1;301:1;302:1;307:1;310:1;311:1;318:1;858:1;864:1;865:1;866:1;869:1;870:1;871:1;873:1;874:1;875:1;878:1;879:1;880:1;881:1;882:1;883:1;885:1;886:1;887:1;},CMCMRT
[2023-08-09 16:05:37],12,3,2,4,1,{144:1;145:1;146:1;147:1;148:1;149:1;151:1;152:1;153:1;155:1;159:1;160:1;163:1;168:1;169:1;171:1;172:1;174:1;177:1;179:1;182:1;190:1;191:1;738:1;746:1;748:1;749:1;750:1;751:1;753:1;754:1;755:1;761:1;762:1;766:1;},CMHHCM
[2023-08-09 16:05:38],13,4,3,4,1,{200:1;202:1;209:1;214:1;215:1;216:1;217:1;218:1;220:1;224:1;225:1;227:1;229:1;230:1;232:1;233:1;234:1;235:1;236:1;238:1;239:1;240:1;242:1;244:1;264:1;265:1;266:1;273:1;276:1;278:1;279:1;433:1;434:1;436:1;437:1;438:1;445:1;447:1;452:1;453:1;},CMCMCM
[2023-08-09 16:05:39],14,4,3,4,1,{296:1;297:1;304:1;306:1;309:1;312:1;313:1;314:1;315:1;317:1;569:1;576:1;579:1;582:1;583:1;587:1;588:1;590:1;753:1;761:1;763:1;764:1;765:1;766:1;768:1;769:1;770:1;771:1;772:1;773:1;774:1;776:1;777:1;780:1;781:1;784:1;785:1;786:1;787:1;790:1;791:1;792:1;793:1;794:1;796:1;799:1;800:1;802:1;804:1;807:1;808:1;809:1;810:1;811:1;812:1;813:1;816:1;817:1;820:1;822:1;824:1;825:1;826:1;827:1;828:1;829:1;830:1;834:1;836:1;838:1;839:1;841:1;842:1;843:1;844:1;845:2;846:1;847:1;848:1;850:1;852:1;854:1;856:1;859:1;861:1;865:1;869:1;874:1;876:1;878:1;879:1;880:1;881:1;883:1;885:1;886:1;887:1;894:1;895:1;928:1;929:1;931:1;936:1;940:1;941:1;943:1;945:1;946:1;948:1;951:1;952:1;953:1;954:1;955:1;958:1;959:1;967:1;},CMCMCM
[2023-08-09 16:05:40],15,3,2,4,-1,{193:1;194:1;195:1;197:1;200:1;201:1;202:1;208:1;211:1;212:1;213:1;215:1;217:1;218:1;223:1;682:1;689:1;694:1;697:1;698:1;701:1;702:1;708:1;709:1;712:1;713:1;714:1;715:1;716:1;719:1;725:1;726:1;727:1;},CMCMRT
[2023-08-09 16:05:41],16,1,0,0,-1,{},RTTTTT
[2023-08-09 16:05:42],17,1,0,0,-1,{},RTTTTT
[2023-08-09 16:05:43],18,3,2,2,-1,{344:1;345:1;346:1;348:1;349:1;353:1;354:1;356:1;358:1;359:1;360:1;361:1;362:1;363:1;365:1;368:1;371:1;373:1;374:1;375:1;379:1;381:1;387:1;388:1;656:1;657:1;661:1;666:1;667:1;669:1;671:1;674:1;675:1;677:1;679:1;682:1;683:1;686:1;687:1;},CMCMRT
[2023-08-09 16:05:44],19,2,1,3,-1,{920:1;923:1;924:1;928:1;929:1;931:1;933:1;935:1;937:1;939:1;940:1;943:1;946:1;949:1;951:1;},CMRTTT
[2023-08-09 16:05:45],20,4,3,3,1,{64:1;66:1;74:1;75:1;76:1;78:1;79:1;80:1;81:1;83:1;86:1;89:1;90:1;91:1;362:1;363:1;364:1;365:1;366:1;368:1;369:1;372:1;373:1;378:1;382:1;383:1;832:1;834:1;840:1;842:1;843:1;844:1;848:1;849:1;850:1;851:1;852:1;857:1;858:1;859:1;860:1;862:1;863:1;864:1;867:1;868:1;871:1;872:1;876:1;877:1;885:1;886:1;887:1;},CMCMCM
[2023-08-09 16:05:46],21,1,0,3,-1,{},RTTTTT
[2023-08-09 16:05:47],22,4,3,3,1,{11:1;14:1;15:1;280:1;283:1;288:1;289:1;291:1;292:1;293:1;294:1;295:1;344:1;345:1;347:1;352:1;354:1;356:1;363:1;365:1;371:1;374:1;375:1;376:1;379:1;381:1;388:1;389:1;450:1;457:1;458:1;461:1;463:1;512:1;523:1;526:1;527:1;736:1;739:1;745:1;746:1;749:1;757:1;758:1;759:1;},CMCMCM
