TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,SLOTS
[2023-08-09 16:20:15],1,1,0,SLTS:RTTTTT
[2023-08-09 16:20:16],2,3,2,SLTS:CCRTTT
[2023-08-09 16:20:17],3,1,0,SLTS:RTTTTT
[2023-08-09 16:20:18],4,5,4,SLTS:CCCCHR
[2023-08-09 16:20:19],5,1,0,SLTS:RTTTTT
[2023-08-09 16:20:20],6,3,2,SLTS:CCRTTT
[2023-08-09 16:20:21],7,2,1,SLTS:CRTTTT
[2023-08-09 16:20:22],8,5,4,SLTS:CCCCRT
[2023-08-09 16:20:23],9,1,0,SLTS:RTTTTT
[2023-08-09 16:20:24],10,1,0,SLTS:RTTTTT
[2023-08-09 16:20:25],11,2,1,SLTS:CRTTTT
[2023-08-09 16:20:26],12,2,1,SLTS:CRTTTT
[2023-08-09 16:20:27],13,2,1,SLTS:CRTTTT
[2023-08-09 16:20:28],14,1,0,SLTS:RTTTTT
[2023-08-09 16:20:29],15,1,0,SLTS:RTTTTT
[2023-08-09 16:20:30],16,3,2,SLTS:CHCRTT
[2023-08-09 16:20:31],17,2,1,SLTS:CRTTTT
[2023-08-09 16:20:32],18,2,1,SLTS:CRTTTT
[2023-08-09 16:20:33],19,3,2,SLTS:CCRTTT
[2023-08-09 16:20:34],20,1,0,SLTS:RTTTTT
[2023-08-09 16:20:35],21,1,0,SLTS:RTTTTT
[2023-08-09 16:20:36],22,1,0,SLTS:RTTTTT
[2023-08-09 16:20:37],23,1,0,SLTS:RTTTTT
[2023-08-09 16:20:38],24,1,0,SLTS:RTTTTT
[2023-08-09 16:20:39],25,2,1,SLTS:CRTTTT
[2023-08-09 16:20:40],26,4,3,SLTS:CCCRTT
[2023-08-09 16:20:41],27,1,0,SLTS:RTTTTT
[2023-08-09 16:20:42],28,1,0,SLTS:HRTTTT
[2023-08-09 16:20:43],29,1,0,SLTS:RTTTTT
[2023-08-09 16:20:44],30,1,0,SLTS:RTTTTT
[2023-08-09 16:20:45],31,1,0,SLTS:HHHRTT
[2023-08-09 16:20:46],32,2,1,SLTS:CRTTTT
[2023-08-09 16:20:47],33,3,2,SLTS:CCRTTT
[2023-08-09 16:20:48],34,6,6,SLTS:CCCCCC
[2023-08-09 16:20:49],35,3,2,SLTS:CCRTTT
[2023-08-09 16:20:50],36,1,0,SLTS:RTTTTT
[2023-08-09 16:20:51],37,6,5,SLTS:CCCCCR
[2023-08-09 16:20:52],38,3,2,SLTS:CCRTTT
[2023-08-09 16:20:53],39,1,0,SLTS:RTTTTT
[2023-08-09 16:20:54],40,1,0,SLTS:RTTTTT
[2023-08-09 16:20:55],41,6,6,SLTS:CCCCCC
[2023-08-09 16:20:56],42,6,5,SLTS:CCCCCR
[2023-08-09 16:20:57],43,4,4,SLTS:CCCHHC
[2023-08-09 16:20:58],44,1,0,SLTS:RTTTTT
[2023-08-09 16:20:59],45,1,0,SLTS:RTTTTT
[2023-08-09 16:21:00],46,1,0,SLTS:RTTTTT
[2023-08-09 16:21:01],47,1,0,SLTS:RTTTTT
[2023-08-09 16:21:02],48,2,1,SLTS:CRTTTT
[2023-08-09 16:21:03],49,5,4,SLTS:CCCCHR
[2023-08-09 16:21:04],50,1,0,SLTS:RTTTTT
[2023-08-09 16:21:05],51,2,1,SLTS:CRTTTT
[2023-08-09 16:21:06],52,1,0,SLTS:RTTTTT
[2023-08-09 16:21:07],53,3,2,SLTS:CCRTTT
[2023-08-09 16:21:08],54,5,4,SLTS:CCCCRT
[2023-08-09 16:21:09],55,1,0,SLTS:RTTTTT
[2023-08-09 16:21:10],56,6,6,SLTS:CCCCCC
[2023-08-09 16:21:11],57,2,1,SLTS:CRTTTT
[2023-08-09 16:21:12],58,1,0,SLTS:RTTTTT
[2023-08-09 16:21:13],59,6,6,SLTS:CCCCCC
[2023-08-09 16:21:14],60,1,0,SLTS:RTTTTT
[2023-08-09 16:21:15],61,1,0,SLTS:RTTTTT
[2023-08-09 16:21:16],62,1,0,SLTS:RTTTTT
[2023-08-09 16:21:17],63,2,1,SLTS:CRTTTT
[2023-08-09 16:21:18],64,1,0,SLTS:HRTTTT
[2023-08-09 16:21:19],65,1,0,SLTS:RTTTTT
[2023-08-09 16:21:20],66,1,0,SLTS:RTTTTT
[2023-08-09 16:21:21],67,1,0,SLTS:RTTTTT
[2023-08-09 16:21:22],68,1,0,SLTS:RTTTTT
[2023-08-09 16:21:23],69,1,0,SLTS:RTTTTT
[2023-08-09 16:21:24],70,3,2,SLTS:CCRTTT
[2023-08-09 16:21:25],71,3,2,SLTS:CHCRTT
[2023-08-09 16:21:26],72,4,3,SLTS:CCCRTT
[2023-08-09 16:21:27],73,2,1,SLTS:CRTTTT
[2023-08-09 16:21:28],74,2,1,SLTS:CRTTTT
[2023-08-09 16:21:29],75,2,1,SLTS:HCRTTT
[2023-08-09 16:21:30],76,1,0,SLTS:RTTTTT
[2023-08-09 16:21:31],77,2,1,SLTS:CRTTTT
[2023-08-09 16:21:32],78,1,0,SLTS:RTTTTT
[2023-08-09 16:21:33],79,2,1,SLTS:CRTTTT
[2023-08-09 16:21:34],80,3,2,SLTS:CCRTTT
[2023-08-09 16:21:35],81,1,0,SLTS:RTTTTT
[2023-08-09 16:21:36],82,1,0,SLTS:RTTTTT
[2023-08-09 16:21:37],83,1,0,SLTS:RTTTTT
[2023-08-09 16:21:38],84,4,3,SLTS:CCCRTT
[2023-08-09 16:21:39],85,1,0,SLTS:RTTTTT
[2023-08-09 16:21:40],86,6,6,SLTS:CCCCCC
[2023-08-09 16:21:41],87,2,1,SLTS:CRTTTT
[2023-08-09 16:21:42],88,1,0,SLTS:RTTTTT
[2023-08-09 16:21:43],89,1,0,SLTS:RTTTTT
[2023-08-09 16:21:44],90,2,1,SLTS:CRTTTT
[2023-08-09 16:21:45],91,2,1,SLTS:CRTTTT
[2023-08-09 16:21:46],92,1,0,SLTS:RTTTTT
[2023-08-09 16:21:47],93,1,0,SLTS:RTTTTT
[2023-08-09 16:21:48],94,1,1,SLTS:CHHHHE
[2023-08-09 16:21:49],95,3,2,SLTS:CCRTTT
[2023-08-09 16:21:50],96,3,2,SLTS:CCRTTT
[2023-08-09 16:21:51],97,4,3,SLTS:CCHCRT
[2023-08-09 16:21:52],98,1,0,SLTS:RTTTTT
[2023-08-09 16:21:53],99,1,0,SLTS:RTTTTT
[2023-08-09 16:21:54],100,6,5,SLTS:CCCCCR
[2023-08-09 16:21:55],101,1,0,SLTS:RTTTTT
[2023-08-09 16:21:56],102,1,0,SLTS:RTTTTT
[2023-08-09 16:21:57],103,1,0,SLTS:RTTTTT
[2023-08-09 16:21:58],104,1,0,SLTS:RTTTTT
[2023-08-09 16:21:59],105,3,2,SLTS:CCRTTT
[2023-08-09 16:22:00],106,2,2,SLTS:HHHHCC
[2023-08-09 16:22:01],107,1,0,SLTS:RTTTTT
[2023-08-09 16:22:02],108,0,0,SLTS:HHHHHE
[2023-08-09 16:22:03],109,1,0,SLTS:RTTTTT
[2023-08-09 16:22:04],110,1,0,SLTS:RTTTTT
[2023-08-09 16:22:05],111,4,3,SLTS:CCCHRT
[2023-08-09 16:22:06],112,1,0,SLTS:RTTTTT
[2023-08-09 16:22:07],113,3,2,SLTS:CCRTTT
[2023-08-09 16:22:08],114,3,2,SLTS:CCRTTT
[2023-08-09 16:22:09],115,3,2,SLTS:CCRTTT
[2023-08-09 16:22:10],116,1,0,SLTS:RTTTTT
[2023-08-09 16:22:11],117,5,5,SLTS:CCCCCE
[2023-08-09 16:22:12],118,2,1,SLTS:CRTTTT
[2023-08-09 16:22:13],119,4,4,SLTS:CCCHCE
[2023-08-09 16:22:14],120,2,1,SLTS:CHRTTT
[2023-08-09 16:22:15],121,4,4,SLTS:CCCHHC
[2023-08-09 16:22:16],122,1,0,SLTS:RTTTTT
[2023-08-09 16:22:17],123,2,1,SLTS:CRTTTT
[2023-08-09 16:22:18],124,4,3,SLTS:CHHCCR
[2023-08-09 16:22:19],125,1,0,SLTS:RTTTTT
[2023-08-09 16:22:20],126,3,2,SLTS:CCRTTT
[2023-08-09 16:22:21],127,1,0,SLTS:RTTTTT
[2023-08-09 16:22:22],128,2,1,SLTS:CRTTTT
[2023-08-09 16:22:23],129,1,0,SLTS:RTTTTT
[2023-08-09 16:22:24],130,3,2,SLTS:CCHHRT
[2023-08-09 16:22:25],131,3,2,SLTS:CCRTTT
[2023-08-09 16:22:26],132,3,2,SLTS:CCRTTT
[2023-08-09 16:22:27],133,2,1,SLTS:CRTTTT
[2023-08-09 16:22:28],134,1,0,SLTS:RTTTTT
[2023-08-09 16:22:29],135,2,1,SLTS:CRTTTT
[2023-08-09 16:22:30],136,1,0,SLTS:RTTTTT
[2023-08-09 16:22:31],137,4,3,SLTS:CCCRTT
[2023-08-09 16:22:32],138,2,1,SLTS:CRTTTT
[2023-08-09 16:22:33],139,2,1,SLTS:CRTTTT
