TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,SLOTS
[2023-08-09 16:17:48],1,1,0,SLTS:....RT
[2023-08-09 16:17:49],2,2,1,SLTS:CRTTTT
[2023-08-09 16:17:50],3,1,0,SLTS:RTTTTT
[2023-08-09 16:17:51],4,1,0,SLTS:RTTTTT
[2023-08-09 16:17:52],5,1,0,SLTS:RTTTTT
[2023-08-09 16:17:53],6,4,3,SLTS:CCCRTT
[2023-08-09 16:17:54],7,1,0,SLTS:RTTTTT
[2023-08-09 16:17:55],8,1,0,SLTS:RTTTTT
[2023-08-09 16:17:56],9,1,0,SLTS:RTTTTT
[2023-08-09 16:17:57],10,1,0,SLTS:RTTTTT
[2023-08-09 16:17:58],11,1,0,SLTS:RTTTTT
[2023-08-09 16:17:59],12,1,0,SLTS:RTTTTT
[2023-08-09 16:18:00],13,1,0,SLTS:RTTTTT
[2023-08-09 16:18:01],14,1,0,SLTS:RTTTTT
[2023-08-09 16:18:02],15,1,0,SLTS:RTTTTT
[2023-08-09 16:18:03],16,1,0,SLTS:HRTTTT
[2023-08-09 16:18:04],17,1,0,SLTS:RTTTTT
[2023-08-09 16:18:05],18,2,1,SLTS:CRTTTT
[2023-08-09 16:18:06],19,1,0,SLTS:RTTTTT
[2023-08-09 16:18:07],20,2,1,SLTS:CRTTTT
[2023-08-09 16:18:08],21,3,2,SLTS:CCHHRT
[2023-08-09 16:18:09],22,1,0,SLTS:RTTTTT
[2023-08-09 16:18:10],23,1,0,SLTS:RTTTTT
[2023-08-09 16:18:11],24,1,0,SLTS:RTTTTT
[2023-08-09 16:18:12],25,1,0,SLTS:RTTTTT
[2023-08-09 16:18:13],26,1,0,SLTS:RTTTTT
[2023-08-09 16:18:14],27,2,1,SLTS:CHRTTT
[2023-08-09 16:18:15],28,1,0,SLTS:RTTTTT
[2023-08-09 16:18:16],29,1,0,SLTS:RTTTTT
[2023-08-09 16:18:17],30,1,0,SLTS:RTTTTT
[2023-08-09 16:18:18],31,4,3,SLTS:CCHCHR
[2023-08-09 16:18:19],32,1,0,SLTS:RTTTTT
[2023-08-09 16:18:20],33,1,0,SLTS:HRTTTT
[2023-08-09 16:18:21],34,1,0,SLTS:RTTTTT
[2023-08-09 16:18:22],35,1,0,SLTS:RTTTTT
[2023-08-09 16:18:23],36,1,0,SLTS:RTTTTT
[2023-08-09 16:18:24],37,1,0,SLTS:RTTTTT
[2023-08-09 16:18:25],38,1,0,SLTS:RTTTTT
[2023-08-09 16:18:26],39,1,0,SLTS:RTTTTT
[2023-08-09 16:18:27],40,1,0,SLTS:RTTTTT
[2023-08-09 16:18:28],41,1,0,SLTS:RTTTTT
[2023-08-09 16:18:29],42,1,0,SLTS:RTTTTT
[2023-08-09 16:18:30],43,1,0,SLTS:RTTTTT
[2023-08-09 16:18:31],44,1,0,SLTS:RTTTTT
[2023-08-09 16:18:32],45,2,1,SLTS:CRTTTT
[2023-08-09 16:18:33],46,1,0,SLTS:RTTTTT
[2023-08-09 16:18:34],47,1,0,SLTS:RTTTTT
[2023-08-09 16:18:35],48,1,0,SLTS:RTTTTT
[2023-08-09 16:18:36],49,1,0,SLTS:RTTTTT
[2023-08-09 16:18:37],50,1,0,SLTS:RTTTTT
[2023-08-09 16:18:38],51,1,0,SLTS:RTTTTT
[2023-08-09 16:18:39],52,1,0,SLTS:RTTTTT
[2023-08-09 16:18:40],53,1,0,SLTS:RTTTTT
[2023-08-09 16:18:41],54,1,0,SLTS:RTTTTT
[2023-08-09 16:18:42],55,1,0,SLTS:RTTTTT
[2023-08-09 16:18:43],56,1,0,SLTS:RTTTTT
[2023-08-09 16:18:44],57,1,0,SLTS:RTTTTT
[2023-08-09 16:18:45],58,1,0,SLTS:RTTTTT
[2023-08-09 16:18:46],59,1,0,SLTS:HRTTTT
[2023-08-09 16:18:47],60,2,1,SLTS:CRTTTT
[2023-08-09 16:18:48],61,1,0,SLTS:RTTTTT
[2023-08-09 16:18:49],62,2,1,SLTS:CRTTTT
[2023-08-09 16:18:50],63,1,0,SLTS:RTTTTT
[2023-08-09 16:18:51],64,1,0,SLTS:RTTTTT
[2023-08-09 16:18:52],65,1,0,SLTS:RTTTTT
[2023-08-09 16:18:53],66,1,0,SLTS:RTTTTT
[2023-08-09 16:18:54],67,2,1,SLTS:CRTTTT
[2023-08-09 16:18:55],68,1,0,SLTS:RTTTTT
[2023-08-09 16:18:56],69,1,0,SLTS:RTTTTT
[2023-08-09 16:18:57],70,1,0,SLTS:RTTTTT
[2023-08-09 16:18:58],71,1,0,SLTS:RTTTTT
[2023-08-09 16:18:59],72,1,0,SLTS:RTTTTT
[2023-08-09 16:19:00],73,1,0,SLTS:RTTTTT
[2023-08-09 16:19:01],74,1,0,SLTS:RTTTTT
[2023-08-09 16:19:02],75,1,0,SLTS:RTTTTT
[2023-08-09 16:19:03],76,1,0,SLTS:RTTTTT
[2023-08-09 16:19:04],77,1,0,SLTS:HRTTTT
[2023-08-09 16:19:05],78,1,0,SLTS:RTTTTT
[2023-08-09 16:19:06],79,1,0,SLTS:RTTTTT
[2023-08-09 16:19:07],80,1,0,SLTS:RTTTTT
[2023-08-09 16:19:08],81,1,0,SLTS:RTTTTT
[2023-08-09 16:19:09],82,1,0,SLTS:RTTTTT
[2023-08-09 16:19:10],83,2,1,SLTS:CHRTTT
[2023-08-09 16:19:11],84,1,0,SLTS:RTTTTT
[2023-08-09 16:19:12],85,1,0,SLTS:RTTTTT
[2023-08-09 16:19:13],86,1,0,SLTS:RTTTTT
[2023-08-09 16:19:14],87,1,0,SLTS:RTTTTT
[2023-08-09 16:19:15],88,1,0,SLTS:RTTTTT
[2023-08-09 16:19:16],89,1,0,SLTS:RTTTTT
[2023-08-09 16:19:17],90,1,0,SLTS:RTTTTT
[2023-08-09 16:19:18],91,1,0,SLTS:RTTTTT
[2023-08-09 16:19:19],92,1,0,SLTS:RTTTTT
[2023-08-09 16:19:20],93,1,0,SLTS:RTTTTT
[2023-08-09 16:19:21],94,1,0,SLTS:HRTTTT
[2023-08-09 16:19:22],95,1,0,SLTS:RTTTTT
[2023-08-09 16:19:23],96,1,0,SLTS:RTTTTT
[2023-08-09 16:19:24],97,1,0,SLTS:RTTTTT
[2023-08-09 16:19:25],98,1,0,SLTS:RTTTTT
[2023-08-09 16:19:26],99,1,0,SLTS:RTTTTT
[2023-08-09 16:19:27],100,2,1,SLTS:CHRTTT
[2023-08-09 16:19:28],101,2,1,SLTS:CRTTTT
[2023-08-09 16:19:29],102,1,0,SLTS:RTTTTT
[2023-08-09 16:19:30],103,1,0,SLTS:RTTTTT
[2023-08-09 16:19:31],104,1,0,SLTS:RTTTTT
[2023-08-09 16:19:32],105,1,0,SLTS:RTTTTT
[2023-08-09 16:19:33],106,1,0,SLTS:RTTTTT
[2023-08-09 16:19:34],107,1,0,SLTS:RTTTTT
[2023-08-09 16:19:35],108,1,0,SLTS:RTTTTT
[2023-08-09 16:19:36],109,2,1,SLTS:CRTTTT
[2023-08-09 16:19:37],110,1,0,SLTS:RTTTTT
[2023-08-09 16:19:38],111,1,0,SLTS:RTTTTT
[2023-08-09 16:19:39],112,1,0,SLTS:RTTTTT
[2023-08-09 16:19:40],113,1,0,SLTS:RTTTTT
[2023-08-09 16:19:41],114,1,0,SLTS:RTTTTT
[2023-08-09 16:19:42],115,1,0,SLTS:RTTTTT
[2023-08-09 16:19:43],116,1,0,SLTS:RTTTTT
[2023-08-09 16:19:44],117,1,0,SLTS:RTTTTT
[2023-08-09 16:19:45],118,1,0,SLTS:RTTTTT
[2023-08-09 16:19:46],119,1,0,SLTS:RTTTTT
[2023-08-09 16:19:47],120,1,0,SLTS:RTTTTT
[2023-08-09 16:19:48],121,1,0,SLTS:RTTTTT
[2023-08-09 16:19:49],122,1,0,SLTS:RTTTTT
[2023-08-09 16:19:50],123,1,0,SLTS:RTTTTT
[2023-08-09 16:19:51],124,1,0,SLTS:RTTTTT
[2023-08-09 16:19:52],125,1,0,SLTS:RTTTTT
[2023-08-09 16:19:53],126,1,0,SLTS:HRTTTT
[2023-08-09 16:19:54],127,1,0,SLTS:RTTTTT
[2023-08-09 16:19:55],128,1,0,SLTS:RTTTTT
[2023-08-09 16:19:56],129,2,1,SLTS:CRTTTT
[2023-08-09 16:19:57],130,1,0,SLTS:RTTTTT
[2023-08-09 16:19:58],131,1,0,SLTS:RTTTTT
[2023-08-09 16:19:59],132,1,0,SLTS:RTTTTT
[2023-08-09 16:20:00],133,1,0,SLTS:RTTTTT
[2023-08-09 16:20:01],134,1,0,SLTS:RTTTTT
[2023-08-09 16:20:02],135,1,0,SLTS:HRTTTT
