TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,BV_COUNT,BV_SUCCESS_FLAG,ERRORS,SLOTS
[2023-08-09 15:09:15],1,3,2,0,-1,{88:1;96:1;97:1;101:1;107:1;108:1;109:1;110:1;111:1;113:1;115:1;116:1;120:1;121:1;125:1;131:1;132:1;134:1;},...RTT
[2023-08-09 15:09:16],2,4,3,3,1,{},CMCMCM
[2023-08-09 15:09:17],3,2,1,3,1,{},CHHHHE
[2023-08-09 15:09:18],4,3,2,3,1,{40:2;272:1;282:1;283:1;284:1;285:1;286:1;287:1;292:1;296:1;298:1;300:1;303:1;304:1;305:1;306:1;307:1;308:1;310:1;311:1;313:1;314:1;315:1;317:1;318:1;319:1;326:1;392:1;395:1;396:1;397:1;400:1;401:1;402:1;404:1;405:1;406:1;407:1;408:1;409:1;410:1;412:1;414:1;418:1;422:1;423:1;441:1;443:1;449:1;453:1;454:1;455:1;457:1;458:1;459:1;462:1;471:1;480:1;481:1;482:1;492:1;744:1;752:1;753:1;754:1;756:1;758:1;760:1;761:1;764:1;765:1;766:1;767:1;775:1;777:1;779:1;785:1;786:1;789:1;790:1;791:1;1976:1;1988:1;1990:1;1993:1;1994:1;1997:1;1998:1;2025:2;2026:2;2027:2;2034:2;2035:2;2036:2;2037:2;2038:2;2039:2;},CMHCME
[2023-08-09 15:09:19],5,4,3,3,1,{40:3;89:1;93:1;280:1;281:1;282:1;284:1;294:1;295:1;393:1;396:1;400:1;402:1;403:1;404:1;405:1;406:1;407:1;414:1;415:1;416:1;417:1;424:1;427:1;428:1;431:1;432:1;433:1;435:1;436:1;439:1;447:1;643:1;644:1;645:1;647:1;648:1;649:1;650:1;652:1;653:1;654:1;655:1;657:1;658:1;659:1;660:1;662:1;665:1;666:1;667:1;669:1;670:1;671:1;672:1;675:1;676:1;677:1;679:1;686:1;810:1;812:1;813:1;1336:1;1338:1;1340:1;1341:1;1400:1;1402:1;1408:1;1409:1;1414:1;1415:1;1417:1;1419:1;1427:1;1428:1;1435:1;1437:1;1441:1;1443:1;1444:1;1445:1;1448:1;1454:1;1458:1;1459:1;1460:1;1461:1;1463:1;1468:1;1470:1;1471:1;1472:1;1476:1;1477:1;1478:1;1479:1;1481:1;1486:1;1487:1;1490:1;1494:1;1496:1;1497:1;1499:1;1500:1;1502:1;1503:1;1505:1;1506:1;1510:1;1512:1;1513:1;1516:1;1517:1;1521:1;1522:1;1523:1;1524:1;1526:1;1527:1;1528:2;1529:1;1530:1;1533:1;1534:1;1535:1;1536:1;1539:1;1541:2;1542:2;1544:1;1545:1;1548:1;1550:1;1555:1;1556:1;1558:1;1559:1;1561:1;1567:1;1568:1;1569:1;1571:1;1574:1;1577:1;1578:1;1579:1;1580:1;1581:1;1582:1;1583:1;1590:1;1591:1;1592:1;1595:1;1603:1;1604:1;1605:1;1606:1;1607:1;1613:1;1614:1;1768:1;1779:1;1782:1;1783:1;1792:1;1795:1;1800:1;1801:1;1802:1;1803:1;1804:1;1812:1;1813:1;1814:1;1904:1;1906:1;1908:1;1912:1;1913:1;1914:1;1915:1;1917:1;1919:1;1921:1;1925:1;1928:1;1931:1;1932:1;1938:1;1939:1;1940:1;1941:1;2025:3;2026:3;2027:3;2034:3;2035:3;2036:3;2037:3;2038:3;2039:3;},CMCMCM
[2023-08-09 15:09:20],6,4,3,3,1,{40:3;41:3;81:1;93:1;176:1;177:1;178:1;179:1;181:1;185:1;186:1;187:1;196:1;198:1;199:1;202:1;203:1;204:1;205:1;208:1;210:1;212:1;221:1;222:1;223:1;281:1;283:1;285:1;286:1;295:1;810:1;811:1;813:1;814:1;1336:1;1339:1;1341:1;1351:1;1528:1;1529:1;1531:1;1541:1;1584:1;1586:1;1588:1;1595:1;1596:1;1597:1;1598:1;1599:1;1602:1;1603:1;1606:1;1608:1;1610:1;1612:1;1616:1;1617:1;1618:2;1619:1;1620:1;1621:2;1629:1;1630:1;1631:1;1709:1;1710:1;1711:1;2024:3;2025:3;2028:3;2029:3;2034:3;2036:3;},CMCMCM
[2023-08-09 15:09:21],7,3,2,3,1,{40:2;41:2;280:1;291:1;294:1;295:1;296:1;297:1;300:1;301:1;303:1;307:1;308:1;310:1;311:1;312:1;313:1;315:1;316:1;317:1;318:1;322:1;324:1;325:1;333:1;916:1;921:1;922:2;923:1;924:1;925:1;926:1;928:1;929:2;930:1;933:2;934:1;935:1;936:1;937:2;938:1;939:1;940:2;941:1;942:1;943:1;944:1;947:1;948:1;949:1;951:1;953:1;955:1;956:1;957:1;958:1;964:1;965:1;966:1;967:1;1046:1;1403:1;2024:2;2025:2;2028:2;2029:2;2034:2;2036:2;},CMCMHE
[2023-08-09 15:09:22],8,3,2,3,1,{40:2;41:2;42:1;43:1;44:1;45:1;49:1;50:1;51:1;56:1;58:1;62:1;63:1;65:1;66:1;71:1;74:1;75:1;77:1;79:1;83:1;84:1;86:1;87:1;560:1;563:1;570:1;573:1;574:1;576:1;578:1;581:1;589:1;591:1;598:1;777:1;778:1;785:1;786:1;790:1;793:1;795:1;796:1;798:1;799:1;800:1;801:1;803:1;804:1;805:1;2024:2;2025:2;2028:2;2029:2;2034:2;2036:2;},CMHHCM
[2023-08-09 15:09:23],9,3,2,3,1,{40:2;114:1;121:1;122:1;123:1;124:1;125:1;126:1;128:1;130:1;131:1;133:1;135:1;136:1;138:1;139:1;140:1;141:1;142:1;143:1;144:1;145:1;148:1;149:1;150:1;151:1;152:1;167:1;592:1;600:1;601:1;602:1;603:1;606:1;607:1;610:1;611:1;614:1;615:1;1424:1;1428:1;1432:1;1434:1;1436:1;1437:1;1438:1;1440:1;1442:1;1443:1;1444:1;1446:1;1447:1;1448:1;1450:1;1452:1;1454:1;1457:1;1458:1;1460:1;1462:1;1465:1;1468:1;1469:1;1470:1;1474:1;1475:1;1477:1;1479:1;1481:1;1482:1;1483:1;1484:1;1485:1;1486:1;1487:1;1494:1;1674:1;1675:1;1676:1;1677:1;1680:1;1683:1;1684:1;1685:1;1692:1;1694:1;2025:2;2026:2;2027:2;2034:2;2035:2;2036:2;2037:2;2038:2;2039:2;},HHHCMC
[2023-08-09 15:09:24],10,1,0,3,-1,{},RTTTTT
[2023-08-09 15:09:25],11,2,2,2,-1,{40:2;107:1;113:1;124:1;127:1;128:1;131:1;132:1;139:1;140:1;141:1;142:1;143:1;145:1;146:1;147:1;148:1;149:1;150:1;151:1;1209:1;1210:1;1220:1;1221:1;1222:1;1223:1;2025:2;2026:2;2027:2;2034:2;2035:2;2036:2;2037:2;2038:2;2039:2;},HHCMCM
[2023-08-09 15:09:26],12,3,3,5,0,{40:3;41:3;42:3;240:1;248:1;250:1;251:1;253:1;255:1;256:1;257:1;260:1;263:1;264:1;265:1;266:1;267:1;269:1;272:1;273:1;274:1;275:1;276:1;277:1;279:1;283:1;284:1;285:1;286:1;287:1;816:1;826:1;827:1;828:1;832:1;834:1;836:1;839:1;841:1;842:1;844:1;847:1;849:1;850:1;851:1;854:1;857:1;858:1;859:1;860:1;861:1;862:1;863:1;866:1;867:1;868:1;870:1;871:1;873:1;877:1;878:1;879:1;880:1;882:1;883:1;884:1;886:1;888:1;893:1;894:1;895:1;898:1;899:1;900:1;901:1;903:1;905:1;910:1;911:1;912:1;913:1;915:1;916:1;921:1;922:1;923:1;924:1;925:1;926:1;927:1;928:1;929:1;931:1;932:1;934:1;935:1;938:1;939:1;941:1;944:1;946:1;947:1;948:1;949:1;950:1;952:1;957:1;958:1;959:1;960:1;966:1;970:1;971:1;974:1;976:1;978:1;979:1;980:1;982:1;983:1;984:1;985:1;986:1;991:1;994:1;995:1;996:1;997:1;999:1;1000:2;1001:1;1002:1;1004:1;1005:1;1008:2;1009:1;1010:1;1012:1;1013:1;1014:1;1015:1;1016:2;1017:2;1018:2;1019:1;1020:1;1021:1;1024:1;1027:1;1028:1;1029:1;1030:1;1031:1;1034:1;1035:1;1038:1;1039:1;1041:1;1043:1;1045:1;1054:1;1055:1;1200:1;1202:1;1203:1;1205:1;1206:1;1208:1;1209:1;1210:1;1211:1;1212:1;1840:1;1841:1;1842:1;1843:1;1844:1;1845:1;1848:1;1849:1;1854:1;1857:1;1858:1;1859:1;1860:1;1863:1;1865:1;1868:1;1869:1;1870:1;1871:1;1970:1;1971:1;1982:1;1983:1;2027:3;2029:3;2030:3;2032:1;2034:3;2036:3;2038:3;2039:3;},CMCMCM
[2023-08-09 15:09:27],13,3,3,8,0,{40:3;41:3;42:3;400:1;401:1;404:1;410:1;411:1;413:1;414:1;415:1;416:2;419:1;421:1;422:1;424:1;425:2;426:1;427:1;428:2;430:1;432:1;433:2;435:2;436:1;438:2;439:1;443:1;444:1;447:1;452:1;453:1;454:1;456:1;458:1;459:1;465:1;466:1;468:1;473:1;475:1;476:1;477:1;478:1;479:2;480:1;481:1;482:1;485:1;487:1;494:1;497:1;499:1;500:1;506:1;508:1;509:1;510:1;512:2;513:1;514:1;516:1;522:1;523:1;524:1;525:1;527:1;530:1;533:1;534:1;535:1;1681:1;1682:1;1683:1;1685:1;1688:1;1689:1;1691:1;1693:1;1694:1;1697:1;1701:1;1702:1;1744:1;1745:1;1748:1;1749:1;1750:1;1751:1;1753:1;1755:1;1758:1;1763:1;1764:1;1767:1;1768:1;1770:1;1775:1;1777:1;1779:1;1780:1;1781:1;1782:1;1788:1;1789:1;1790:1;1791:1;1800:1;1804:1;1806:1;1808:1;1809:1;1813:1;1815:1;1816:1;1817:1;1820:1;1821:1;1822:1;1823:1;1826:1;1828:1;1831:1;1984:1;1985:1;1990:1;1994:1;1997:1;1998:1;1999:1;2001:1;2003:1;2005:1;2006:1;2007:1;2010:1;2012:1;2015:1;2027:3;2029:3;2030:3;2034:3;2036:3;2038:3;2039:3;},CMCMCM
[2023-08-09 15:09:28],14,2,1,9,1,{40:1;41:1;42:1;2027:1;2029:1;2030:1;2034:1;2036:1;2038:1;2039:1;},HHHHCM
