TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,SLOTS
[2023-08-09 15:25:33],1,1,0,SLTS:...RTT
[2023-08-09 15:25:34],2,1,0,SLTS:RTTTTT
[2023-08-09 15:25:35],3,1,0,SLTS:RTTTTT
[2023-08-09 15:25:36],4,1,0,SLTS:RTTTTT
[2023-08-09 15:25:37],5,1,0,SLTS:RTTTTT
[2023-08-09 15:25:38],6,1,0,SLTS:HRTTTT
[2023-08-09 15:25:39],7,1,0,SLTS:RTTTTT
[2023-08-09 15:25:40],8,4,3,SLTS:CCCHRT
[2023-08-09 15:25:41],9,1,0,SLTS:RTTTTT
[2023-08-09 15:25:42],10,1,0,SLTS:RTTTTT
[2023-08-09 15:25:43],11,2,1,SLTS:HCRTTT
[2023-08-09 15:25:44],12,1,0,SLTS:RTTTTT
[2023-08-09 15:25:45],13,3,3,SLTS:HCHCHC
[2023-08-09 15:25:46],14,3,2,SLTS:CCRTTT
[2023-08-09 15:25:47],15,1,0,SLTS:RTTTTT
[2023-08-09 15:25:48],16,2,1,SLTS:CRTTTT
[2023-08-09 15:25:49],17,2,1,SLTS:CRTTTT
[2023-08-09 15:25:50],18,1,0,SLTS:RTTTTT
[2023-08-09 15:25:51],19,1,0,SLTS:RTTTTT
[2023-08-09 15:25:52],20,4,3,SLTS:CCCRTT
[2023-08-09 15:25:53],21,2,1,SLTS:CRTTTT
[2023-08-09 15:25:54],22,2,1,SLTS:CRTTTT
[2023-08-09 15:25:55],23,1,0,SLTS:RTTTTT
[2023-08-09 15:25:56],24,2,1,SLTS:CRTTTT
[2023-08-09 15:25:57],25,2,1,SLTS:CRTTTT
[2023-08-09 15:25:58],26,2,1,SLTS:CRTTTT
[2023-08-09 15:25:59],27,1,0,SLTS:RTTTTT
[2023-08-09 15:26:00],28,1,0,SLTS:RTTTTT
[2023-08-09 15:26:01],29,1,0,SLTS:RTTTTT
[2023-08-09 15:26:02],30,2,1,SLTS:CRTTTT
[2023-08-09 15:26:03],31,1,0,SLTS:RTTTTT
[2023-08-09 15:26:04],32,1,0,SLTS:RTTTTT
[2023-08-09 15:26:05],33,1,0,SLTS:RTTTTT
[2023-08-09 15:26:06],34,1,0,SLTS:RTTTTT
[2023-08-09 15:26:07],35,2,1,SLTS:CRTTTT
[2023-08-09 15:26:08],36,1,0,SLTS:HRTTTT
[2023-08-09 15:26:09],37,1,0,SLTS:RTTTTT
[2023-08-09 15:26:10],38,3,2,SLTS:CCRTTT
[2023-08-09 15:26:11],39,1,0,SLTS:RTTTTT
