TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,SLOTS
[2023-08-09 15:30:58],2,1,0,SLTS:RTTTTT
[2023-08-09 15:30:59],3,1,0,SLTS:RTTTTT
[2023-08-09 15:30:59],4,1,0,SLTS:RTTTTT
[2023-08-09 15:30:59],5,1,0,SLTS:HRTTTT
[2023-08-09 15:31:00],6,1,0,SLTS:HRTTTT
[2023-08-09 15:31:00],7,3,2,SLTS:CCRTTT
[2023-08-09 15:31:01],8,1,0,SLTS:RTTTTT
[2023-08-09 15:31:01],9,1,0,SLTS:RTTTTT
[2023-08-09 15:31:02],10,4,3,SLTS:CCHCRT
[2023-08-09 15:31:02],11,2,1,SLTS:HCRTTT
[2023-08-09 15:31:02],12,1,0,SLTS:RTTTTT
[2023-08-09 15:31:03],13,3,2,SLTS:CCRTTT
[2023-08-09 15:31:03],14,1,0,SLTS:RTTTTT
[2023-08-09 15:31:04],15,2,1,SLTS:CRTTTT
[2023-08-09 15:31:04],16,1,0,SLTS:RTTTTT
[2023-08-09 15:31:05],17,2,1,SLTS:CRTTTT
[2023-08-09 15:31:06],18,4,3,SLTS:CCCRTT
[2023-08-09 15:31:07],19,1,0,SLTS:RTTTTT
[2023-08-09 15:31:08],20,1,0,SLTS:RTTTTT
[2023-08-09 15:31:09],21,2,1,SLTS:CRTTTT
[2023-08-09 15:31:10],22,2,1,SLTS:CRTTTT
[2023-08-09 15:31:11],23,6,6,SLTS:CCCCCC
[2023-08-09 15:31:12],24,1,0,SLTS:RTTTTT
[2023-08-09 15:31:13],25,4,3,SLTS:CCCRTT
[2023-08-09 15:31:14],26,1,0,SLTS:RTTTTT
[2023-08-09 15:31:15],27,1,0,SLTS:RTTTTT
[2023-08-09 15:31:16],28,1,0,SLTS:RTTTTT
[2023-08-09 15:31:17],29,1,0,SLTS:RTTTTT
[2023-08-09 15:31:18],30,2,1,SLTS:CRTTTT
[2023-08-09 15:31:19],31,2,1,SLTS:CRTTTT
[2023-08-09 15:31:20],32,2,1,SLTS:CRTTTT
[2023-08-09 15:31:21],33,2,1,SLTS:CRTTTT
[2023-08-09 15:31:22],34,1,0,SLTS:RTTTTT
[2023-08-09 15:31:23],35,1,0,SLTS:RTTTTT
[2023-08-09 15:31:24],36,1,0,SLTS:RTTTTT
[2023-08-09 15:31:25],37,3,2,SLTS:CCRTTT
[2023-08-09 15:31:26],38,5,4,SLTS:CCCCRT
[2023-08-09 15:31:27],39,1,0,SLTS:RTTTTT
[2023-08-09 15:31:28],40,1,0,SLTS:RTTTTT
[2023-08-09 15:31:29],41,2,1,SLTS:CHRTTT
[2023-08-09 15:31:30],42,2,1,SLTS:CRTTTT
[2023-08-09 15:31:31],43,2,1,SLTS:CRTTTT
[2023-08-09 15:31:32],44,1,0,SLTS:RTTTTT
[2023-08-09 15:31:33],45,1,0,SLTS:RTTTTT
[2023-08-09 15:31:34],46,1,0,SLTS:RTTTTT
[2023-08-09 15:31:35],47,1,0,SLTS:RTTTTT
[2023-08-09 15:31:36],48,1,0,SLTS:RTTTTT
